module	module_name	中文名	category_C	category_B	
ko00984	Steroid degradation	类固醇的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00595	Sulfur oxidation, SOX system, thiosulfate => sulfate	硫氧化,SOX系统,硫代硫酸盐→硫酸盐	Sulfur metabolism	Energy metabolism	
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	枯酸的降解,对-枯酸→2-氧代戊烯二酸+2-甲基丙酸	Aromatics degradation	Xenobiotics biodegradation	
M00113	Jasmonic acid biosynthesis	茉莉酸的生物合成	Lipid metabolism	Lipid metabolism	
M00861	beta-Oxidation, peroxisome, VLCFA	β-氧化,过氧化物酶体,VLCFA	Fatty acid metabolism	Lipid metabolism	
M00975	Betaine degradation, bacteria, betaine => pyruvate	甜菜碱降解,细菌,甜菜碱→丙酮酸	Serine and threonine metabolism	Amino acid metabolism	
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	联苯的降解,联苯→2-氧代戊烯二酸+苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00375	Hydroxypropionate-hydroxybutylate cycle	羟基丙酸-羟基丁酸循环	Carbon fixation	Energy metabolism	
M00120	Coenzyme A biosynthesis, pantothenate => CoA	辅酶A的生物合成,泛酸→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00983	GPI-anchor remodeling	GPI锚的重塑	Glycan biosynthesis	Glycan metabolism	
M00805	Staurosporine biosynthesis, tryptophan => staurosporine	staurosporine的生物合成,色氨酸→staurosporine	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
ko00363	Bisphenol degradation	双酚的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00903	Limonene degradation	柠檬烯的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00099	Sphingosine biosynthesis	鞘氨醇的生物合成	Lipid metabolism	Lipid metabolism	
