module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
M00642	0.054326477	0.300004438	3.612057754	0.001414576	0.02404779	-1.544768978	1.618924835	Pful_up	0.320225183	0.310427771	0.314797844	0.316353743	0.320146453	0.314376999	0.24242059	0.265994183	0.231790103	0.214642717	0.247414792	0.239095358	0.292597008	0.281522449	0.314592573	0.3097357	0.305640013	0.313837262	0.337392941	0.355302531	0.337332705	0.36377043	0.32394215	0.326755018
M00804	0.062191419	0.099182054	3.942444234	0.000620135	0.016867681	-0.746077091	1.772944618	Pful_up	0.047727199	0.016466111	0.06387509	0.039250468	0.050683614	0.026406591	0.145026533	0.124796378	0.110863751	0.125969552	0.119367754	0.125370579	0.057516612	0.069082231	0.104024912	0.0827833	0.092840938	0.103363975	0.152101189	0.145179374	0.132768719	0.154321847	0.154343398	0.136239182
M00079	0.063210124	0.179013435	4.61159883	0.000114487	0.007785121	0.905988584	2.108734646	Pful_up	0.194711688	0.196485875	0.202920893	0.198828471	0.204480529	0.176964648	0.148673907	0.125653465	0.143911482	0.137002232	0.14740836	0.118421308	0.134889703	0.139182217	0.163742291	0.167763263	0.165634572	0.171121374	0.213492577	0.241594328	0.196936271	0.290231528	0.205660172	0.210611291
M00615	0.085089379	-0.084207212	4.832572402	6.55E-05	0.005343929	1.455531803	2.272139285	Pful_up	0.015202817	-0.114955704	-0.075880433	-0.093472494	-0.104743477	-0.094708875	-0.109595042	-0.118345357	-0.136444511	-0.105179416	-0.11190419	-0.037793418	-0.146479129	-0.158281653	-0.127410344	-0.149415841	-0.124552928	-0.104672023	-0.022924814	-0.005060805	-0.033379314	0.022910028	-0.030030769	-0.05385539
M00968	0.074713998	-0.077493501	6.551339174	9.53E-07	3.24E-05	5.470267447	4.489224068	Pame_up	-0.099438993	-0.099009337	-0.075568583	-0.055210301	-0.082442779	-0.047173685	-0.139795415	-0.125945502	-0.106083837	-0.140640282	-0.064012238	-0.073670357	-0.031206361	-0.015371812	-0.021936251	-0.034961861	-0.01903288	-0.006238851	-0.122070208	-0.112841458	-0.093684521	-0.117263173	-0.086546461	-0.089698883
M00031	0.132006919	-0.14655127	6.644098053	7.65E-07	2.84E-05	5.691256915	4.546997477	Pame_up	-0.210521907	-0.213570141	-0.217172652	-0.179835276	-0.228347818	-0.11459467	-0.233754439	-0.241845286	-0.173164966	-0.234400919	-0.139761603	-0.229720443	-0.056296835	-0.095292614	-0.052303738	-0.022312061	-0.033060274	-0.026010962	-0.124285881	-0.114648463	-0.157622561	-0.161583043	-0.115345968	-0.141777951
M00769	0.116006903	-0.136856837	7.007831498	3.26E-07	1.33E-05	6.548013815	4.875904013	Pame_up	-0.182338229	-0.194035767	-0.188477182	-0.207959558	-0.187305364	-0.178206465	-0.140458691	-0.122758253	-0.227316126	-0.237286653	-0.192559349	-0.179748558	-0.052008606	-0.051614897	-0.050558455	-0.045723653	-0.049905215	-0.049299131	-0.151281834	-0.117356509	-0.090439493	-0.129485772	-0.127124813	-0.131315503
M00608	0.088214857	-0.027776063	7.271159176	1.78E-07	9.12E-06	7.158067874	5.040155286	Pame_up	-0.077926129	-0.039768086	-0.073226077	-0.052096638	-0.079252226	-0.05872599	-0.033253848	-0.06167474	-0.035806448	0.00309713	-0.016559366	-0.02185469	0.037402828	0.04595147	0.020700554	0.026983693	0.036495818	0.062776114	-0.030868619	-0.088398806	-0.056667271	-0.079832383	-0.088464779	-0.005657028
M00563	0.096292648	0.097121557	7.257958855	1.83E-07	9.12E-06	7.12769693	5.040155286	Pame_up	0.027168545	0.077747184	0.023557141	0.030737618	0.039432556	0.052090986	0.059444419	0.050428952	0.077877011	0.063198977	0.092498382	0.10595988	0.172008306	0.157646321	0.16092752	0.165419868	0.170597014	0.189447229	0.112889156	0.094312439	0.092964141	0.074644128	0.105646336	0.134273249
M00422	0.094385369	-0.0581409	7.217353906	2.01E-07	9.12E-06	7.034133726	5.040155286	Pame_up	-0.119569333	-0.084705529	-0.132620917	-0.078284043	-0.114853971	-0.055344174	-0.053518347	-0.123976591	-0.051063548	-0.067590633	-0.100481152	-0.082474067	0.063292094	-0.00020465	-0.005953287	0.005441214	-0.00218276	0.015496147	-0.080631912	-0.074814876	-0.07794186	-0.09153445	-0.061109323	-0.020755642
M00763	0.122128251	-0.179950136	7.52440136	1.00E-07	8.16E-06	7.736336406	5.088170476	Pame_up	-0.238465397	-0.24063964	-0.243318147	-0.207272105	-0.256354358	-0.16543097	-0.253273006	-0.25576622	-0.195617185	-0.253021509	-0.179690332	-0.250062103	-0.090980196	-0.13381268	-0.094972179	-0.063555985	-0.075295796	-0.071506846	-0.168675463	-0.155392413	-0.189295817	-0.197550119	-0.161732159	-0.177122626
M00433	0.097945566	-0.187499739	7.901759886	4.31E-08	4.40E-06	8.582279372	5.356596202	Pame_up	-0.241428368	-0.201932923	-0.238387359	-0.222449332	-0.223325257	-0.199029299	-0.19933022	-0.219046438	-0.181976848	-0.140488271	-0.180051902	-0.183797529	-0.127062785	-0.100904296	-0.130713962	-0.115817044	-0.120137132	-0.089608168	-0.210834495	-0.247254878	-0.23280751	-0.244679696	-0.249878321	-0.199051701
M00358	0.075047819	0.031079348	8.476649348	1.24E-08	1.69E-06	9.834089888	5.772401673	Pame_up	-0.015732938	0.009126357	0.000707416	0.003384929	0.01087776	0.001139978	0.022043823	0.005260721	0.042989835	0.032724894	0.055053532	0.029060475	0.096371339	0.06294781	0.090367803	0.089739759	0.08323926	0.101525299	-0.028184354	0.005785221	0.023005894	-0.003093752	0.01386881	0.013694469
M00541	0.110024732	-0.168144137	8.486020297	1.22E-08	1.69E-06	9.854122682	5.772401673	Pame_up	-0.221680039	-0.220801825	-0.217120064	-0.186588821	-0.224520573	-0.176473361	-0.218643314	-0.218301183	-0.196443119	-0.173940321	-0.210681482	-0.20038017	-0.14718417	-0.086105905	-0.108185246	-0.061213367	-0.057065192	-0.053999647	-0.209214512	-0.171079468	-0.172678515	-0.198317754	-0.134127069	-0.17071416
ko03015	0.044800991	-0.283332814	6.484228212	1.14E-06	1.72E-05	5.240226473	4.764985263	Bger_up	-0.253637095	-0.225875769	-0.257632759	-0.255329499	-0.247658159	-0.258259143	-0.296916957	-0.301811444	-0.272322313	-0.266910684	-0.302515626	-0.305124373	-0.292999045	-0.30232056	-0.309930939	-0.301635018	-0.305539813	-0.302339111	-0.310743706	-0.285899355	-0.297892358	-0.293874598	-0.295578963	-0.257240251
M00930	0.062624126	0.201629408	6.500241557	1.09E-06	1.72E-05	5.278575091	4.765143831	Bger_up	0.248407914	0.233965817	0.253483025	0.23791206	0.280393866	0.237422327	0.160718043	0.18130704	0.177651398	0.163998695	0.20731642	0.162684502	0.174034334	0.151940043	0.175601638	0.179551179	0.185620978	0.191223714	0.172784199	0.219650232	0.210047167	0.226310672	0.203977831	0.203102685
