module	module_name	中文名	category_C	category_B	
M00975	Betaine degradation, bacteria, betaine => pyruvate	甜菜碱降解,细菌,甜菜碱→丙酮酸	Serine and threonine metabolism	Amino acid metabolism	
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	联苯的降解,联苯→2-氧代戊烯二酸+苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00375	Hydroxypropionate-hydroxybutylate cycle	羟基丙酸-羟基丁酸循环	Carbon fixation	Energy metabolism	
M00120	Coenzyme A biosynthesis, pantothenate => CoA	辅酶A的生物合成,泛酸→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00983	GPI-anchor remodeling	GPI锚的重塑	Glycan biosynthesis	Glycan metabolism	
M00805	Staurosporine biosynthesis, tryptophan => staurosporine	staurosporine的生物合成,色氨酸→staurosporine	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
ko00363	Bisphenol degradation	双酚的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00903	Limonene degradation	柠檬烯的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00099	Sphingosine biosynthesis	鞘氨醇的生物合成	Lipid metabolism	Lipid metabolism	
M00415	Fatty acid elongation in endoplasmic reticulum	内质网中的脂肪酸延伸	Fatty acid metabolism	Lipid metabolism	
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	C4-二羧酸循环,NADP-苹果酸酶型	Carbon fixation	Energy metabolism	
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	C4-二羧酸循环,磷酸烯醇式丙酮酸羧激酶型	Carbon fixation	Energy metabolism	
M00918	Aerobactin biosynthesis, lysine => aerobactin	空肠杆菌素的生物合成,赖氨酸→空肠杆菌素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	C4-二羧酸循环,NAD-苹果酸酶型	Carbon fixation	Energy metabolism	
M00168	CAM (Crassulacean acid metabolism), dark	CAM(景天酸代谢),黑暗	Carbon fixation	Energy metabolism	
M00704	Tetracycline resistance, efflux pump Tet38	四环素耐药性,外排泵Tet38	Drug resistance	Drug resistance	
ko00980	Metabolism of xenobiotics by cytochrome P450	细胞色素P450对外源物质的代谢	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	烟碱的降解,吡咯烷途径,烟碱→琥珀酸半醛	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline	氯四环素的生物合成,前四环素酰胺→氯四环素	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides	
M00101	Cholesterol biosynthesis, FPP => cholesterol	胆固醇的生物合成,FPP→胆固醇	Sterol biosynthesis	Lipid metabolism	
M00567	Methanogenesis, CO2 => methane	甲烷生成,CO2→甲烷	Methane metabolism	Energy metabolism	
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	嘌呤的从头合成,PRPP+谷氨酰胺→IMP	Purine metabolism	Nucleotide metabolism	
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	糖原的生物合成,葡萄糖-1P→糖原/淀粉	Other carbohydrate metabolism	Carbohydrate metabolism	
M00026	Histidine biosynthesis, PRPP => histidine	组氨酸的生物合成,PRPP→组氨酸	Histidine metabolism	Amino acid metabolism	
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose	海藻糖的生物合成,D-葡萄糖-1P→海藻糖	Other carbohydrate metabolism	Carbohydrate metabolism	
M00978	Ornithine-ammonia cycle	鸟氨酸-氨循环	Arginine and proline metabolism	Amino acid metabolism	
M00855	Glycogen degradation, glycogen => glucose-6P	糖原的降解,糖原→葡萄糖-6P	Other carbohydrate metabolism	Carbohydrate metabolism	
ko00970	Aminoacyl-tRNA biosynthesis	氨酰-tRNA的生物合成	Translation	Genetic Information Processing	
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	β-胡萝卜素的生物合成,GGAP→β-胡萝卜素	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides	
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	核糖核苷酸的生物合成,葡萄糖→UDP-葡萄糖	Other carbohydrate metabolism	Carbohydrate metabolism	
M00596	Dissimilatory sulfate reduction, sulfate => H2S	异化硫酸盐还原,硫酸盐→H2S	Sulfur metabolism	Energy metabolism	
M00153	Cytochrome bd ubiquinol oxidase	细胞色素bd泛醌氧化酶	ATP synthesis	Energy metabolism	
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00856	Salmonella enterica pathogenicity signature, typhoid toxin	伤寒沙门氏菌致病性特征,伤寒毒素	Pathogenicity	Pathogenicity	
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	新霉素,卡那霉素和庆大霉素的生物合成	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	
ko00365	Furfural degradation	呋喃甲醛的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	NAD(P)H:醌氧化还原酶,叶绿体和蓝细菌	ATP synthesis	Energy metabolism	
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	
