gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00631	0.0476534083866293	0.29592989299421	9.18806980475257	2.91345253276729e-09	3.96229544456351e-07	11.2549259363768	6.4020531448601	up
ko01051	0.0917835329648103	0.0300888232761728	8.69099353594038	8.1171705786603e-09	6.76157611761111e-07	10.2221858359628	6.16995205858543	up
M00577	0.0339247523329551	0.292507932792729	8.46562736968476	1.30557132530847e-08	8.87788501209762e-07	9.74298486371831	6.05169048433148	up
M00081	0.0690874846476519	0.223927387714738	7.55613757009321	9.51788267973713e-08	3.53026921212068e-06	7.73945447791909	5.45219217481603	up
M00825	0.120133736426081	-0.183405823704591	7.34924933661502	1.51863982084629e-07	4.76619266850221e-06	7.26831527729775	5.32182840572098	up
M00983	0.0977769878552056	-0.371525110902682	7.27198094216881	1.81077595104432e-07	4.92531058684055e-06	7.09092895632277	5.30756637797896	up
M00550	0.084238644793378	0.2104769668041	6.81564954899361	5.19928408099172e-07	1.11647784476033e-05	6.02795432259779	4.95214989058968	up
M00853	0.289176316925258	-0.31047615017387	6.71056313469882	6.65348889955734e-07	1.25821655238927e-05	5.77956230106888	4.9002446057795	up
M00930	0.0626241255097163	0.201629407509269	6.50024155709467	1.09438303913297e-06	1.71733953833173e-05	5.27857509060656	4.76514383119572	up
ko03015	0.0448009910822179	-0.283332814179385	6.4842282120179	1.13688971732851e-06	1.71796668396309e-05	5.24022647315015	4.76498526257188	up
M00867	0.0905343349762144	0.134822150304952	6.08733244499841	2.95095829116644e-06	3.54114994939973e-05	4.28105856129351	4.45085568272564	up
M00992	0.0868640111208759	0.063301377740201	6.02527941492284	3.43089527353113e-06	3.78325749081271e-05	4.12967498521978	4.42213409935396	up
M00790	0.130643448989746	-0.285688521133176	5.8719495896899	4.9871759177974e-06	5.08691943615334e-05	3.75411474980739	4.29354514043255	up
M00061	0.0319134579702228	0.344681826436391	5.67263855849183	8.13770137086718e-06	7.72135385886932e-05	3.26299109278127	4.11230654397959	up
M00705	0.0885635274060853	0.13849400491253	5.6260375736616	9.12952498517837e-06	8.46555953171085e-05	3.14772529819363	4.0723443318842	up
M00985	0.171623796321807	-0.158225187792051	5.59534471847812	9.84893394839191e-06	8.73557619770413e-05	3.0717241093585	4.05870844371707	up
M00078	0.0769735648275477	0.216371007137184	5.5383475010638	1.13410482081301e-05	9.6523686319622e-05	2.9304196891503	4.01536610038013	up
M00967	0.0695411743982812	0.222343497089923	5.53782535283879	1.13557278023085e-05	9.6523686319622e-05	2.9291242228213	4.01536610038013	up
M00802	0.105670347332989	-0.113492943266018	5.51713305047685	1.1953236983341e-05	9.95289936572063e-05	2.8777719601077	4.00205038708233	up
M00840	0.0253611408368824	0.213853782389457	5.4307091604901	1.48136238575667e-05	0.00011810045688955	2.66300936190668	3.92774842224909	up
M00076	0.102406082750352	0.198341324827024	5.33141887396152	1.89675715363241e-05	0.000138192306907504	2.41575481036171	3.85951613323256	up
M00852	0.208478595253138	-0.253714058211626	5.28305851364115	2.13997102708425e-05	0.00015053589293972	2.29514704128236	3.82235993696621	up
M00568	0.0720215947358056	-0.00372217331196265	5.18828245840008	2.71198349752114e-05	0.000187540553726885	2.05848357035443	3.72690480604061	up
ko00440	0.0352956276837663	0.0478118558744013	5.17181047146679	2.82612972778352e-05	0.000192176821489279	2.01731554128372	3.71629899391165	up
ko03450	0.0628453990457194	-0.0653131386529463	4.99767713809924	4.37395823436418e-05	0.000277662665361007	1.58159343245994	3.55648251174321	up
M00172	0.0333898196370955	0.354137135182574	4.99319052250332	4.42354736481996e-05	0.000277662665361007	1.57035685976262	3.55648251174321	up
ko00791	0.0608833060901302	-0.0148176804888404	4.97512383582383	4.62903116068845e-05	0.00028188727068073	1.52510566089171	3.54992453533073	up
M00093	0.0278537416080421	0.325934114732001	4.81971733586297	6.84464756588395e-05	0.000398945172411522	1.13569177295198	3.3990867859054	up
M00008	0.0373321358921825	0.292226724316878	4.80976656698699	7.01843149036119e-05	0.000403312682826389	1.1107522007229	3.39435812067795	up
ko01054	0.0588283394861557	-0.106199361303175	4.61650344344808	0.000114270985830038	0.000630034624576425	0.626514291094682	3.2006355825317	up
M00144	0.0354898804957952	0.344878438400909	4.60495469337727	0.000117650944889726	0.000640021140200108	0.597596027342044	3.19380568082764	up
M00344	0.0564771061144616	0.267161843958022	4.58292800140981	0.000124377608471137	0.000667711371792418	0.542449892057046	3.17541122723418	up
ko02060	0.0563697903681619	0.123957155586795	4.51019647932049	0.00014944604812321	0.000756569307144961	0.3604589088555	3.12115128134615	up
M00805	0.121950228058242	-0.265055850269755	4.50891639751421	0.000149929805623485	0.000756569307144961	0.357257420247068	3.12115128134615	up
M00924	0.0287045319149814	0.185642531355149	4.34376992947901	0.000227473848837528	0.00110487298006799	-0.0551723322818933	2.9566876470706	up
M00877	0.166197669105797	-0.18296025198848	4.32262104750701	0.000239941668675675	0.00115172000964324	-0.107885246864879	2.93865308779334	up
M00023	0.0390731563792175	0.229450439530239	4.30419572768916	0.000251357758672092	0.00119248797137458	-0.153787079577617	2.92354599299392	up
M00643	0.0721056733709672	0.0694800481141846	4.29096326339087	0.000259888845922069	0.00121878907053108	-0.186738702059861	2.9140714489598	up
M00170	0.0445637570547915	0.300419323361643	4.14936295421819	0.000371331736208759	0.00168337053747971	-0.538546995651194	2.77382027815926	up
M00116	0.0504549063083674	0.269534361750621	4.05110069983161	0.000475444271395694	0.00206363045456854	-0.781658581006234	2.68536807153653	up
M00837	0.074590005070843	-0.231173511151435	4.00908067062958	0.000528363933818497	0.00224554671872861	-0.885319872765717	2.6486779049856	up
M00065	0.0402130901600551	-0.324812664865722	4.00118671248017	0.000538937560771102	0.00226687138963515	-0.904772113044404	2.6445731187602	up
M00950	0.0230700584209604	0.385698518935225	3.94081832033481	0.000627030760759352	0.00255828550389815	-1.05329082359755	2.59205099001823	up
M00746	0.124254442778033	-0.0142552900078063	3.86779179710121	0.000752791610679728	0.00289753752035216	-1.23234144312809	2.5379709316279	up
M00833	0.0569175906350047	-0.4147219386712	3.83025748020891	0.000826810048315246	0.00312350462696871	-1.32408903392534	2.5053578463802	up
M00726	0.0397183091448227	-0.00105253270053136	3.80425828032567	0.000882242730462912	0.00327231849117153	-1.38752166048744	2.48514443353773	up
M00787	0.0459603373773564	-0.171896977961727	3.72128627077709	0.0010847809291864	0.00384861407920045	-1.5892629816761	2.4146956357167	up
M00168	0.0432008901576061	0.141344114933026	3.68239192943514	0.00119484176601	0.0041768697843776	-1.68344604845046	2.37914906383178	up
M00123	0.0242595069462013	0.372677960553546	3.67797417536953	0.00120801626116803	0.0041768697843776	-1.6941273008697	2.37914906383178	up
M00022	0.0174252090924209	0.295169029076798	3.65596112472793	0.00127581841889544	0.00433228426079977	-1.74729938119384	2.36328305508307	up
ko00542	0.0406365428593831	-0.0894805351298709	3.55581005438855	0.0016344458280185	0.0054660155559963	-1.98808448810087	2.26232913666207	up
M00162	0.109986931271636	-0.201166613825901	3.42309561374138	0.00226480885411975	0.007275921358117	-2.30403252012624	2.13811200366029	up
M00572	0.0180838850816377	0.345029342121605	3.39122088899334	0.00244841191092654	0.00774381441595371	-2.37933416032263	2.11104506364039	up
M00931	0.0369855727138781	0.176295759684369	3.37383486794646	0.00255458067778697	0.0080174532041314	-2.42030660101277	2.09596356626037	up
M00569	0.0474753754718574	0.0429108368445985	3.32263798482069	0.00289386705625362	0.00901295999199602	-2.54053230013044	2.04513255673713	up
M00932	0.0504551003968608	0.183391058050916	3.23845162087722	0.00354894028237474	0.0107618821278844	-2.73677493317924	1.96811176897878	up
M00718	0.0284807056847046	0.478767091289985	3.23705711703474	0.00356091688054999	0.0107618821278844	-2.74000973776101	1.96811176897878	up
M00153	0.049707499958628	0.368064068813145	3.21775057330764	0.00373080050787882	0.0111924015236365	-2.78473998990383	1.95107671806843	up
M00575	0.0320076030923312	0.116314768507209	3.19581712996324	0.00393330728863859	0.0116289085055402	-2.83543081609296	1.93446104642947	up
M00030	0.0626818067616455	-0.227445235731172	3.15512604193993	0.00433745443666099	0.0125509319869339	-2.92911057944166	1.90132402384395	up
M00704	0.0620832488985585	0.0633999867096904	3.12063033093822	0.00471116433617651	0.0134416437004197	-3.00814811752896	1.87154762068888	up
M00077	0.0700895515356789	0.081914504361718	3.06457772239021	0.00538535461804687	0.0150494841381036	-3.13580757341853	1.82247838643656	up
M00417	0.111890435351071	-0.0743487203883663	3.02399761792889	0.00593028264993288	0.0163483467646798	-3.22761180668096	1.78652615904524	up
M00130	0.0453017121259285	-0.286771825769772	2.91278037910364	0.00770774850263526	0.0209167532696445	-3.47641070508349	1.67950572642551	up
M00119	0.00892107740090586	0.414808986297243	2.75414010475852	0.0111403803233041	0.0275471222539883	-3.82358420802431	1.55992376358139	up
M00725	0.0374300818302912	0.033988200054252	2.74133581127346	0.0114730174441496	0.028198741669958	-3.8511816186786	1.54977027104187	up
M00989	0.0297108131935508	0.151574429366298	2.72358770484618	0.0119496180319626	0.0291942763894654	-3.88932504620229	1.53470228472017	up
