Bger_vs_Esin_down	Bger_vs_Pame_down	Bger_vs_Pful_down
ko00960	ko03050	M00042
M00086	M00525	M00530
M00142	M00845	M00002
ko00980	M00099	M00957
ko00121	ko03070	ko00571
M00415	M00799	M00982
M00154	M00641	M00018
M00156	M00938	M00540
M00579	M00730	M00156
M00564	M00115	M00152
M00042	M00034	ko00983
M00126	M00002	M00079
M00009	M00887	ko00633
M00173	M00966	ko03020
M00614	M00651	M00013
M00823	M00783	M00009
M00542	M00345	M00011
M00049	M00903	M00923
M00660	ko00908	M00895
M00007	M00088	M00133
M00149	ko03410	M00903
M00003	M00377	M00031
M00608	M00841	M00015
M00913	M00814	M00012
ko00550	M00338	M00615
ko00552	M00649	M00532
M00055	M00618	ko01055
ko03060	M00087	M00642
M00034	M00972	M00763
M00951	M00013	M00542
M00545	M00697	M00173
M00526	ko03018	M00614
M00956	M00554	M00896
M00563	M00072	M00898
M00169	M00083	M00142
M00021	M00020	ko00960
M00433	ko03060	M00880
ko03020	M00145	ko03070
M00896	M00025	M00958
M00573	M00621	M00338
M00375	ko00903	ko03440
M00045	ko00633	M00836
M00637	ko03420	M00134
M00651	M00173	M00086
M00358	M00614	M00096
ko00830	M00890	M00797
M00364	M00055	M00741
M00898	M00015	M00378
M00938	M00418	M00046
M00365	M00968	M00082
M00002	M00579	M00003
ko03050	M00885	M00637
ko03440	ko01052	M00959
M00096	M00096	M00876
M00632	ko02040	M00001
M00888	M00133	ko03060
M00531	M00021	M00165
M00089	ko04122	M00612
ko03410	M00923	M00847
M00620	ko03430	M00035
M00120	ko00907	ko00590
ko03420	M00895	ko03030
M00051	M00142	M00899
M00780	M00844	ko03018
M00010	M00797	M00914
M00529	M00860	M00660
M00527	M00001	M00649
M00532	M00849	M00021
M00916	M00044	M00769
M00095	M00804	M00374
M00038	M00660	M00028
ko03010	M00049	ko03010
ko03018	M00309	ko02040
M00099	ko03022	M00064
M00793	M00673	M00596
M00796	M00542	M00697
M00018	M00596	M00740
ko00363	M00898	M00844
M00960	ko02030	ko03430
M00554	M00847	M00973
M00017	M00883	M00909
M00373	M00880	M00563
M00085	M00886	M00159
M00850	M00064	M00883
M00697	M00134	M00048
M00176	M00532	M00990
M00015	M00151	M00565
ko03022	M00990	M00620
M00024	M00082	M00151
M00975	M00740	ko00514
M00673	M00003	M00100
M00616	M00042	M00617
ko03430	M00793	M00044
M00740	M00546	ko02030
M00356	M00855	M00307
M00878	ko03020	M00416
M00140	ko00121	M00357
M00903	M00565	M00036
M00849	M00741	M00567
M00836	M00899	M00356
M00841	M00378	M00854
M00909	M00165	M00026
M00027	M00612	ko00970
M00854	M00375	M00855
ko04122	ko03010	M00978
M00016	ko03030	M00796
M00032	M00422	M00779
ko00982	M00781	M00127
M00088	M00836	M00161
M00914	M00307	M00549
ko01053	M00374	M00097
M00844	M00896	M00804
M00525	M00113	M00163
M00048	M00861	
M00783	M00973	
M00376	M00031	
M00613	M00098	
M00175	M00958	
ko01055	M00608	
M00959	M00959	
M00855	M00097	
ko03030	M00543	
M00912	M00541	
M00357	M00796	
ko00903	M00048	
M00374	M00935	
M00565	M00026	
M00028	M00763	
M00958	M00035	
M00935	M00914	
M00097	M00140	
M00098	M00620	
ko00907	M00433	
M00012	M00854	
M00880	M00769	
M00957	M00358	
ko00983	M00909	
ko00908	M00127	
M00338	M00876	
M00544	M00036	
M00921	M00548	
M00378	M00549	
M00883	M00161	
M00549	ko00970	
M00845	M00163	
M00804	ko00514	
ko00930	M00563	
ko00625	M00540	
M00151	M00159	
M00046	M00978	
M00978	M00356	
M00595	M00357	
M00548	M00567	
M00617	M00617	
M00842	M00100	
M00843	M00416	
M00025	M00046	
ko00970		
M00741		
M00567		
M00159		
M00307		
M00539		
M00044		
M00923		
M00736		
M00155		
M00887		
M00026		
M00033		
M00781		
M00546		
M00087		
ko00571		
M00990		
M00973		
M00889		
M00036		
M00876		
M00082		
ko00514		
M00013		
M00779		
M00035		
M00555		
M00100		
M00540		
M00543		
M00885		
M00830		
ko00984		
M00886		
M00113		
M00861		
