Bger_vs_Esin_up	Bger_vs_Pame_up	Bger_vs_Pful_up
M00344	M00830	M00830
M00718	M00853	M00983
M00570	M00023	ko03450
M00853	ko00980	M00023
M00019	M00172	M00966
M00162	M00008	ko01051
M00535	M00101	M00113
ko00524	M00344	M00861
M00705	M00825	M00030
M00153	M00081	M00805
M00145	M00631	M00631
M00550	M00852	M00568
M00416	M00061	M00577
M00081	M00705	M00550
M00877	ko03450	M00415
M00076	M00170	M00162
M00631	ko00982	M00081
ko00365	M00022	M00853
M00966	M00168	M00833
M00078	M00144	M00802
M00642	M00568	M00116
M00077	M00833	M00932
ko01054	M00577	M00418
M00569	M00930	M00085
M00838	M00076	ko00791
M00432	ko00791	M00992
M00825	M00077	M00022
M00577	M00093	M00825
M00596	M00983	M00569
ko01051	M00704	M00543
M00552	M00078	ko00363
M00856	M00550	M00967
ko00542	M00417	ko03015
M00867	M00916	M00867
M00930	M00171	ko00980
M00815	M00746	M00344
M00161	M00718	M00705
M00730	ko03015	ko01054
M00797	M00823	M00061
M00746	M00932	M00985
M00983	M00575	M00852
M00144	ko01051	M00172
M00840	M00918	M00877
M00814	ko00625	M00622
M00790	M00116	M00840
M00030	M00531	M00643
M00575	M00085	M00930
M00150	M00950	M00835
M00800	M00123	M00544
M00931	M00544	M00126
M00163	M00154	ko00440
M00008	M00017	ko00625
M00967	ko01053	M00076
M00924	M00805	M00790
M00065	M00992	M00078
M00802	ko00511	M00170
M00029	M00811	M00040
M00702	M00790	M00950
M00803	M00552	M00093
M00985	M00572	M00838
M00627	M00867	M00123
ko00440	M00153	M00730
M00075	M00931	M00017
M00061	ko02060	ko00984
ko03015	M00787	M00916
ko00633	M00956	ko00982
M00079	M00924	ko00903
M00778	M00840	M00099
M00172	M00877	M00008
M00130	M00889	M00120
M00308	M00527	M00778
M00939	M00985	ko00524
M00572	M00989	M00545
M00072	M00967	M00038
M00643	ko00440	M00889
ko02060	M00053	M00154
M00852	M00065	M00531
M00060	ko01054	M00175
M00925	M00074	M00837
M00992	M00573	M00850
M00063	M00802	M00726
M00837	M00835	M00168
M00093	ko00909	M00024
M00418	M00079	ko00543
M00417	ko00542	ko02060
ko02040	M00118	M00375
M00824	M00533	M00924
M00866	M00780	M00144
M00006	M00119	M00050
M00014	M00850	M00975
M00787	M00526	M00101
ko00511	M00615	M00065
M00847	M00837	M00595
M00726	ko02024	M00539
M00798	M00564	ko00542
M00168	M00726	
ko03450	M00744	
M00568	ko00364	
M00119	M00984	
ko01052	M00117	
ko00791	M00551	
M00170	M00126	
M00074	M00112	
M00918	M00875	
M00899	M00530	
M00623	M00878	
M00805	M00149	
M00989	M00939	
M00171	ko02010	
M00968	M00537	
M00725	M00538	
M00023	M00130	
M00704	M00622	
ko00642	ko00642	
M00950	M00643	
	M00175	
	M00700	
	M00027	
	M00696	
