module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
M00021	-0.0520458701235567	0.189301675091122	-4.90105205962198	5.57701138286454e-05	0.000334620682971872	1.33952704134118	-3.4754472187145	down	0.136172304254878	0.138211525999172	0.148403297272584	0.154815700050435	0.151879781399432	0.172121026014228	0.196458061049375	0.170796033873516	0.208079024948192	0.166641864988257	0.216865080740227	0.183487611999183	0.218302297434405	0.259147521731791	0.202534792355654	0.194238346682323	0.197463646508931	0.190449607571341	0.18513497435228	0.175071892965091	0.235792436585872	0.183236955930057	0.232174455396649	0.225761962083063
M00914	-0.0844225397977553	0.165335113244241	-6.03366283153002	3.36167422440701e-06	3.78325749081271e-05	4.15014804609386	-4.42213409935396	down	0.0936094827008118	0.159048993808294	0.0868944332900625	0.0892065492350069	0.0970199404425781	0.086329850898792	0.172815640386049	0.162804843797024	0.180386300648164	0.170331478558093	0.201146587242021	0.231523181185921	0.197571880650021	0.221319669397731	0.219045503626907	0.211369073155959	0.205308911756639	0.236984337726696	0.175636284575075	0.153033079775582	0.159199145014232	0.138089712544561	0.134327624799875	0.185040212645682
M00796	-0.142819863120575	-0.118154620951195	-6.44047421825125	1.26183526997821e-06	1.83867425053967e-05	5.13530072212265	-4.7354952059029	down	-0.234445615214875	-0.227725520253452	-0.183456591056689	-0.224536374398645	-0.21798927199641	-0.263463736829688	-0.160163686766552	-0.16633556746557	-0.11125975701582	-0.133137594442063	-0.0713045522012046	-0.173093461944991	-0.0566601256821157	-0.0643571488655332	-0.0679841542142299	-0.0490816378884705	-0.0602972288322835	-0.0390315222057989	-0.0912505375691263	-0.0385308011395981	-0.113463971303427	0.0162650503813811	-0.0984482578629775	-0.00595883806054623
ko03060	-0.011969461111111	0.157174475434203	-3.80850623272149	0.000872941696978303	0.00326752488410227	-1.37716436701581	-2.48578109632977	down	0.151067208437265	0.149550174060697	0.145754257679303	0.137973516602721	0.155602995847789	0.149236124977443	0.154623523120464	0.155462658673349	0.159873444454334	0.160458187169797	0.156677662144612	0.161384026100036	0.162383725691184	0.15242561599923	0.161099568410945	0.163073340978672	0.162041895236379	0.163742698559324	0.16570468581707	0.164549234635742	0.153305157245214	0.162649376465415	0.156459496544694	0.167088835569191
ko03010	-0.0285284989044274	0.115152692937088	-5.42803895536497	1.49122829839586e-05	0.00011810045688955	2.65636694585713	-3.92774842224909	down	0.0870631506891381	0.118159409902345	0.0905211472292432	0.0865345301368286	0.0991705427179305	0.0810891318771189	0.112704641293233	0.105314180856379	0.117925867686007	0.1189003625844	0.123775225749012	0.121133388681466	0.127922829181045	0.133847948374129	0.132210218965666	0.128133614042417	0.130354916620343	0.139185149035602	0.121373451725704	0.118282227396541	0.115386321607499	0.1124666819473	0.109613417157061	0.132596275033701
M00660	-0.0854860950330235	-5.64724968082723e-05	-4.55402639219629	0.000133791428266262	0.000708920814709545	0.470111664244563	-3.1494022720881	down	-0.0712618728227864	-0.0605230669403776	-0.104036263564813	-0.0517375104000141	-0.096470459871248	-0.000997089030216113	0.00898790227056567	0.045223033554068	-0.028663158465017	0.0379459845082352	-0.0536759740807488	-0.0619563159562047	0.0925604595933647	0.0631592182902808	0.0474122128933109	0.0254040123306676	0.0275945171175471	0.0203963361587426	-0.040699136162172	0.0605055307633121	0.0382436334112562	0.0288047853997249	0.0472589111400419	0.0251689699390815
M00880	-0.0550996224978146	0.285827169016012	-4.98312710456418	4.5368446601245e-05	0.000280459488080424	1.54515199094152	-3.5521298630131	down	0.234933331085044	0.238245086001688	0.227500906100862	0.239176755488239	0.242575403244418	0.284583230935653	0.32919422386613	0.322654347335549	0.312683618525285	0.325337854853998	0.323093226197314	0.334325359100856	0.289142844528828	0.274982471202394	0.302368379707539	0.313899764437933	0.308211101576351	0.308165238249067	0.31054576266278	0.268840228035859	0.263307196955086	0.264802096566008	0.274612387056288	0.266671242671112
M00036	-0.118952105825296	0.160742413778102	-6.88218022188362	4.45084556384844e-07	1.00885832780565e-05	6.18453066471305	-4.9961698166889	down	0.0628729946467584	0.077602815949266	0.0698491117868804	0.0707794904826897	0.0779928443540717	0.0700727492351166	0.229107771895781	0.240859035468527	0.226731358936487	0.220113887356272	0.252706390805226	0.248209180689003	0.172506113535323	0.18395932038131	0.18909134337623	0.201785118457638	0.194176353569241	0.186742728276331	0.213996112141001	0.133116575287491	0.136192452604155	0.145456485501051	0.136403282016035	0.117494413922573
M00896	-0.0272293200476328	0.224716773715287	-3.99497371433322	0.000547406722458132	0.00227899941594814	-0.920077161771312	-2.64225578611867	down	0.202125704102641	0.218468840744169	0.207750862351904	0.200348566338419	0.211414502439035	0.185660226101207	0.214353011205985	0.223667752388565	0.213216215082896	0.213272127905184	0.239085413369329	0.235412867800444	0.241847409624311	0.239647755817473	0.250325234792016	0.238870929952637	0.256511221704286	0.261607942747686	0.222583808773579	0.224919926644965	0.218603044913867	0.226285549900159	0.216447562520093	0.230776091946042
M00854	-0.0306253798402348	0.282961256195546	-7.45385359131651	1.19826766717294e-07	4.074110068388e-06	7.50722547698122	-5.38996724203988	down	0.265716401993547	0.263783258867239	0.261609550797026	0.250579988393635	0.264888108131625	0.253376019709145	0.28221052825592	0.284782946392703	0.290521500709597	0.28469262573453	0.286922293487317	0.282144089208349	0.301535841269422	0.293509344800202	0.292349246733926	0.298440904251841	0.300180251035462	0.299918740188514	0.272684128020556	0.295276569721709	0.283492034925826	0.29668014081049	0.292795492338407	0.292980142916107
