gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00344	0.0938118412182522	0.267161843958022	17.086697702719	3.88040881423248e-14	1.31933899683904e-12	22.133997839059	11.8796436005562	up
M00718	0.0551731749982477	0.478767091289985	16.1228677617896	1.26357143736278e-13	3.22210716527509e-12	20.9152049856003	11.4918600193129	up
M00570	0.044901262642688	0.364506106598952	15.0746845096948	4.89427082921888e-13	9.50886903962525e-12	19.5164243130953	11.0218711338573	up
M00853	0.389271060162084	-0.31047615017387	14.7328045852452	7.74295026193538e-13	1.35336418661725e-11	19.0424231180113	10.8685853202128	up
M00019	0.037356951058478	0.450523770139763	14.712317283778	7.96096580363086e-13	1.35336418661725e-11	19.0137283434551	10.8685853202128	up
M00162	0.205570894348917	-0.201166613825901	14.1056423090134	1.83853324033308e-12	2.88508293098422e-11	18.1486826006991	10.539841698643	up
M00535	0.0574332023797294	0.408706540263182	13.9603619802904	2.25634653128002e-12	3.40959031393425e-11	17.9370197012313	10.4672978013848	up
ko00524	0.0681536839473268	0.104046733208609	13.4264846762793	4.86128846313045e-12	6.83932997571457e-11	17.1436040815559	10.164986442447	up
M00705	0.130232554180142	0.13849400491253	12.8210061049493	1.19609727047916e-11	1.43531672457499e-10	16.2128660133875	9.84305225463895	up
M00153	0.0968636860634479	0.368064068813145	12.65958156131	1.52912053925097e-11	1.73300327781776e-10	15.9589446941836	9.76120061585687	up
M00145	0.12447748647908	-0.184629308229379	11.8926544972093	5.08093345382842e-11	4.71141102082272e-10	14.7176761688447	9.32684900650498	up
M00550	0.116816526311076	0.2104769668041	11.8475231064309	5.46276956199854e-11	4.90057578132559e-10	14.642780061626	9.30975289059151	up
M00416	0.0839354796067565	-0.391066940491348	11.6761779098724	7.20617055073959e-11	6.12524496812865e-10	14.3564998328721	9.21287653779133	up
M00081	0.0893804467212917	0.223927387714738	11.4704139215052	1.00899483371775e-10	8.40142637054777e-10	14.0086223182468	9.07564697438222	up
M00877	0.280107064149739	-0.18296025198848	11.4031095046761	1.12751052421718e-10	9.02008419373747e-10	13.8938512645611	9.04478940872137	up
M00076	0.150908794726382	0.198341324827024	11.2972277092042	1.34405514450748e-10	1.03466886596047e-09	13.7123051609767	8.98519861899548	up
M00631	0.056503755923537	0.29592989299421	10.7314867739805	3.50732929808014e-10	2.38498392269449e-09	12.7212995072188	8.62251454421657	up
ko00365	0.10447328122869	-0.206364175126795	10.5829277350157	4.53847521688337e-10	2.98660949756196e-09	12.4550716599877	8.52482155815944	up
M00966	0.12094408290683	-0.103183101616763	10.318194850148	7.22905401977349e-10	4.53762160010397e-09	11.9742999301405	8.34317172348827	up
M00078	0.109107968102956	0.216371007137184	9.99626739917268	1.28736673225334e-09	7.50350895370519e-09	11.3784809237648	8.12473559489473	up
M00642	0.0758283753180265	0.300004438121743	9.82387163814234	1.76242849456415e-09	1.01277581096081e-08	11.0542728483051	7.99448667985012	up
M00077	0.119050449056079	0.081914504361718	9.54797831670247	2.93542932234872e-09	1.57586205726089e-08	10.5278311426114	7.8024818010548	up
ko01054	0.0916612344453142	-0.106199361303175	9.03422325775904	7.7838578985826e-09	3.92075805261939e-08	9.5220929959715	7.40662995689753	up
M00569	0.0830674380353377	0.0429108368445985	9.00818889653696	8.18546051581108e-09	4.0727657200621e-08	9.47023326431824	7.39011057135535	up
M00838	0.145969020745198	-0.165399627500977	8.91926902371474	9.72635380367737e-09	4.66864982576514e-08	9.2924500682397	7.33080869930568	up
M00432	0.0381826178172002	0.440543069302988	8.726448715223	1.41875093669476e-08	6.57784525194841e-08	8.90342377697394	7.18191634779095	up
M00825	0.137223905221288	-0.183405823704591	8.63124107510631	1.71251939757418e-08	7.85065072146364e-08	8.70955730529237	7.10509434414285	up
M00577	0.0375822012561241	0.292507932792729	8.49975606288752	2.22512038851846e-08	9.86792520125576e-08	8.43987798594889	7.00577415111633	up
M00596	0.134151602752555	0.126973328983846	8.43044924411739	2.55677457487442e-08	1.10974896441358e-07	8.29681819836942	6.95477525157376	up
ko01051	0.0967155672543804	0.0300888232761728	8.26559348540146	3.5671738592876e-08	1.51604889019723e-07	7.9540010813207	6.81928679316273	up
M00552	0.0520069588812612	0.269575444444694	8.06676637919774	5.3560526108803e-08	2.18526946523916e-07	7.53579266351103	6.66049500260622	up
M00856	0.160235333192213	-0.203875706909938	7.91581139755094	7.31802134881075e-08	2.9272085395243e-07	7.21480777179875	6.53354633655545	up
ko00542	0.0704458660425373	-0.0894805351298709	7.75153361374963	1.03136053380378e-07	4.00757235992325e-07	6.86209519564194	6.39711862736891	up
M00867	0.119419050675895	0.134822150304952	7.72660947890668	1.08681708620637e-07	4.18322048275658e-07	6.80827297789372	6.37848924468998	up
M00930	0.0729848186502517	0.201629407509269	7.64620610224917	1.28759602631791e-07	4.81962549300651e-07	6.63409322530395	6.31698670712209	up
M00815	0.118995112500636	-0.131599003377229	7.54195876028635	1.60618708305795e-07	5.95749390806947e-07	6.40700505591857	6.22493639307604	up
M00161	0.0723485185434095	-0.342780996337075	7.50692965271897	1.73061865503202e-07	6.36119289417175e-07	6.33038203519468	6.19646143485827	up
M00730	0.0853375808814875	-0.215477796346076	7.34513171945508	2.44796053645036e-07	8.53647776813459e-07	5.97440471354128	6.06872128638374	up
M00797	0.0834114637206947	-0.0586123697354012	7.21837116489225	3.21998174967465e-07	1.1133496219214e-06	5.69316562284701	5.95336843402292	up
M00746	0.17143918711805	-0.0142552900078063	7.0902923899606	4.25677614386691e-07	1.43279233343659e-06	5.406928397004	5.84381675096911	up
M00983	0.0806878283272445	-0.371525110902682	7.08734363358559	4.28433001664864e-07	1.43279233343659e-06	5.40031400845296	5.84381675096911	up
M00144	0.0418856336062163	0.344878438400909	6.86806293033263	6.94459096137599e-07	2.30357163596862e-06	4.90541070357604	5.63759827760617	up
