gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00830	0.111700122494999	-0.325138138860255	13.2384185564338	6.40756719595064e-12	2.01292645114549e-09	17.3736453534877	8.69617209319143	up
M00983	0.131803035153067	-0.371525110902682	11.5771290595503	8.4690732107092e-11	8.63845467492338e-09	14.7529455869736	8.06356394110658	up
ko03450	0.0883465709114161	-0.0653131386529463	10.11112249558	1.04635396978865e-09	7.11520699456281e-08	12.1929133753893	7.14781246096427	up
M00023	0.0482399146922927	0.229450439530239	9.80400464544333	1.82781118107503e-09	1.06535280268373e-07	11.6242713144604	6.97250654726214	up
M00966	0.104034637907605	-0.103183101616763	8.87558646355773	1.05903555184798e-08	3.90993247902749e-07	9.83266906109386	6.4078307424095	up
ko01051	0.103359687056467	0.0300888232761728	8.83341927509993	1.14998014089044e-08	3.90993247902749e-07	9.74864421958845	6.4078307424095	up
M00113	0.0767299695312066	-0.270881478360557	8.74284086117046	1.37368257262462e-08	4.00330349736317e-07	9.56735993503834	6.39758148403087	up
M00861	0.0767299695312066	-0.270881478360557	8.74284086117046	1.37368257262462e-08	4.00330349736317e-07	9.56735993503834	6.39758148403087	up
M00030	0.102974626133686	-0.227445235731172	8.50120850979954	2.21866607872245e-08	5.32479858893388e-07	9.07844259078991	6.27369681481296	up
M00805	0.182880580721436	-0.265055850269755	7.89933109964732	7.5730733362796e-08	1.65174637934073e-06	7.82677066367722	5.78205663650031	up
M00631	0.0410362420137601	0.29592989299421	7.79381620259841	9.43856130354141e-08	1.83377762468805e-06	7.60235331939016	5.73665333073055	up
M00568	0.0837724748040657	-0.00372217331196265	7.06464247055307	4.50268676619755e-07	7.27965138196383e-06	6.01126645828324	5.13788941828513	up
M00577	0.0305897222211743	0.292507932792729	6.91830622531997	6.2135945733668e-07	7.92233308104267e-06	5.68365670144143	5.1011469023738	up
M00550	0.0667489257003604	0.2104769668041	6.76967090648269	8.64275262921784e-07	1.00749802077739e-05	5.34815449629405	4.9967557983544	up
M00415	0.061036254950593	-0.396878832555325	6.60925708621716	1.23794518237512e-06	1.40300454002514e-05	4.98302987848105	4.85294092362262	up
M00162	0.0953727320603146	-0.201166613825901	6.54418344939821	1.43353578530368e-06	1.58076378487541e-05	4.83403386209007	4.80113302228133	up
M00081	0.0502191186531467	0.223927387714738	6.44474377624203	1.79557746488837e-06	1.87845027096014e-05	4.60539262136021	4.72620029771716	up
M00853	0.167851121025971	-0.31047615017387	6.35268844403772	2.21416499856235e-06	2.20336419369131e-05	4.39271696028325	4.65691371245521	up
M00833	0.067192600532123	-0.4147219386712	6.19367009997666	3.18760318796074e-06	3.02451651322786e-05	4.02311072975583	4.51934403999308	up
M00802	0.122904948905393	-0.113492943266018	5.99169403791548	5.08542041455845e-06	4.32260735237468e-05	3.54977897035501	4.36425421217434	up
M00116	0.0643636183535204	0.269534361750621	5.9620653277695	5.44822497329023e-06	4.49467840005562e-05	3.4799957113267	4.34730137714051	up
M00932	0.0678774779922204	0.183391058050916	5.83850450604787	7.26970396319652e-06	5.57386121719895e-05	3.18806466126925	4.25384384892645	up
M00418	0.0711120898248041	-0.258700699717663	5.83223687305462	7.37716925805743e-06	5.57386121719895e-05	3.17321814911188	4.25384384892645	up
M00085	0.0998151160866581	-0.0835071088527046	5.81735045031599	7.63895166032061e-06	5.66671323165601e-05	3.13794134250483	4.24666876460583	up
ko00791	0.0644848055789969	-0.0148176804888404	5.63459036797205	1.17427780979678e-05	8.2604370068463e-05	2.70325263521574	4.08299697633076	up
M00992	0.0956991862907002	0.063301377740201	5.43221876913948	1.89762047288837e-05	0.00012983474706586	2.21875803091171	3.88660906377994	up
M00022	0.0185909946899182	0.295169029076798	5.42963421112302	1.90933451567441e-05	0.00012983474706586	2.21255092845394	3.88660906377994	up
M00825	0.0843742316570757	-0.183405823704591	5.30705151398148	2.55819098413371e-05	0.000167896610730696	1.91764619451979	3.77495807072206	up
M00569	0.0488866557375559	0.0429108368445985	5.30147841102952	2.59252119510634e-05	0.000167896610730696	1.90421603390616	3.77495807072206	up
M00543	0.0513680713508685	-0.343168275845066	5.07403964104769	4.47589021036303e-05	0.000264260284964559	1.35468587220925	3.57796810102552	up
ko00363	0.121547485582833	-0.183930679464151	5.0686971972754	4.53387743811744e-05	0.000264260284964559	1.34174765222279	3.57796810102552	up
M00967	0.0705622309400196	0.222343497089923	5.04822101938899	4.76325495043567e-05	0.000273686787914177	1.29214797133979	3.56274616742167	up
ko03015	0.040472801133649	-0.283332814179385	5.0424698946998	4.82976684554429e-05	0.000273686787914177	1.2782139158791	3.56274616742167	up
M00867	0.0777223397146692	0.134822150304952	5.02876352946413	4.99209333473308e-05	0.000279010148023438	1.24500036463084	3.5543800004883	up
ko00980	0.0338081484808106	0.0499894456686122	5.02004900266787	5.09815872222817e-05	0.000281087670090418	1.2238793972208	3.55115820430055	up
M00344	0.0272765146187747	0.267161843958022	4.96808882143677	5.77960177361817e-05	0.000314410336484829	1.09788916260175	3.50250318462839	up
M00705	0.050299059967773	0.13849400491253	4.95179226868272	6.01175134699988e-05	0.000322736124944204	1.05835537712981	3.49115241982745	up
ko01054	0.048956714430611	-0.106199361303175	4.82522290703345	8.16688023639077e-05	0.000432738589149017	0.751060683255054	3.36377437517978	up
M00061	0.0249989445628039	0.344681826436391	4.81146552160577	8.44385030819323e-05	0.000441678323813184	0.717637644934045	3.35489391402963	up
M00985	0.174463451771953	-0.158225187792051	4.78404473842586	9.02447638663482e-05	0.000466074223512279	0.651010315332299	3.33154491529512	up
M00852	0.166717844502888	-0.253714058211626	4.68974769833752	0.000113462527805456	0.000564094552119739	0.421815936772822	3.24864809455888	up
M00172	0.0236672497093545	0.354137135182574	4.68508805065475	0.000114754528985143	0.000564094552119739	0.410488609178085	3.24864809455888	up
M00877	0.114672471530288	-0.18296025198848	4.66829622452043	0.00011953452379274	0.000573765714205153	0.369668041141671	3.24126540690282	up
M00622	0.0876654241307882	-0.134942665260984	4.65091499444039	0.000124693449365508	0.000578190987385865	0.327414031666428	3.2379286822245	up
M00840	0.0218541647631202	0.213853782389457	4.5326110959023	0.000166284923158233	0.000753824984983989	0.0398459269441371	3.12272947227133	up
M00643	0.0840609662266679	0.0694800481141846	4.49618846984868	0.000181707024988135	0.000814686441705045	-0.0486588740448806	3.08900951130895	up
M00930	0.0426187040635925	0.201629407509269	4.46492025475313	0.000196086939416548	0.000866676379076548	-0.124619563593165	3.06214303979994	up
M00835	0.126261538954825	-0.0974869682551527	4.46186623898998	0.000197551233465978	0.000866676379076548	-0.13203765721823	3.06214303979994	up
M00544	0.0548203866907875	-0.399575701931302	4.44541414003026	0.00020563014794069	0.000883127372208439	-0.171995475705637	3.05397665422772	up
M00126	0.0140152331524031	0.265501552576066	4.40636645092535	0.000226155659431145	0.000951252670596979	-0.266804087954184	3.0217041109584	up
ko00440	0.0341273953173229	0.0478118558744013	4.34012466086859	0.000265778385881443	0.00108437581439629	-0.427531958924497	2.96482017736172	up
ko00625	0.0247161842312165	0.0598542615564381	4.2197907779836	0.000356361516258841	0.00142544606503537	-0.719042966770816	2.84604921055421	up
M00076	0.055742553217575	0.198341324827024	4.17295968689681	0.000399436482529799	0.00156596760225753	-0.832286688213276	2.80521722714802	up
M00790	0.102766521653098	-0.285688521133176	4.16930751119318	0.00040300636822804	0.00156596760225753	-0.841112516645515	2.80521722714802	up
M00078	0.0447598521030004	0.216371007137184	4.10081369993812	0.000476169017081519	0.00179886073119685	-1.00646896573303	2.74500245867445	up
M00170	0.0355154456450374	0.300419323361643	4.05142387932047	0.00053699776884752	0.00197382963684494	-1.12549172103508	2.70469033442781	up
M00040	0.0325915628353294	-0.0303108536180074	3.94130565828201	0.000701861547175125	0.00249008270649957	-1.39011085161696	2.60378622785211	up
M00950	0.0223870485375957	0.385698518935225	3.92540342005196	0.000729499699099477	0.00256582652786712	-1.42822922825737	2.59077270904323	up
M00093	0.0216370720841246	0.325934114732001	3.88419569192837	0.000806242401656785	0.00271856942046255	-1.52688266872408	2.56565957252474	up
M00838	0.063281440521186	-0.165399627500977	3.86673959539616	0.000841115723167878	0.00281291159879094	-1.56861756617848	2.55084391616774	up
M00123	0.0242215999081949	0.372677960553546	3.86212169137774	0.000850588490328693	0.00282146426060249	-1.57965252313591	2.5495254465534	up
M00730	0.0443272607163015	-0.215477796346076	3.8153128476424	0.000952772568727781	0.00310984966432748	-1.69136615962314	2.50726060503461	up
M00017	0.018900415864551	0.323729444011755	3.77813744456406	0.00104249939996378	0.00334913193059229	-1.77989750285834	2.4750677441891	up
ko00984	0.0409332330346943	-0.152489928539366	3.767568624929	0.00106949919643029	0.00340902868862155	-1.80503423848512	2.46736934395808	up
M00916	0.0525883371902111	0.205148048764868	3.69197833811266	0.00128379997920905	0.00396810902664616	-1.98437394712508	2.40141640380105	up
