gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00984	0.292200570402862	-0.152489928539366	24.1157498486902	3.24677504032586e-18	1.32468421645295e-15	31.7970339712371	14.8778876382532	up
M00885	0.215668074629402	-0.0774302991007077	17.4206724855224	4.92270968117442e-15	1.00423277495958e-12	24.4329765092884	11.9981656087416	up
M00555	0.197650164640556	-0.0239915691584063	16.9182392703783	9.38746102979355e-15	1.27669470005192e-12	23.7781362878409	11.8939129445023	up
M00889	0.235054737100635	-0.397603865302434	16.6952510283273	1.25676642444514e-14	1.28190175293404e-12	23.481940266854	11.8921452585876	up
M00886	0.206865497895361	-0.124984433609076	16.2727497083425	2.20453672378806e-14	1.56283349456196e-12	22.9110252547882	11.8060872895719	up
M00155	0.320404751856271	-0.0728645227534843	14.3027454139013	3.59854174271745e-13	1.8352562887859e-11	20.0675839042352	10.7363032790776	up
M00013	0.132334840287463	0.0649321879981225	14.1723704980039	4.37615006470704e-13	1.98385469600052e-11	19.8680391648071	10.7024901401638	up
M00736	0.14486529276273	-0.34117433521475	14.0583596198842	5.19883265476559e-13	2.12112372314436e-11	19.6923052166786	10.6734339987575	up
ko00571	0.194264367456139	-0.0775090881927169	13.8415945975414	7.23576732512588e-13	2.62690181841062e-11	19.3549652262537	10.5805561588543	up
M00033	0.0879156587888983	0.191366071954018	13.5178658178425	1.19466716617843e-12	3.74941695231383e-11	18.8431409497512	10.4260362613602	up
M00887	0.340436366275131	-0.153361212204552	11.7444432036642	2.22056176282373e-11	4.8781843911592e-10	15.856447156406	9.31174178775549	up
M00842	0.046399236494617	0.407348106291226	11.7186799695179	2.32229238028669e-11	4.8781843911592e-10	15.8106330464375	9.31174178775549	up
M00843	0.046399236494617	0.407348106291226	11.7186799695179	2.32229238028669e-11	4.8781843911592e-10	15.8106330464375	9.31174178775549	up
M00595	0.195179503535421	-0.273686632518107	11.7018683730977	2.39126685841137e-11	4.8781843911592e-10	15.780697988396	9.31174178775549	up
M00113	0.287658738169712	-0.270881478360557	11.4850138668969	3.49761803235471e-11	6.48649162363964e-10	15.3917517792217	9.18799013840395	up
M00861	0.287658738169712	-0.270881478360557	11.4850138668969	3.49761803235471e-11	6.48649162363964e-10	15.3917517792217	9.18799013840395	up
M00087	0.126184898648473	0.00800360022202203	11.4319208819612	3.84186597384215e-11	6.81513616229391e-10	15.295723875538	9.16652546280185	up
M00830	0.283927715781605	-0.325138138860255	11.3887064937233	4.14786995316108e-11	7.05137892037383e-10	15.2173284573052	9.15172594698715	up
M00921	0.11784559369252	-0.0405298179644629	11.2038674659465	5.77023925604617e-11	9.41703046586735e-10	14.8796162205657	9.02608602455357	up
M00539	0.217507831208996	-0.368726838180407	11.1737627168726	6.09116494008163e-11	9.55844344443578e-10	14.8242428287102	9.01961282514352	up
ko00930	0.073806404566269	0.0713213511517451	10.5925109718881	1.76735310824133e-10	2.67066691912023e-09	13.7343612830741	8.57338027304501	up
ko00625	0.0805336770196264	0.0598542615564381	10.0999924542569	4.49542173103e-10	6.32459333193186e-09	12.7791280843446	8.19896739416415	up
M00544	0.157604863718661	-0.399575701931302	9.99357425763148	5.52136227662e-10	7.5090526962032e-09	12.5688024637375	8.12441484791742	up
M00175	0.171377311511555	-0.10195466269272	9.75169947551204	8.85549086615946e-10	1.12907508543533e-08	12.0854753380619	7.94727717578457	up
M00082	0.0694140039447171	0.120363931682777	9.23138706819243	2.50827783228847e-09	3.10114350173847e-08	11.020488929017	7.50847813683549	up
M00025	0.0431677172469321	0.0976609504244648	8.81196143082094	5.95477880142027e-09	6.22961474610121e-08	10.1364365439685	7.20553881029361	up
M00032	0.0907983915940659	0.106137998316628	8.41858379908049	1.36818516519178e-08	1.32909416047202e-07	9.28626896318205	6.87644425011459	up
M00845	0.0285534425508317	0.348631172418529	8.33372765739226	1.64151399354211e-08	1.55752955666321e-07	9.10019893419918	6.80756370314459	up
M00912	0.0386461971589043	0.124802717183381	8.31992688379332	1.69101894552652e-08	1.56803574948822e-07	9.06984710129722	6.80464404010281	up
M00957	0.0837970394345404	0.0568792255225975	8.2895135326929	1.80561091690523e-08	1.63708723132741e-07	9.00287070878158	6.7859281788197	up
M00923	0.0725670193204455	0.215656420171843	8.15429408345357	2.42034043637931e-08	2.10106148519735e-07	8.70361243151585	6.67756123826934	up
M00543	0.194769933142335	-0.343168275845066	8.07264143451414	2.89221535736204e-08	2.45838305375773e-07	8.52173778886634	6.60935044644061	up
M00012	0.0830944207237325	0.193905449260172	7.86512992112552	4.56620208318901e-08	3.80206214273697e-07	8.05558318903386	6.41998078909414	up
M00779	0.158050434241157	-0.280633049269979	7.77469082852233	5.58174089779851e-08	4.55470057260358e-07	7.85065929506613	6.34154016840346	up
ko00983	0.0267150000736242	0.256631343256338	7.74960804603681	5.90257924967783e-08	4.72206339974226e-07	7.7936363127693	6.32586818625912	up
M00016	0.0329891826724943	0.33232326758173	7.70096839676402	6.57980418647799e-08	5.16261559246735e-07	7.68282680207347	6.28713021124669	up
M00878	0.0754267901693866	0.123340699643279	7.58983409012629	8.44312644148376e-08	6.37925108912106e-07	7.42849647936579	6.19523030355989	up
M00035	0.059323157104625	0.323930641960347	7.51948029108018	9.8951748365097e-08	7.34042060599265e-07	7.26667153241892	6.13427905430353	up
M00376	0.0294689184809175	0.204525414962835	7.47420847612159	1.09628301943799e-07	7.84707845492454e-07	7.16220466383583	6.10529200530201	up
M00613	0.0294689184809175	0.204525414962835	7.47420847612159	1.09628301943799e-07	7.84707845492454e-07	7.16220466383583	6.10529200530201	up
ko01053	0.0822841842319821	-0.135531607670831	7.28570729146232	1.68446772143975e-07	1.16485225482613e-06	6.72443894437292	5.93372915530987	up
M00546	0.0936317752030808	-0.0278520873996858	7.20668588242135	2.01957803030857e-07	1.35079973174737e-06	6.53959933133159	5.86940903428229	up
M00990	0.157792699957295	0.0221346837842977	7.13991374054221	2.35568643880604e-07	1.55019365650462e-06	6.38281020966954	5.80961404460531	up
ko00908	0.0240132529618114	0.165384661960692	7.08330328169146	2.68531299156552e-07	1.73905984215672e-06	6.24945399738375	5.75968547339045	up
M00027	0.0597149649247923	0.0975832543849464	6.91452132278872	3.97764437183584e-07	2.45890742986215e-06	5.84956044201964	5.60925782077604	up
M00973	0.140080968167795	-0.285555226452536	6.86162343928814	4.50219950130068e-07	2.70131970078041e-06	5.72353283762867	5.56842401408416	up
M00338	0.171051823581345	0.0309359532224416	6.8524038274567	4.60062587880147e-07	2.72037008485652e-06	5.70153382172067	5.56537200961367	up
M00850	0.0880301940935608	-0.0982074857104399	6.75095795529005	5.84069181952025e-07	3.40428894623466e-06	5.45882185216502	5.46797358535901	up
ko00982	0.0875137450499446	0.044619595500198	6.61727948129384	8.01458528370644e-07	4.54159832743365e-06	5.13720266582279	5.3427912787233	up
M00024	0.0283167239825315	0.118554599942951	6.50589722733542	1.04494044707328e-06	5.68447603207862e-06	4.86771541278852	5.2453095603279	up
M00783	0.135700149139024	-0.242354217964037	6.37907075282261	1.41595130602801e-06	7.60142280078195e-06	4.55924640938706	5.11910511078558	up
M00525	0.0428128440060299	0.371800137848788	6.19001708574463	2.23473421346049e-06	1.15414121404036e-05	4.09638370757549	4.93774105016951	up
M00085	0.145914438006515	-0.0835071088527046	6.1620650301327	2.3915116831873e-06	1.21967095842552e-05	4.02765244595206	4.91375731704182	up
M00038	0.0479955046531818	-0.0536759146353464	6.10330460096651	2.75863259699687e-06	1.38953345626509e-05	3.88292775374893	4.85713099210619	up
M00781	0.106382496156618	-0.425394352769245	6.091985047912	2.83569778353402e-06	1.39632899802699e-05	3.85501152424538	4.8550122427489	up
ko01055	0.0452917969690224	-0.0908430452788571	6.09063065215293	2.84506433181233e-06	1.39632899802699e-05	3.85167053682537	4.8550122427489	up
M00017	0.0377726130825123	0.323729444011755	6.08636149151974	2.87479499593793e-06	1.39632899802699e-05	3.84113839316747	4.8550122427489	up
M00540	0.142814178882938	-0.138017857596675	6.00733721564534	3.48599828935353e-06	1.65382244425144e-05	3.64588818550323	4.78151111849632	up
ko00907	0.0770819490787355	-0.0909285015030005	5.70791619536117	7.27761624082533e-06	3.26293123764476e-05	2.90137407036508	4.48639207835007	up
M00044	0.115141127721723	-0.100410235968915	5.58166958842088	9.95052262552347e-06	4.41284046871041e-05	2.58547394600453	4.35528177271395	up
M00741	0.063530491928097	0.0840472322254602	5.5140044084551	1.17733979286682e-05	5.03362862189457e-05	2.4157403251213	4.2981188295925	up
M00916	0.110833120016312	0.205148048764868	5.51212523919851	1.18285903966334e-05	5.03362862189457e-05	2.4110226698879	4.2981188295925	up
M00365	0.0426561346566314	0.275711763740692	5.50788949607537	1.19539600669498e-05	5.03362862189457e-05	2.40038808736114	4.2981188295925	up
ko00363	0.157119580049209	-0.183930679464151	5.50744462255771	1.19672053020533e-05	5.03362862189457e-05	2.39927109374499	4.2981188295925	up
M00088	0.0522234167012851	0.219176906495979	5.47302923006436	1.30382336583017e-05	5.42816258427255e-05	2.31282654426695	4.26534715283342	up
M00876	0.0895904871778481	-0.0140215016028815	5.44692385708481	1.39149816961605e-05	5.73465912326613e-05	2.24721149643744	4.24149239211046	up
M00780	0.139549528499476	-0.282056214078351	5.37303345987152	1.67341066465127e-05	6.75991634829425e-05	2.06129853344922	4.17005867827419	up
ko00903	0.0801488754925234	0.105835835539333	5.33884255266522	1.82277803929737e-05	7.29111215718949e-05	1.97518237898158	4.13720622107972	up
M00531	0.0849342301755544	-0.0625973858220496	5.30661678366504	1.97589123926983e-05	7.82683131671934e-05	1.89396776082544	4.10641402596131	up
M00028	0.0242388262749616	0.236249045656009	5.19468846175268	2.61611730665085e-05	0.000100695835954108	1.6115655107254	3.99698848832964	up
M00573	0.0299917088142089	0.271650808179893	5.12886237390992	3.08672588683283e-05	0.000115539831360348	1.44528238926192	3.93726827068178	up
M00527	0.0211462528981882	0.354460544831264	5.06638122402602	3.61229960479763e-05	0.000132776417906075	1.28734044151037	3.87687905209677	up
M00975	0.0750425247379328	-0.0141496118276493	5.0503713937097	3.76092699598277e-05	0.000137005197710801	1.24685603839138	3.86326295624287	up
M00176	0.0277101269891809	0.182339518963437	4.98083553696611	4.48138977394432e-05	0.000161805931660998	1.07096591618544	3.79100556158394	up
ko00514	0.0673490565251095	-0.0527185574347247	4.72642052386096	8.52298940416248e-05	0.000297211938196435	0.427162438475876	3.52693375013116	up
M00545	0.0558489759212946	0.00436420782295804	4.69918557851644	9.13112726017056e-05	0.000315720332385558	0.358267516265051	3.50069744864781	up
M00960	0.0545776632127168	-0.135155640792097	4.68095021270136	9.56245180870552e-05	0.000327855490584189	0.312145682352244	3.48431753882239	up
M00036	0.100727364996151	0.160742413778102	4.6707880047722	9.81162460289006e-05	0.000333595236498262	0.286445753832502	3.47678015940507	up
M00120	0.0255124081191965	0.236469080241245	4.47173596929131	0.000162423723762679	0.000530151034361384	-0.216343640995519	3.2756003869173	up
M00307	0.0490330219684725	0.229009121702778	4.46163584338205	0.000166631800402068	0.000539569639397173	-0.241815041270474	3.26795249527372	up
M00880	0.0516279146184583	0.285827169016012	4.41276966888067	0.000188580847464653	0.000601101451293582	-0.3649781129933	3.22105222347368	up
M00956	0.0602524777464683	0.0553478411546394	4.39122591554035	0.000199152799191503	0.000627925628517113	-0.419236597661336	3.20209179103559	up
M00151	0.131973155979565	-0.138272853542326	4.35788367891463	0.000216691892223368	0.000674887725397969	-0.503156272165596	3.17076847057013	up
M00616	0.0753069767181101	0.0519864069922815	4.34443001814166	0.000224197706747683	0.000687764393631988	-0.536998572290886	3.16256031186589	up
M00045	0.0326108964154741	0.233640870376902	4.2923924976566	0.000255750233232287	0.000772934038213134	-0.667783970570984	3.11185756696443	up
M00100	0.110849131275257	-0.243348493918441	4.18487726174334	0.000335630235710302	0.000999541139925571	-0.937355727855084	3.00019932613319	up
M00154	0.0493963205911899	-0.182392541292204	4.18193192527955	0.000338136771462906	0.000999708715629461	-0.944726951171433	3.00012652162257	up
M00378	0.138521199853822	-0.0289264116976805	4.16457576894054	0.00035328949000302	0.00103699361094412	-0.988147899031657	2.98422391934892	up
M00373	0.027201308645716	0.0588312335815972	4.15017004204729	0.000366377235195762	0.00106772794257051	-1.02416652129008	2.9715393915882	up
M00126	0.015595894757556	0.265501552576066	4.13070251587421	0.000384831702302731	0.00111355556411003	-1.0728099007092	2.95328810769656	up
M00026	0.0332862722169513	0.311218579345222	4.12657788829621	0.000388858615701038	0.00111728390990158	-1.0831113686771	2.95183645549987	up
M00841	0.0145381129726982	0.245627320744895	4.10592590253386	0.000409658953562047	0.00116881715421899	-1.13466536531709	2.93225342307652	up
