Esin_vs_Bger_down	Esin_vs_Pame_down	Esin_vs_Pful_down
M00950	M00914	M00922
ko00642	M00643	M00074
M00704	M00623	M00804
M00023	M00939	M00790
M00725	M00077	M00063
M00968	M00020	ko00909
M00171	M00840	M00563
M00989	M00978	ko00591
M00805	M00094	ko01052
M00623	M00967	M00867
M00899	M00065	M00115
M00918	M00130	M00006
M00074	M00824	M00918
M00170	M00802	M00008
ko00791	M00133	ko00511
ko01052	M00660	M00631
M00119	M00972	M00417
M00568	M00081	M00075
ko03450	M00049	M00798
M00168	ko03070	ko00590
M00798	M00799	M00064
M00726	M00142	M00930
ko00511	M00867	M00825
M00847	ko03010	M00627
M00787	M00078	M00572
M00014	M00853	M00924
M00006	M00890	M00065
M00866	M00060	M00730
M00824	M00854	M00763
ko02040	M00552	M00130
M00417	M00542	M00623
M00418	ko03020	M00569
M00093	M00567	ko03070
M00837	M00063	M00031
M00063	M00140	M00165
M00992	M00003	M00612
M00925	M00076	M00001
M00060	M00115	M00134
M00852	M00375	M00895
ko02060	M00796	M00796
M00643	M00621	M00769
M00072	M00042	M00157
M00572	M00617	ko01054
M00939	M00083	M00144
M00308	M00157	M00925
M00130	M00909	M00615
M00172	M00798	M00014
M00778	M00627	M00171
M00079	M00896	M00814
ko00633	M00922	M00060
ko03015	ko00121	M00803
M00061	M00860	M00308
M00075	M00309	M00866
ko00440	M00705	M00081
M00627	M00014	M00702
M00985	M00075	M00838
M00803	ko00542	M00550
M00702	M00064	M00931
M00029	M00702	ko00542
M00802	M00778	M00939
M00065	M00550	M00800
M00924	M00618	M00746
M00967	M00649	M00078
M00008	M00345	M00072
M00163	M00608	M00575
M00931	M00377	M00649
M00800	M00001	M00877
M00150	M00620	M00029
M00575	ko01054	ko02030
M00030	M00308	M00899
M00790	M00357	M00076
M00814	M00866	M00815
M00840	ko02030	M00847
M00144	M00895	M00162
M00746	M00029	M00079
M00983	M00433	ko00633
M00797	M00422	M00705
M00730	M00030	M00150
M00161	M00358	M00856
M00815	M00046	M00853
M00930	M00134	M00552
M00867	M00803	ko02040
ko00542	M00815	M00432
M00856	M00800	M00077
M00552	M00165	M00127
ko01051	M00612	ko00365
M00596	M00968	ko00524
M00577	M00150	M00153
M00825	M00877	M00797
M00432	ko01052	M00344
M00838	M00569	M00145
M00569	M00356	M00642
ko01054	M00153	M00535
M00077	M00541	M00596
M00642	M00432	M00718
M00078	M00642	M00019
M00966	M00344	M00161
ko00365	M00418	M00570
M00631	M00072	M00416
M00076	ko02040	M00163
M00877	M00031	
M00081	M00856	
M00416	M00563	
M00550	ko00633	
M00145	M00763	
M00153	M00718	
M00705	M00769	
ko00524	M00847	
M00535	M00838	
M00162	M00899	
M00853	M00730	
M00019	M00814	
M00570	ko00365	
M00718	M00127	
M00344	M00535	
	M00162	
	ko00524	
	M00797	
	M00966	
	M00019	
	M00596	
	M00145	
	M00570	
	M00163	
	M00161	
	M00416	
