Esin_vs_Bger_up	Esin_vs_Pame_up	Esin_vs_Pful_up
M00113	M00830	M00113
M00861	ko00984	M00861
M00886	M00113	M00830
ko00984	M00861	ko00984
M00830	M00886	M00886
M00885	M00889	M00543
M00543	M00885	M00885
M00540	ko00625	M00555
M00100	M00779	M00889
M00555	M00555	M00540
M00035	M00544	M00781
M00779	ko00982	ko00625
M00013	M00013	M00539
ko00514	ko00980	M00544
M00082	ko00571	M00013
M00876	M00543	M00595
M00036	M00155	M00035
M00889	ko01053	M00087
M00973	M00033	M00100
M00990	M00916	M00546
ko00571	M00736	M00082
M00087	M00085	M00876
M00546	M00595	ko00903
M00781	M00539	M00736
M00033	M00531	M00025
M00026	M00017	ko00571
M00887	M00842	M00033
M00155	M00843	M00548
M00736	M00175	M00155
M00044	M00887	ko00930
M00923	M00082	ko00908
M00539	M00087	M00921
M00307	M00023	M00085
M00159	M00101	M00887
M00567	M00823	M00175
M00741	M00016	M00842
ko00970	M00012	M00843
M00025	M00921	ko00982
M00842	M00027	ko00514
M00843	M00035	ko00363
M00617	ko00930	M00935
M00548	M00878	M00973
M00595	M00990	M00923
M00978	M00154	M00376
M00046	ko00983	M00613
M00151	M00527	M00415
ko00625	M00850	M00912
ko00930	M00845	ko00907
M00804	M00956	M00990
M00845	M00025	M00036
M00549	M00973	M00017
M00883	M00032	M00779
M00378	M00923	M00916
M00921	M00780	M00099
M00544	M00957	ko01053
M00338	M00044	M00845
ko00908	M00573	M00741
ko00983	M00540	M00024
M00880	M00028	M00975
M00957	M00912	M00120
M00012	M00833	M00038
ko00907	M00546	M00023
M00098	M00024	M00850
M00097	ko00908	ko00980
M00935	M00022	M00878
M00958	M00526	M00126
M00028	M00376	ko03450
M00565	M00613	M00046
M00374	ko01055	M00531
ko00903	M00338	M00016
M00357	M00932	M00032
M00912	M00038	M00783
ko03030	M00781	M00957
M00855	ko00363	ko00983
M00959	M00564	M00622
ko01055	M00149	M00098
M00175	M00126	M00545
M00376	M00960	M00159
M00613	M00118	M00375
M00783	M00170	M00338
M00048	M00811	M00088
M00525	M00365	M00378
M00844	M00172	ko03050
ko01053	M00876	M00012
M00914	ko03450	M00365
M00088	M00804	M00880
M00016	M00568	M00573
M00032	M00168	M00027
ko00982	M00704	M00140
ko04122	M00307	M00525
M00854	M00525	ko03022
M00027	M00036	M00154
M00909	M00741	M00026
M00841	M00116	M00044
M00836	ko00514	M00932
M00849	M00171	M00805
M00903	M00783	M00307
M00140	ko00791	M00045
M00878	M00852	M00527
M00356	ko00903	M00958
M00740	ko02010	M00835
ko03430	M00545	M00176
M00616	M00622	M00567
M00673	M00026	M00833
M00975	M00151	M00617
M00024	M00373	M00554
ko03022	M00123	M00983
M00015	M00529	M00780
M00697	ko00907	M00651
M00176	M00530	M00151
M00850	M00835	M00007
M00085	M00883	ko01055
M00554	M00007	M00841
M00017	M00951	M00849
M00373	M00950	ko04122
M00960	M00053	M00116
ko00363	M00918	M00433
M00018	M00008	M00956
M00796	M00537	ko00643
M00793	M00538	M00568
M00099	M00088	ko00970
ko03018	M00120	M00051
ko03010	M00975	M00040
M00038	M00700	M00883
M00095	M00176	ko00450
M00916	M00364	M00632
M00532	M00061	M00022
M00527	M00616	M00028
M00529	M00100	M00959
M00010	M00415	ko03030
ko03420	M00089	ko00830
M00051	M00417	M00888
M00780	M00093	M00374
M00120	M00926	M00673
M00620	M00045	M00823
ko03410	M00010	M00358
M00089	M00984	M00616
M00531	M00913	M00010
M00632	M00841	M00095
M00888	M00880	M00960
M00096	M00903	M00978
ko03440	M00136	M00913
ko03050	M00051	M00364
M00002	M00888	M00526
M00365	ko03440	M00903
M00938	M00875	ko03410
M00898	M00533	ko00543
M00364	ko00364	M00049
ko00830	ko00909	ko00791
M00358	M00378	M00793
M00651	M00551	M00373
M00637	M00805	M00101
M00045	M00879	M00608
M00375	ko00960	M00951
M00573	M00018	M00836
M00896		M00926
ko03020		
M00433		
M00021		
M00169		
M00563		
M00956		
M00526		
M00545		
M00951		
M00034		
ko03060		
M00055		
ko00552		
ko00550		
M00913		
M00608		
M00003		
M00149		
M00007		
M00660		
M00049		
M00542		
M00823		
M00042		
M00126		
M00009		
M00173		
M00614		
M00564		
M00579		
M00156		
M00154		
M00415		
ko00121		
ko00980		
M00142		
M00086		
ko00960		
