gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00830	0.335673285792571	-0.325138138860255	39.7831565111706	6.69516724348938e-22	2.73162823534367e-19	40.3329783444168	18.5635784068664	up
ko00984	0.274988845793522	-0.152489928539366	25.3104695331293	1.07624223946822e-17	1.35135775860128e-15	30.5676602355878	14.8692296605872	up
M00113	0.217656445484387	-0.270881478360557	24.8004225324771	1.65607568456039e-17	1.35135775860128e-15	30.1273679966308	14.8692296605872	up
M00861	0.217656445484387	-0.270881478360557	24.8004225324771	1.65607568456039e-17	1.35135775860128e-15	30.1273679966308	14.8692296605872	up
M00886	0.170030708820756	-0.124984433609076	20.0398486248492	1.45113129175268e-15	9.86769278391821e-14	25.540047362364	13.0057843800909	up
M00889	0.25635088152148	-0.397603865302434	19.026929387358	4.25457085797342e-15	2.38259317004212e-13	24.4330995831206	12.6229501075022	up
M00885	0.183058495520998	-0.0774302991007077	18.6576809640691	6.37806783291803e-15	2.89139075092284e-13	24.0161509378689	12.5388932125486	up
ko00625	0.0970512465671656	0.0598542615564381	16.5695461493888	7.25770218646816e-14	2.46761874339917e-12	21.5089941785682	11.607721939626	up
M00779	0.180950832580806	-0.280633049269979	15.5427765025412	2.64814321079691e-13	7.71744592860815e-12	20.1729233094222	11.1125264046692	up
M00555	0.175190998810732	-0.0239915691584063	15.4657994633581	2.92644877939639e-13	7.95994067995817e-12	20.0697389392282	11.0990901687526	up
M00544	0.18616157722415	-0.399575701931302	15.0959407198353	4.75801685296107e-13	1.21329429750507e-11	19.5678130430399	10.9160338435851	up
ko00982	0.122546591264448	0.044619595500198	14.6635813694818	8.50567064546751e-13	2.0413609549122e-11	18.9678078783866	10.6900801962313	up
M00013	0.119220244744381	0.0649321879981225	12.9871666622124	9.31203502128093e-12	1.80919537556315e-10	16.4950621819999	9.74251453101343	up
ko00980	0.0844503740332776	0.0499894456686122	12.5397288816722	1.83791526944564e-11	3.40849740879009e-10	15.7924286835613	9.46743703182501	up
ko00571	0.192119438487036	-0.0775090881927169	12.2018200491674	3.10981865975583e-11	5.07522405272152e-10	15.2489287005265	9.29454478046642	up
M00543	0.122240717945872	-0.343168275845066	12.0747038441613	3.80102849919458e-11	5.74377639878291e-10	15.0415238190677	9.24080247521856	up
M00155	0.324271197423312	-0.0728645227534843	11.9023072764283	5.00292882931454e-11	7.07189109523858e-10	14.757612053371	9.15046443593349	up
ko01053	0.110857085660155	-0.135531607670831	11.8993629576132	5.02658925887056e-11	7.07189109523858e-10	14.7527366861649	9.15046443593349	up
M00033	0.0841428188960094	0.191366071954018	11.2480241698485	1.45897571002127e-10	1.92020028931831e-09	13.6517741454865	8.71665346920841	up
M00916	0.159550247495567	0.205148048764868	11.2012679819775	1.57765050621949e-10	2.01150439542985e-09	13.5709867061007	8.69647901409503	up
