module,lambda.min,coef,absCoef
M00019,11.032804417010286,11.032804417010286,11.032804417010286
M00570,8.494119485738816,8.494119485738816,8.494119485738816
M00432,6.058463074110915,6.058463074110915,6.058463074110915
M00535,5.652683449108901,5.652683449108901,5.652683449108901
ko00524,4.600750996289852,4.600750996289852,4.600750996289852
M00029,3.7265188882632554,3.7265188882632554,3.7265188882632554
ko00365,3.2962296289684505,3.2962296289684505,3.2962296289684505
M00145,2.2342082949116078,2.2342082949116078,2.2342082949116078
M00153,1.7698952309051508,1.7698952309051508,1.7698952309051508
M00718,1.580575835314642,1.580575835314642,1.580575835314642
M00856,1.0575756598601975,1.0575756598601975,1.0575756598601975
M00150,1.0549518309255697,1.0549518309255697,1.0549518309255697
ko00633,0.8607863123029362,0.8607863123029362,0.8607863123029362
M00162,0.7278450610752553,0.7278450610752553,0.7278450610752553
M00596,0.6641015482335162,0.6641015482335162,0.6641015482335162
M00815,0.6491525095979429,0.6491525095979429,0.6491525095979429
M00797,0.5698379362687671,0.5698379362687671,0.5698379362687671
M00642,0.5027001945397898,0.5027001945397898,0.5027001945397898
M00344,0.4202334586906694,0.4202334586906694,0.4202334586906694
M00877,0.28371898041163823,0.28371898041163823,0.28371898041163823
M00416,0.19443164571725674,0.19443164571725674,0.19443164571725674
M00838,0.13708064477356569,0.13708064477356569,0.13708064477356569
M00800,0.12229912808580023,0.12229912808580023,0.12229912808580023
M00161,0.12052952765096847,0.12052952765096847,0.12052952765096847
M00027,-0.14406357377732062,-0.14406357377732062,0.14406357377732062
ko00982,-0.3290697929665512,-0.3290697929665512,0.3290697929665512
ko01053,-0.4135100899009218,-0.4135100899009218,0.4135100899009218
M00887,-0.47645676266534986,-0.47645676266534986,0.47645676266534986
M00861,-0.5054800994086448,-0.5054800994086448,0.5054800994086448
M00113,-0.5072307880401828,-0.5072307880401828,0.5072307880401828
M00012,-0.5511407207348133,-0.5511407207348133,0.5511407207348133
M00779,-0.5866633150401735,-0.5866633150401735,0.5866633150401735
M00850,-0.602374475559106,-0.602374475559106,0.602374475559106
M00024,-0.6951538623640565,-0.6951538623640565,0.6951538623640565
M00595,-0.7919495623221088,-0.7919495623221088,0.7919495623221088
M00155,-0.8144317196430706,-0.8144317196430706,0.8144317196430706
M00830,-0.9366355106635276,-0.9366355106635276,0.9366355106635276
M00032,-0.9425186739845579,-0.9425186739845579,0.9425186739845579
M00539,-0.9853646846292292,-0.9853646846292292,0.9853646846292292
M00087,-1.1402264952159153,-1.1402264952159153,1.1402264952159153
M00912,-1.1866201511175756,-1.1866201511175756,1.1866201511175756
ko00984,-1.2027144088548543,-1.2027144088548543,1.2027144088548543
M00175,-1.2199489091187863,-1.2199489091187863,1.2199489091187863
M00886,-1.24010837913785,-1.24010837913785,1.24010837913785
M00921,-1.2637283249241802,-1.2637283249241802,1.2637283249241802
M00923,-1.2747980366221963,-1.2747980366221963,1.2747980366221963
M00885,-1.277133258114629,-1.277133258114629,1.277133258114629
ko00571,-1.2851054917951399,-1.2851054917951399,1.2851054917951399
M00889,-1.3161279602684897,-1.3161279602684897,1.3161279602684897
M00555,-1.3381548158262244,-1.3381548158262244,1.3381548158262244
M00082,-1.3813255418439885,-1.3813255418439885,1.3813255418439885
M00544,-1.4417589271439912,-1.4417589271439912,1.4417589271439912
M00025,-1.6973432637766561,-1.6973432637766561,1.6973432637766561
ko00930,-1.7015417660956218,-1.7015417660956218,1.7015417660956218
M00016,-1.8599424437997623,-1.8599424437997623,1.8599424437997623
M00013,-1.976336103233982,-1.976336103233982,1.976336103233982
M00376,-2.0950296383347653,-2.0950296383347653,2.0950296383347653
M00613,-2.1465610134308597,-2.1465610134308597,2.1465610134308597
ko00908,-2.203668934644123,-2.203668934644123,2.203668934644123
M00736,-2.2334185415317105,-2.2334185415317105,2.2334185415317105
M00033,-3.110132653957102,-3.110132653957102,3.110132653957102
ko00625,-3.5564342535737783,-3.5564342535737783,3.5564342535737783
M00843,-6.07448773955645,-6.07448773955645,6.07448773955645
M00842,-6.079986565111242,-6.079986565111242,6.079986565111242
ko00983,-8.009387871193715,-8.009387871193715,8.009387871193715
M00845,-8.1598370563996,-8.1598370563996,8.1598370563996
