module_ID	module_name	中文名	category_C	category_B	
M00915	Caffeine degradation, caffeine => xanthine	咖啡因的降解,咖啡因→黄嘌呤	Aromatics degradation	Xenobiotics biodegradation	
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	苯乙酸的降解,苯乙酸→乙酰辅酶A/琥珀酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00638	Salicylate degradation, salicylate => gentisate	水杨酸的降解,水杨酸→邻氨基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00637	Anthranilate degradation, anthranilate => catechol	色氨酸的降解,色氨酸→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00636	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	
M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	对苯二甲酸的降解,对苯二甲酸→3,4-二羟基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00623	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	儿茶酚的间位裂解,儿茶酚→乙酰辅酶A/4-甲基儿茶酚→丙酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	儿茶酚的邻位裂解,儿茶酚→3-氧代己二酸	Aromatics degradation	Xenobiotics biodegradation	
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	苯甲酸的降解,苯甲酸→甲基苯甲酸→甲基儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00548	Benzene degradation, benzene => catechol	苯的降解,苯→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	苯/甲苯的降解,苯→儿茶酚/甲苯→3-甲基儿茶酚	Aromatics degradation	Xenobiotics biodegradation	
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	反式肉桂酸的降解,反式肉桂酸→乙酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	喹啉的降解,喹啉→2-氧代戊烯二酸+色氨酸	Aromatics degradation	Xenobiotics biodegradation	
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	联苯的降解,联苯→2-氧代戊烯二酸+苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	苯甲酰辅酶A的降解,苯甲酰辅酶A→3-羟基枯酸辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	苯甲酸的降解,环己烷羧酸→槁酸辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	枯酸的降解,对-枯酸→2-氧代戊烯二酸+2-甲基丙酸	Aromatics degradation	Xenobiotics biodegradation	
M00538	Toluene degradation, toluene => benzoate	甲苯的降解,甲苯→苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00537	Xylene degradation, xylene => methylbenzoate	二甲苯的降解,二甲苯→甲基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00534	Naphthalene degradation, naphthalene => salicylate	萘的降解,萘→水杨酸	Aromatics degradation	Xenobiotics biodegradation	
M00419	Cymene degradation, p-cymene => p-cumate	胡薄荷烯的降解,对-胡薄荷烯→对-枯酸	Aromatics degradation	Xenobiotics biodegradation	
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	甲苯的降解,厌氧,甲苯→苯甲酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
ko00984	Steroid degradation	类固醇的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00983	Drug metabolism - other enzymes	药物代谢--其他酶	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00982	Drug metabolism - cytochrome P450	药物代谢--细胞色素P450	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00980	Metabolism of xenobiotics by cytochrome P450	细胞色素P450对外源物质的代谢	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00930	Caprolactam degradation	己内酰胺的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00791	Atrazine degradation	西玛津的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00643	Styrene degradation	苯乙烯的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00642	Ethylbenzene degradation	乙苯的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00633	Nitrotoluene degradation	硝基甲苯的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00625	Chloroalkane and chloroalkene degradation	氯代烷烃和氯代烯烃的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00365	Furfural degradation	呋喃甲醛的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00364	Fluorobenzoate degradation	氟苯甲酸的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00363	Bisphenol degradation	双酚的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00664	Nodulation	结瘤	Symbiosis	Symbiosis	
M00363	EHEC pathogenicity signature, Shiga toxin	EHEC致病性特征,志贺毒素	Pathogenicity	Pathogenicity	
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	EHEC/EPEC致病性特征,T3SS和效应子	Pathogenicity	Pathogenicity	
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	幽门螺杆菌致病性特征,cagA致病岛	Pathogenicity	Pathogenicity	
M00574	Pertussis pathogenicity signature, pertussis toxin	百日咳致病性特征,百日咳毒素	Pathogenicity	Pathogenicity	
M00575	Pertussis pathogenicity signature, T1SS	百日咳致病性特征,T1SS	Pathogenicity	Pathogenicity	
M00576	ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	ETEC致病性特征,不耐热和耐热肠毒素	Pathogenicity	Pathogenicity	
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	黄单胞菌致病性特征,T3SS和效应子	Pathogenicity	Pathogenicity	
M00850	Vibrio cholerae pathogenicity signature, cholera toxins	霍乱弧菌致病性特征,霍乱毒素	Pathogenicity	Pathogenicity	
M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus	霍乱弧菌致病性特征,毒素共调控菌毛	Pathogenicity	Pathogenicity	
M00853	ETEC pathogenicity signature, colonization factors	ETEC致病性特征,黏附因子	Pathogenicity	Pathogenicity	
M00856	Salmonella enterica pathogenicity signature, typhoid toxin	伤寒沙门氏菌致病性特征,伤寒毒素	Pathogenicity	Pathogenicity	
M00857	Salmonella enterica pathogenicity signature, Vi antigen	伤寒沙门氏菌致病性特征,Vi抗原	Pathogenicity	Pathogenicity	
M00859	Bacillus anthracis pathogenicity signature, anthrax toxin	枯草芽孢杆菌致病性特征,炭疽毒素	Pathogenicity	Pathogenicity	
M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	枯草芽孢杆菌致病性特征,多谷氨酸荚膜的生物合成	Pathogenicity	Pathogenicity	
M00959	Guanine ribonucleotide degradation, GMP => Urate	鸟嘌呤核糖核苷酸的降解,GMP→尿酸	Purine metabolism	Nucleotide metabolism	
M00958	Adenine ribonucleotide degradation, AMP => Urate	腺嘌呤核糖核苷酸的降解,AMP→尿酸	Purine metabolism	Nucleotide metabolism	
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	嘧啶的降解,尿嘧啶→3-羟基丙酸	Pyrimidine metabolism	Nucleotide metabolism	
M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	嘧啶脱氧核糖核苷酸的生物合成,UDP→dTTP	Pyrimidine metabolism	Nucleotide metabolism	
M00546	Purine degradation, xanthine => urea	嘌呤的降解,黄嘌呤→尿素	Purine metabolism	Nucleotide metabolism	
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	脱氧核糖核苷酸的生物合成,ADP/GDP/CDP/UDP→dATP/dGTP/dCTP/dUTP	Purine metabolism	Nucleotide metabolism	
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	嘧啶核糖核苷酸的生物合成,UMP→UDP/UTP,CDP/CTP	Pyrimidine metabolism	Nucleotide metabolism	
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	嘧啶的从头合成,谷氨酰胺(+PRPP)→UMP	Pyrimidine metabolism	Nucleotide metabolism	
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	鸟嘌呤核糖核苷酸的生物合成,IMP→GDP,GTP	Purine metabolism	Nucleotide metabolism	
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	腺嘌呤核糖核苷酸的生物合成,IMP→ADP,ATP	Purine metabolism	Nucleotide metabolism	
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	嘌呤的从头合成,PRPP+谷氨酰胺→IMP	Purine metabolism	Nucleotide metabolism	
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	嘧啶的降解,尿嘧啶→β-丙氨酸,胸嘧啶→3-氨基异丁酸	Pyrimidine metabolism	Nucleotide metabolism	
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	二硫辛酸的生物合成,动物和细菌,辛酰-ACP→二氢二硫辛酸-H→二氢二硫辛酸-E2	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00989	Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	泛醌的生物合成,O2非依赖型,原核生物,预苯酸(+多异戊二烯-PP)→泛醌醇	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00988	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	PreQ1的生物合成,GTP→7-氨基甲基-7-去氮鸟嘌呤	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00950	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	生物素的生物合成,BioU途径,pimeloyl-ACP/CoA→生物素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00933	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol	胡萝卜醌的生物合成,均苯三酚+薯蓣皂苷元-PP→胡萝卜醌醇	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	叶绿醌的生物合成,预苯酸(+泛醇-PP)→叶绿醌醇	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00931	Menaquinone biosynthesis, modified futalosine pathway	甲萘醌的生物合成,改良futalosine途径	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00930	Menaquinone biosynthesis, futalosine pathway	甲萘醌的生物合成,futalosine途径	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	血红素的生物合成,细菌,谷氨酰-tRNA→粪卟啉III→血红素	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	维生素B12的生物合成,需氧,尿卟啉原III→前corrin2→cobyrinatea,c-二胺	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	维生素B12的生物合成,厌氧,尿卟啉原III→sirohydrochlorin→cobyrinatea,c-二胺	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00916	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	吡哆醛-P的生物合成,R5P+3-磷酸甘油醛+谷氨酰胺→吡哆醛-P	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
