gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00541	0.110024731761952	-0.168144136507235	8.48602029729922	1.21731578653098e-08	1.68887819068436e-06	9.85412268233505	5.77240167252568	up
M00358	0.0750478187193836	0.0310793475933382	8.47664934802907	1.24182219903262e-08	1.68887819068436e-06	9.83408988842203	5.77240167252568	up
M00433	0.0979455659234195	-0.187499738862519	7.90175988629764	4.31324002037462e-08	4.39950482078211e-06	8.58227937216869	5.35659620208289	up
M00763	0.122128251425693	-0.179950135550334	7.52440136031188	1.00032095090118e-07	8.16261895935363e-06	7.73633640582363	5.08817047640423	up
M00608	0.0882148570293945	-0.0277760631709437	7.27115917633258	1.77784537587426e-07	9.11684799844294e-06	7.15806787422949	5.04015528595808	up
M00563	0.0962926483656533	0.0971215565642379	7.25795885513828	1.83236676381815e-07	9.11684799844294e-06	7.12769693044097	5.04015528595808	up
M00422	0.0943853689347101	-0.0581409003846426	7.21735390607607	2.01106941142124e-07	9.11684799844294e-06	7.03413372605997	5.04015528595808	up
M00769	0.116006902635935	-0.136856836537175	7.0078314982107	3.26163849116703e-07	1.33074850439615e-05	6.54801381530082	4.87590401325054	up
M00031	0.132006918700911	-0.146551269580567	6.6440980532549	7.65129672981724e-07	2.83793551433221e-05	5.69125691452785	4.54699747712656	up
M00968	0.0747139979672621	-0.0774935012598315	6.55133917431235	9.5344800720718e-07	3.24172322450441e-05	5.47026744730965	4.48922406758796	up
ko00121	0.0609311982139301	0.0100997583305884	6.35256981768896	1.53306519885403e-06	4.42395443158016e-05	4.99347611367222	4.35418935507931	up
M00046	0.0846085082866495	0.118855546008944	6.32795482680428	1.62645383513977e-06	4.42395443158016e-05	4.93413371501552	4.35418935507931	up
M00356	0.103944183347565	0.0718167607958521	6.22594928498129	2.07960735281447e-06	5.2743606344173e-05	4.6875417218618	4.27783017864141	up
M00860	0.0578551016009793	0.155768856671921	6.06574274757192	3.06636703618497e-06	6.58461974086037e-05	4.2981389010973	4.18146930030956	up
M00418	0.0930884007708832	-0.258700699717663	5.95786651563079	3.98881862687119e-06	7.7497047607783e-05	4.03455428798284	4.11071484242365	up
M00416	0.135683538976343	-0.391066940491348	5.78028873369005	6.16546838435565e-06	0.000109370047861613	3.59842948337266	3.96110159783308	up
ko01052	0.0441350774952255	-0.214278987035782	5.74617173930469	6.70580465315651e-06	0.000113998679103661	3.51434186350704	3.94310018078032	up
M00375	0.0494099065595527	0.0436703752279482	5.3602934145716	1.74638226971744e-05	0.000261967663547519	2.55757921484101	3.581752313297	up
M00309	0.0549515999007131	0.0673786864602745	5.32108105726062	1.9260275004075e-05	0.000261967663547519	2.45985571509375	3.581752313297	up
M00042	0.107389031222261	-0.132790039229176	5.32103839048705	1.92623282020234e-05	0.000261967663547519	2.45974934127435	3.581752313297	up
M00618	0.0496635873825271	0.224313485777079	5.20897101494621	2.54967738867187e-05	0.000335570443412298	2.18006614189378	3.47421629822542	up
M00357	0.0967405276447068	0.0965803767482507	5.15845474557254	2.8939404253727e-05	0.000357796270773352	2.05382672628502	3.44636419029462	up
M00377	0.0597725679061761	0.184469877557176	5.12693659901079	3.13213549200215e-05	0.000375856259040257	1.97501783792562	3.4249782131603	up
M00896	0.0312244116325969	0.224716773715287	5.10286993560974	3.32725747640909e-05	0.000387863157249974	1.91481942766404	3.41132147165787	up
M00140	0.0192598666561467	0.338054987802239	4.84139752040385	6.42693090939135e-05	0.000665595574929512	1.25997223313128	3.17678957402215	up
M00134	0.0469470296134804	0.124646286811697	4.83615271239696	6.51254591341269e-05	0.000665595574929512	1.24682821220558	3.17678957402215	up
M00165	0.0221807355377064	0.272519115855432	4.79307337693173	7.26056275216213e-05	0.000688909209972593	1.1388655343935	3.16183800916056	up
M00612	0.0221807355377064	0.272519115855432	4.79307337693173	7.26056275216213e-05	0.000688909209972593	1.1388655343935	3.16183800916056	up
ko03020	0.0417845709184692	-0.0755405847571901	4.73677235847508	8.36981213493892e-05	0.000763824038012156	0.997774371911747	3.11700667823324	up
M00617	0.106852437924961	0.0432842731655937	4.55531493649196	0.000132402619312114	0.00108040537358685	0.543327154555555	2.96641326443894	up
M00899	0.0402205564381024	0.22755090233174	4.5221848802206	0.000143971910996117	0.00115177528796893	0.460441804453777	2.93863224375529	up
M00966	0.107872238671794	-0.103183101616763	4.51345769975497	0.000147184319169713	0.00115483081194698	0.438614164292946	2.93748163726098	up
M00814	0.0889332040895024	-0.204989822356984	4.47681914817615	0.000161471556671768	0.00124302632305814	0.347008054828464	2.90551967438502	up
M00049	0.0200449017728013	0.285161136348666	4.41159798759325	0.000190419618684929	0.0014222266702148	0.184077986958743	2.84703118153985	up
M00909	0.032812007690543	0.299881461124172	4.40890228980668	0.000191721732504447	0.0014222266702148	0.177348117870944	2.84703118153985	up
M00730	0.0737284908675884	-0.215477796346076	4.31588074553926	0.000242534185531264	0.00176703478029921	-0.0546396253474262	2.75275490225137	up
M00620	0.0253154704115219	0.290805893981368	4.27857291977211	0.000266502633519016	0.00184293346569082	-0.147534091099428	2.73449034356819	up
M00567	0.122081567194573	-0.00629972175852323	4.22932088383547	0.000301792434903033	0.00205218855734062	-0.270020294474162	2.6877827382725	up
M00890	0.0526915754335509	-0.357276572697046	4.04017922158493	0.00048610527166467	0.00319888630385783	-0.738506670058465	2.49500119551597	up
M00542	0.0862432258274388	0.0171516179208397	3.91859075313347	0.000659725963360108	0.00388107272264301	-1.03771057612883	2.41104821947419	up
M00895	0.0208121446448077	0.274075921017587	3.90923561288185	0.000675382753205034	0.00388107272264301	-1.0606568670297	2.41104821947419	up
M00127	0.0338159529202461	0.273628248830409	3.87438582092979	0.000737004781523056	0.00406348582245145	-1.14603478554009	2.39110125116693	up
M00345	0.0217437532686305	0.244117413916392	3.84409479785076	0.000795051538542079	0.00429515570973687	-1.22010953488557	2.36702108732663	up
M00847	0.0686481461762391	0.292967350170604	3.8361188989186	0.000811071381958594	0.00429762498492346	-1.23959255387461	2.36677148416429	up
M00793	0.0179512568145163	0.353025590696522	3.78221140111556	0.000928006018939809	0.00473888777433692	-1.37102938788561	2.32432357607868	up
M00914	0.0665752659663353	0.165335113244241	3.7816989595554	0.000929193681242534	0.00473888777433692	-1.37227671568667	2.32432357607868	up
M00161	0.104968233600784	-0.342780996337075	3.74115045685609	0.00102807034746156	0.00517842841684343	-1.4708446848202	2.28580202277438	up
M00799	0.0450456985129421	-0.0643922920317233	3.65185612532907	0.00128371813422161	0.00623700686762105	-1.68694776423812	2.20502377774328	up
M00072	0.0822552093301407	-0.182430586220807	3.6482218009941	0.00129534923970933	0.00623700686762105	-1.69571381636096	2.20502377774328	up
M00064	0.0288818539267772	0.28762314440932	3.56530742760753	0.00159061318382045	0.00745942734481312	-1.89503576721028	2.12729451174097	up
M00003	0.012773254283015	0.321280391531045	3.52426449079359	0.00176021216299948	0.00811687452272098	-1.99320394313956	2.09061116765998	up
M00972	0.0236651014686194	0.325112092312757	3.47445945170909	0.00198985763498902	0.00882458603342959	-2.11185964154131	2.05430565847431	up
M00621	0.0172996944335239	0.403653848938385	3.46762953462274	0.00202354612790005	0.00883811041031491	-2.12808970295729	2.05364057730518	up
ko03010	0.0223863374659277	0.115152692937088	3.46508647909887	0.00203623132002353	0.00883811041031491	-2.1341302013582	2.05364057730518	up
M00532	0.0224662227893718	0.265549241457787	3.45653309762844	0.00207946867598256	0.00893077073474617	-2.15443651026067	2.04911105943136	up
M00083	0.0115343206585881	0.231314794167165	3.3849377006272	0.00247823181577345	0.0105324852170372	-2.32375835175204	1.97746914175855	up
M00898	0.0446827415259151	-0.0212504032819745	3.33831308816284	0.00277692329417684	0.0111260152359037	-2.43337344919665	1.95366034967432	up
M00836	0.117247842037677	-0.0944481259856717	3.33763671334895	0.00278150380897592	0.0111260152359037	-2.43495968954443	1.95366034967432	up
M00548	0.0784561656797174	-0.289156914699448	3.31990570961347	0.00290423138239956	0.0114957010912432	-2.47650172418869	1.93946453715909	up
M00142	0.0426242513916719	-0.384271905506442	3.3161637153459	0.00293079558678136	0.0114957010912432	-2.48525872360242	1.93946453715909	up
M00978	0.0219280201184431	0.366173135119399	3.2884589340958	0.00313493486326204	0.0120665417378388	-2.5499817869458	1.91841718055512	up
ko03022	0.0375908177730962	-0.194630212164122	3.2599416639277	0.003359430489195	0.0128097910242202	-2.61639387296944	1.89245795517087	up
M00922	0.0610001353183917	0.0382792577403959	3.17287995470755	0.00414523315485508	0.0151520759753926	-2.81777631585134	1.81952786070016	up
M00797	0.0736612551308802	-0.0586123697354012	3.17034990480524	0.00417053612267322	0.0151520759753926	-2.82359662169879	1.81952786070016	up
M00001	0.0128296080417281	0.286940875945769	3.16982078745108	0.00417584661582313	0.0151520759753926	-2.8248136065362	1.81952786070016	up
M00935	0.0940147455667713	-0.0663655925528873	3.14006181345377	0.004485248536459	0.0160524684462743	-2.89312846069783	1.79445817508675	up
M00055	0.0250786477374241	-0.182958441255384	3.09549747247569	0.00499021647547648	0.0175517958792621	-2.99493653746283	1.75567844042032	up
M00159	0.0274881583725609	0.37766922845456	3.05183188007233	0.00553775139495443	0.0191591183778514	-3.0940975307892	1.71762447920546	up
M00854	0.0195926202457986	0.282961256195546	3.05157647580632	0.00554111757006486	0.0191591183778514	-3.09467576147215	1.71762447920546	up
ko00633	0.0345481968148488	0.0994267049263171	3.04086307459492	0.00568409953177998	0.0193784309530817	-3.11891187536263	1.7126813901338	up
M00133	0.0214679118877882	0.260327064859522	3.03604368036121	0.00574956731914975	0.0193784309530817	-3.12980237576944	1.7126813901338	up
M00579	0.0149103209915096	0.371629989382185	3.02932615275303	0.00584202697850257	0.0193784309530817	-3.14496958464057	1.7126813901338	up
M00145	0.0785224006063885	-0.184629308229379	2.98945952142197	0.00642075776232024	0.021126364250215	-3.2346778200025	1.67517523659319	up
M00838	0.0825910728147864	-0.165399627500977	2.97272799628133	0.00667964657848496	0.0218023664321749	-3.27216916152913	1.66149636544776	up
M00673	0.0493890742673324	-0.263313834134908	2.96820225885394	0.00675137058250088	0.0218615809338124	-3.28229393706192	1.6603184349753	up
M00596	0.109427718472611	0.126973328983846	2.83464945993722	0.0092309320931789	0.0283174458196766	-3.5778167851258	1.54794592176071	up
M00020	0.0189840570422041	0.265630257933774	2.7789554369192	0.0105022149398199	0.0315066448194596	-3.6991020608607	1.50159784290591	up
M00030	0.056744711169518	-0.227445235731172	2.75475957806203	0.0111046569168783	0.0326338022566812	-3.75141632498929	1.48633232238458	up
M00959	0.0235029599861867	0.214334642370844	2.75424220603332	0.0111178885139183	0.0326338022566812	-3.752532400308	1.48633232238458	up
M00660	0.0615256869699474	-5.64724968082723e-05	2.74892440555126	0.0112547551914858	0.0327995722723301	-3.76399774739167	1.48413181973277	up
M00163	0.0737107563279738	-0.355546638866955	2.74505882135502	0.0113552425083263	0.0328577230028165	-3.77232494252195	1.48336253589717	up
