Pame_vs_Bger_down	Pame_vs_Esin_down	Pame_vs_Pful_down
M00696	M00018	M00787
M00027	ko00960	M00009
M00700	M00879	M00830
M00175	M00805	M00022
M00643	M00551	M00153
ko00642	M00378	M00136
M00622	ko00909	M00117
M00130	ko00364	M00780
M00537	M00533	M00989
M00538	M00875	M00154
ko02010	ko03440	ko02024
M00939	M00888	M00011
M00149	M00051	M00074
M00878	M00136	M00744
M00530	M00903	M00012
M00875	M00880	M00028
M00112	M00841	M00078
M00126	M00913	M00939
M00117	M00984	M00527
M00551	M00010	M00930
M00984	M00045	M00696
ko00364	M00926	M00531
M00744	M00093	ko02010
M00726	M00417	M00984
M00564	M00089	M00027
ko02024	M00415	M00093
M00837	M00100	M00149
M00615	M00616	M00916
M00526	M00364	M00076
M00850	M00061	M00086
M00119	M00176	ko00960
M00780	M00700	M00825
M00533	M00120	M00705
M00118	M00975	M00572
ko00542	M00088	M00956
M00079	M00537	M00526
ko00909	M00538	M00931
M00835	M00008	M00061
M00573	M00918	M00344
M00802	M00053	M00852
M00074	M00950	ko01053
ko01054	M00951	M00170
M00065	M00007	M00118
M00053	M00883	ko00982
ko00440	M00835	ko00511
M00967	M00530	M00537
M00989	ko00907	M00538
M00985	M00529	M00564
M00527	M00123	M00718
M00889	M00373	M00642
M00877	M00026	M00704
M00840	M00151	ko00909
M00924	M00622	M00530
M00956	M00545	M00811
M00787	ko02010	ko00980
ko02060	ko00903	M00552
M00931	M00852	M00168
M00153	ko00791	M00144
M00867	M00171	M00853
M00572	M00783	M00746
M00552	ko00514	M00172
M00790	M00116	M00823
M00811	M00741	M00575
ko00511	M00036	M00079
M00805	M00525	M00417
M00992	M00307	M00615
ko01053	M00704	M00918
M00017	M00168	M00008
M00154	M00568	M00101
M00544	M00804	M00077
M00123	ko03450	M00779
M00950	M00876	M00804
M00085	M00172	M00171
M00531	M00365	
M00116	M00811	
ko00625	M00170	
ko01051	M00118	
M00918	M00960	
M00575	M00126	
M00932	M00149	
ko03015	M00564	
M00823	ko00363	
M00718	M00781	
M00746	M00038	
M00171	M00932	
M00916	M00338	
M00550	ko01055	
M00417	M00376	
M00078	M00613	
M00704	M00526	
M00093	ko00908	
M00983	M00022	
M00077	M00024	
ko00791	M00546	
M00076	M00833	
M00930	M00912	
M00577	M00028	
M00144	M00540	
M00568	M00573	
M00833	M00044	
M00022	M00957	
M00168	M00923	
ko00982	M00780	
M00170	M00973	
ko03450	M00032	
M00705	M00025	
M00061	M00956	
M00852	M00845	
M00631	M00850	
M00081	M00527	
M00825	ko00983	
M00344	M00154	
M00101	M00990	
M00008	M00878	
M00172	ko00930	
ko00980	M00035	
M00023	M00027	
M00853	M00921	
M00830	M00012	
	M00016	
	M00823	
	M00101	
	M00023	
	M00087	
	M00082	
	M00017	
	M00842	
	M00843	
	M00175	
	M00887	
	M00531	
	M00539	
	M00595	
	M00085	
	M00736	
	M00916	
	M00033	
	M00155	
	ko01053	
	M00543	
	ko00571	
	ko00980	
	M00013	
	ko00982	
	M00544	
	M00555	
	M00779	
	ko00625	
	M00885	
	M00889	
	M00886	
	ko00984	
	M00113	
	M00861	
	M00830	
