Pame_vs_Bger_up	Pame_vs_Esin_up	Pame_vs_Pful_up
M00416	M00416	M00113
M00046	M00161	M00861
M00100	M00163	M00046
M00567	M00570	M00543
M00617	M00145	M00966
M00357	M00596	M00548
M00356	M00019	M00416
M00978	M00966	M00418
M00159	M00797	M00433
M00540	ko00524	M00375
M00563	M00162	M00540
ko00514	M00535	M00358
ko00970	M00127	M00935
M00163	ko00365	M00781
M00161	M00814	M00100
M00549	M00730	M00140
M00548	M00899	M00617
M00036	M00838	M00567
M00876	M00847	M00030
M00127	M00769	M00608
M00909	M00718	ko00903
M00358	M00763	M00886
M00769	ko00633	M00876
M00854	M00563	M00159
M00433	M00856	M00968
M00140	M00031	M00357
M00620	ko02040	M00730
M00914	M00072	M00563
M00035	M00418	M00356
M00763	M00344	M00541
M00026	M00642	ko03022
M00048	M00432	M00099
M00935	M00541	ko00121
M00796	M00153	M00546
M00541	M00569	M00415
M00097	M00356	M00763
M00543	ko01052	ko00514
M00959	M00877	M00814
M00608	M00150	M00885
M00958	M00968	M00098
M00098	M00165	M00049
M00031	M00612	M00422
M00973	M00800	M00769
M00896	M00815	M00978
M00113	M00803	M00860
M00861	M00134	ko01052
M00374	M00046	M00377
M00307	M00358	M00618
M00836	M00030	M00035
M00781	M00422	M00793
ko03010	M00433	M00909
ko03030	M00029	M00838
M00422	M00895	M00031
M00375	ko02030	ko00907
M00378	M00866	M00914
M00165	M00357	M00162
M00612	M00308	M00983
M00899	ko01054	M00539
M00741	M00620	ko00908
M00855	M00001	M00958
ko03020	M00377	M00896
ko00121	M00608	ko03050
M00565	M00345	ko00984
M00546	M00649	M00569
M00793	M00618	M00975
M00042	M00550	M00042
M00003	M00778	M00959
M00740	M00064	ko03020
M00082	M00702	ko00970
M00990	ko00542	M00673
M00151	M00075	M00120
M00532	M00014	ko00363
M00134	M00705	M00555
M00064	M00860	M00836
M00886	M00309	M00651
M00880	ko00121	M00036
M00883	M00922	ko00643
M00847	M00896	M00025
ko02030	M00627	M00309
M00898	M00798	M00799
M00596	M00909	M00849
M00542	M00157	M00554
M00673	M00083	M00055
ko03022	M00617	M00378
M00309	M00042	M00741
M00049	M00621	M00087
M00660	M00796	M00595
M00804	M00375	M00532
M00849	M00115	ko03030
M00044	M00076	M00165
M00860	M00003	M00612
M00001	M00063	M00620
M00797	M00140	M00145
M00844	M00567	M00374
M00142	ko03020	M00778
M00895	M00542	M00376
ko00907	M00552	M00613
ko03430	M00854	M00345
M00923	M00060	M00899
ko04122	M00890	M00134
M00021	M00853	M00890
M00133	M00078	M00805
ko02040	ko03010	M00880
ko01052	M00867	M00050
M00096	M00142	ko03010
M00885	M00799	M00003
M00579	ko03070	M00082
M00968	M00049	ko04122
M00015	M00081	M00802
M00418	M00972	M00542
M00055	M00660	M00048
M00890	M00133	ko00450
M00173	M00824	M00972
M00614	M00802	M00898
ko03420	M00130	ko00930
ko00633	M00065	M00088
M00621	M00967	M00083
ko00903	M00094	
M00025	M00978	
M00145	M00840	
ko03060	M00020	
M00020	M00939	
M00072	M00077	
M00083	M00623	
M00554	M00643	
ko03018	M00914	
M00697		
M00013		
M00972		
M00087		
M00618		
M00649		
M00338		
M00814		
M00841		
M00377		
ko03410		
M00088		
ko00908		
M00903		
M00345		
M00783		
M00651		
M00966		
M00887		
M00002		
M00034		
M00115		
M00730		
M00938		
M00641		
M00799		
ko03070		
M00099		
M00845		
M00525		
ko03050		
