gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00113	0.14336842379359	-0.270881478360557	16.3358244686181	9.68488103976175e-14	1.9757157321114e-11	21.5752752718655	10.7042755419632	up
M00861	0.14336842379359	-0.270881478360557	16.3358244686181	9.68488103976175e-14	1.9757157321114e-11	21.5752752718655	10.7042755419632	up
M00046	0.0914295056110646	0.118855546008944	13.5310279499141	4.17496036030302e-12	5.67794609001211e-10	17.7612130569283	9.24580873525528	up
M00543	0.134477858470129	-0.343168275845066	13.283465132648	5.99572936482877e-12	6.11564395212535e-10	17.3930291501809	9.21355780679935	up
M00966	0.136913969641255	-0.103183101616763	11.6806459854179	7.15403814650882e-11	5.83769512755119e-09	14.8663489797619	8.23375858969736	up
M00548	0.118039670457326	-0.289156914699448	11.392776007979	1.14694895211983e-10	7.79925287441484e-09	14.3845441449651	8.10794699834282	up
M00416	0.07439249478433	-0.391066940491348	10.3486631437699	6.84912224302397e-10	3.99205982164826e-08	12.5589998966242	7.39880295936436	up
M00418	0.124217058514218	-0.258700699717663	10.187625067887	9.12203831149775e-10	4.62880670837895e-08	12.2660913429811	7.33453095428677	up
M00433	0.116710535700866	-0.187499738862519	10.1247385069809	1.02106030331889e-09	4.62880670837895e-08	12.1508574265339	7.33453095428677	up
M00375	0.0697120844903695	0.0436703752279482	9.83455522976573	1.7282751259022e-09	6.4679761982621e-08	11.6128535942835	7.18923158693856	up
M00540	0.100287366128296	-0.138017857596675	9.82771472961996	1.75006305875661e-09	6.4679761982621e-08	11.6000458259632	7.18923158693856	up
M00358	0.0831858302059776	0.0310793475933382	9.78223570843507	1.90234594066532e-09	6.4679761982621e-08	11.5147454647162	7.18923158693856	up
M00935	0.148746258094011	-0.0663655925528873	9.52153069606373	3.08406820526241e-09	9.67922944420819e-08	11.0207686350755	7.0141592151553	up
M00781	0.0892747110379574	-0.425394352769245	9.36264416522395	4.15714371885589e-09	1.21151045520943e-07	10.7154986650938	6.91667283359402	up
M00100	0.0885768313889557	-0.243348493918441	9.10575957794645	6.78195388503924e-09	1.84469145673067e-07	10.2151004433084	6.73407626356724	up
M00140	0.0237388077323047	0.338054987802239	8.98626481234385	8.54026243213355e-09	2.17776692019406e-07	9.9794215480405	6.66198860331775	up
M00617	0.0995079806084986	0.0432842731655937	8.63502377400128	1.69972437044039e-08	3.85270857299821e-07	9.27585767636489	6.41423384069514	up
