gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00615	0.0850893792329088	-0.0842072117957256	4.83257240228532	6.54893312744761e-05	0.00534392943199725	1.45553180318826	2.27213928546824	up
M00079	0.0632101235377083	0.179013435279263	4.61159883018654	0.000114487070083693	0.0077851207656911	0.905988583594608	2.10873464610595	up
M00804	0.0621914187529936	0.0991820540246302	3.94244423425541	0.000620135335430649	0.0168676811237137	-0.746077091211616	1.77294461773072	up
M00171	0.0476282671366958	0.0823385433052898	3.65349578629148	0.00127637286480363	0.0226417447321687	-1.44555152597273	1.64509011024181	up
M00642	0.0543264770591457	0.300004438121743	3.61205775436276	0.00141457586477747	0.024047789701217	-1.5447689777712	1.61892483466137	up
M00163	0.0887092400734904	-0.355546638866955	3.5669235860603	0.00158180109878855	0.0258149939322291	-1.65247484028204	1.58812797269693	up
ko00590	0.0273279125944464	-0.153896983812419	3.53542950113592	0.00170979385294837	0.0268306112308821	-1.72739745867544	1.57136943350862	up
ko02030	0.0350681097471063	0.248710313129395	3.49003719197734	0.00191224315425959	0.0286349094789518	-1.83503063259602	1.54310418544584	up
M00649	0.0925173578542758	-0.279210304561465	3.23687651902269	0.00354810061102759	0.0438674257363412	-2.42675851574787	1.35785785046637	up
ko00909	0.0350270009295622	-0.053407085740184	3.14699815026664	0.00440638587406828	0.0513658696177102	-2.63288079990066	1.28932535493666	none
M00086	0.0226208636575812	0.188002388449713	2.95709300813898	0.00692422556640512	0.06894709107799	-3.06042457197976	1.16148405226445	none
M00077	0.0682854192131762	0.081914504361718	2.95683082573242	0.00692850670146469	0.06894709107799	-3.06100675656031	1.16148405226445	none
M00552	0.0302164440832761	0.269575444444694	2.91307450362491	0.0076795103845336	0.0720701009236864	-3.15783712523063	1.14224486977392	none
M00530	0.0326826530121317	0.161038363856097	2.84927003581598	0.00891490370460955	0.0808284602551265	-3.2978168481024	1.09243569423215	none
ko03070	0.0284616296558652	0.13918467977737	2.79691304496984	0.0100673971554021	0.0829683238930065	-3.41156018050656	1.08108768333726	none
ko00960	0.0190800697595919	0.0452973608133895	2.78406552754623	0.0103710404866258	0.0829683238930065	-3.43931135673732	1.08108768333726	none
ko02040	0.0367479018239909	0.246929817878605	2.69558601183439	0.0127094943411268	0.0942813398396316	-3.62865941238532	1.02557425431038	none
M00011	0.0158867581972905	0.219167932395249	2.62966977979556	0.0147652307001417	0.10757525224389	-3.76763014890893	0.968287626904705	none
M00796	0.0838978600339728	-0.118154620951195	2.58306414787436	0.0164025817392998	0.115383678441971	-3.86476027966872	0.937855619810315	none
M00537	0.0409536291835412	0.0235326887594636	2.5648646180056	0.0170868700485594	0.116190716330204	-3.90242844282362	0.934828570806556	none
M00538	0.0409536291835412	0.0235326887594636	2.5648646180056	0.0170868700485594	0.116190716330204	-3.90242844282362	0.934828570806556	none
M00939	0.0251177188415081	-0.0121248007614517	2.5403534924165	0.0180506131806601	0.119432650117295	-3.95292348564911	0.922876930933715	none
M00575	0.0268294540983297	0.116314768507209	2.50306449553166	0.0196142667555848	0.12414126883574	-4.02921251767202	0.90608382004661	none
M00097	0.0586918966330826	-0.108423184923642	2.49190663812125	0.0201060724320256	0.124292084125249	-4.05191405708702	0.905556529686552	none
M00127	0.0245334820493767	0.273628248830409	2.45189299884577	0.0219653730292241	0.130768939678519	-4.13283807103336	0.883495397663857	none
M00596	0.0952310743346527	0.126973328983846	2.37197936734049	0.0261631892327587	0.137256329232055	-4.29211446142376	0.862467620013176	none
M00161	0.0754187723550356	-0.342780996337075	2.37062724734359	0.0262401805884811	0.137256329232055	-4.2947818610365	0.862467620013176	none
M00150	0.100377927285538	-0.0170403664360042	2.33136569007578	0.0285685947869875	0.1430057790255	-4.37182615715676	0.844646411848416	none
M00696	0.025954010950214	0.092068435903857	2.27178672950709	0.0324650348627946	0.154020165395584	-4.48719917877149	0.812422414574631	none
M00918	0.0781402265140891	-0.281040370289132	2.22011086700828	0.0362303685240759	0.166089779301382	-4.58571954583464	0.779657091989206	none
M00623	0.0351791218349137	-0.170581975440823	2.10537372229183	0.0460403050358094	0.192115117950916	-4.7991017825343	0.716438458228772	none
M00637	0.0805649311063357	-0.244789662007512	2.10426970563828	0.0461452979391906	0.192115117950916	-4.80111793455774	0.716438458228772	none
M00746	0.0769018753028141	-0.0142552900078063	2.03287526626098	0.0534067612266906	0.217872837503411	-4.92994887012011	0.66179691044992	none
M00697	0.0422962443868502	-0.00473825592994547	2.01923999409301	0.0549038902003035	0.217872837503411	-4.95420141277194	0.66179691044992	none
M00417	0.0791671764079422	-0.0743487203883663	1.96182057572908	0.0616242863975426	0.230587428271469	-5.05506142726277	0.637164374323031	none
ko02026	0.0132315512580725	0.122408126945532	1.95845341155427	0.06203999031048	0.230587428271469	-5.06091152528952	0.637164374323031	none
M00009	0.0112675611707731	0.237084369556805	1.95750775534969	0.0621571824142408	0.230587428271469	-5.06255320660487	0.637164374323031	none
M00570	0.0189008140959807	0.364506106598952	1.94837919221719	0.0632985097215797	0.230587428271469	-5.07837127100952	0.637164374323031	none
M00060	0.012343808490383	0.337462483537736	1.93691965164968	0.0647573256891361	0.233814060895288	-5.09815295397794	0.631129375186091	none
M00925	0.012493890096737	0.186252980273617	1.92232330854557	0.066658136799245	0.238565963281508	-5.12322701025032	0.622391517972717	none
M00718	0.0189534964397979	0.478767091289985	1.9115919977828	0.0680866350247252	0.239272180909545	-5.14157357378404	0.621107791899684	none
M00797	0.0491632070537799	-0.0586123697354012	1.9033545057775	0.0692012680081527	0.239272180909545	-5.15560575823824	0.621107791899684	none
M00019	0.014530797331621	0.450523770139763	1.89446158197777	0.0704224554863798	0.241448418810445	-5.17070462180751	0.617175634347905	none
ko00511	0.0158994344309179	0.248930767595705	1.8776213751709	0.0727865686973777	0.243417377283034	-5.19915431318386	0.613648421222039	none
M00156	0.0656778845181665	-0.171068099630245	1.86853441317428	0.0740907248886771	0.243618480785656	-5.21442785820351	0.613289769410281	none
M00931	0.0231846169519244	0.176295759684369	1.85132785527893	0.0766159317523037	0.246354160171577	-5.24319840744583	0.608440099415846	none
M00029	0.0108188516097907	0.41887699172426	1.85087243748083	0.0766837704455643	0.246354160171577	-5.24395720920489	0.608440099415846	none
M00847	0.0386791870199924	0.292967350170604	1.8100612251451	0.082978134726806	0.258435717317075	-5.31138755324908	0.587647464509183	none
M00157	0.00973723041523233	0.40280272616894	1.80453923106332	0.0838631334955405	0.259213321713489	-5.32042437598382	0.58634268259316	none
M00982	0.012814310725436	0.207062336585966	1.7843622309628	0.0871663001666704	0.266702628186581	-5.35326644474776	0.573972704590194	none
M00855	0.012958571260253	0.256190306691234	1.78180086352406	0.0875935102377495	0.266702628186581	-5.35741551382236	0.573972704590194	none
ko00633	0.0221957707359105	0.0994267049263171	1.75658295355374	0.0918963549047297	0.275689064714189	-5.39802205893933	0.559580459967757	none
M00014	0.0127735302093165	0.130889782773825	1.7387068101657	0.0950548451894327	0.281031716212236	-5.42653761046292	0.551244664441254	none
M00535	0.0189516817729844	0.408706540263182	1.70981492759448	0.10035513507698	0.292972580107098	-5.47214822534807	0.533173024237787	none
M00432	0.013850761319476	0.440543069302988	1.68352324158466	0.105394215406752	0.302822816098273	-5.51313647422838	0.518811406145949	none
M00947	0.0471553882184247	-0.0930504751064237	1.6763730218713	0.10680103365425	0.303663472597058	-5.52419748374016	0.517607445828226	none
M00857	0.0434838906192093	-0.354180783990663	1.63298920005419	0.115680108564418	0.319995503891958	-5.59051247946457	0.494856123707065	none
M00117	0.0222280880889691	0.116360791512122	1.63111696864893	0.116076800431396	0.319995503891958	-5.59334326295061	0.494856123707065	none
M00153	0.0282855072016507	0.368064068813145	1.6060669299595	0.121494683900213	0.330465540208578	-5.63096904014092	0.480873820527873	none
M00152	0.0384826802570609	-0.113364425572785	1.58061199943887	0.127214048289535	0.337235466403733	-5.66872404294732	0.472066757732167	none
M00639	0.0598743635595907	-0.207561222609319	1.57668293416724	0.128116414932791	0.337235466403733	-5.67450834821334	0.472066757732167	none
M00744	0.0496805536621853	-0.0153002609545555	1.57242923610999	0.129099300746949	0.337644325030481	-5.6807574531528	0.471540545303073	none
ko00591	0.0162825526501645	-0.0943381511722605	1.56506282980547	0.130816165406945	0.338106091060164	-5.69154710618186	0.470947005247274	none
M00021	0.022525028170284	0.189301675091122	1.5645634159819	0.130933241145848	0.338106091060164	-5.69227711685001	0.470947005247274	none
M00064	0.0148483820022719	0.28762314440932	1.54289629514146	0.136096380619536	0.344890206787395	-5.72376631917138	0.462319137318832	none
M00074	0.0254232760763549	-0.299935583605619	1.52432083305098	0.140654895956248	0.354241960186106	-5.75047699005427	0.45069999764065	none
M00001	0.00712506851036893	0.286940875945769	1.50663610755595	0.145110170886682	0.358354714451708	-5.77566019911855	0.445686877654901	none
M00856	0.054442088381384	-0.203875706909938	1.50620509331919	0.145220175504647	0.358354714451708	-5.77627095029926	0.445686877654901	none
M00564	0.0353498679983533	-0.151833082225104	1.49793897433133	0.147343054620951	0.358354714451708	-5.78795624710191	0.445686877654901	none
ko03440	0.006166379551302	0.236515030313596	1.46724887290602	0.155446464130374	0.366719235859054	-5.8308751482409	0.435666308996754	none
M00815	0.0373368235947568	-0.131599003377229	1.46506975478978	0.156035275108535	0.366719235859054	-5.83389451201958	0.435666308996754	none
M00899	0.0170752763532556	0.22755090233174	1.46354212031242	0.156449123818346	0.366719235859054	-5.83600895998165	0.435666308996754	none
ko03060	0.0059355408160241	0.157174475434203	1.45714198133208	0.158192611547043	0.366719235859054	-5.84484762073611	0.435666308996754	none
M00866	0.010257413887325	0.357992085893225	1.44138937444571	0.162550557427082	0.374421120616976	-5.8664643471588	0.426639661246177	none
M00660	0.0354714509937987	-5.64724968082723e-05	1.43853517652498	0.163350390857406	0.374421120616976	-5.87036002471882	0.426639661246177	none
M00572	0.00909486883307059	0.345029342121605	1.42367691204132	0.167565238026126	0.381936408461784	-5.89053532543868	0.418008940106974	none
M00144	0.0142900424147848	0.344878438400909	1.38912787103052	0.17770176980335	0.400565315357827	-5.93676471947562	0.397326658639162	none
ko03430	0.00700321574937041	0.209192687680993	1.33835049737502	0.193473792576467	0.42184902714637	-6.00295480016922	0.374842948110528	none
M00811	0.0211468274440751	-0.239793677994206	1.32602197048519	0.197463751243006	0.426270955064266	-6.01870693966759	0.370314257981651	none
M00118	0.0212508671356498	-0.0173760428723727	1.31405795350702	0.201396724709392	0.432472966744378	-6.0338733478137	0.364041034466623	none
M00984	0.030974003332655	-3.28587560496339e-05	1.2881265887643	0.210129588296597	0.445679241816784	-6.06633774191922	0.350977593363609	none
ko03018	0.00617729079227534	0.0620030020996834	1.28692252737959	0.210542060264082	0.445679241816784	-6.06783152615287	0.350977593363609	none
M00344	0.0201084199560953	0.267161843958022	1.22193349429686	0.233740558677967	0.476830739703052	-6.14664686098686	0.321635754834339	none
M00702	0.0234935543335859	0.0235338914417427	1.20594386847945	0.23973381988555	0.48421484412527	-6.16548829752377	0.314961900927171	none
M00145	0.0358359043426134	-0.184629308229379	1.19718044316992	0.243067089191492	0.486223040247497	-6.17572172463373	0.313164465453056	none
M00895	0.00773870210526234	0.274075921017587	1.15043567612672	0.261433682839933	0.508896392150293	-6.22918729968749	0.293370628071043	none
ko02024	0.00563199419124907	0.120612173917675	1.14583484984133	0.26329524697392	0.509120667134404	-6.23434701569211	0.293179272948423	none
M00136	0.0246280682447063	-0.0330045453958915	1.12121493447315	0.27342232497816	0.523738537986334	-6.26164289109942	0.280885468452869	none
ko00365	0.0239743026530554	-0.206364175126795	1.08517183429195	0.288754600891122	0.547962219365478	-6.3006409560025	0.261249384009656	none
M00989	0.0132116322335954	0.151574429366298	1.07690637833937	0.292355997523749	0.551431765968543	-6.30942177952395	0.258508219391869	none
M00854	0.00803132701329368	0.282961256195546	1.07478377184692	0.293286012782289	0.551431765968543	-6.31166692331138	0.258508219391869	none
M00549	0.0103101171759374	0.241398590293342	1.06946848852777	0.295624155481415	0.553278235946868	-6.31727143939032	0.257056413093423	none
M00641	0.0242773900080781	-0.085597547865524	1.05975525949934	0.299931158268395	0.556235966243204	-6.32744806943707	0.254740933062736	none
M00134	0.0138170161352009	0.124646286811697	1.02928516996085	0.313730171998578	0.57143709899741	-6.35882318079385	0.243031567651495	none
M00416	0.0364935459305695	-0.391066940491348	1.02338391572816	0.316453310445139	0.573835336273853	-6.36480314382542	0.241212711795444	none
M00076	0.0280826784602518	0.198341324827024	1.00656666773965	0.324303994034641	0.581997390044458	-6.38167200068616	0.235078962930578	none
M00008	0.0107589165952224	0.292226724316878	0.998703177883082	0.328020801538103	0.581997390044458	-6.38947166923641	0.235078962930578	none
M00006	0.00793609038934412	0.259011837893035	0.998564181514025	0.328086763995651	0.581997390044458	-6.3896090323413	0.235078962930578	none
M00072	0.0270358640744472	-0.182430586220807	0.978547317261368	0.337681672343676	0.588771402076874	-6.4092070327316	0.230053292797314	none
M00308	0.00739443079459517	0.326862936230502	0.972610772057887	0.340563850220937	0.588771402076874	-6.41494906429146	0.230053292797314	none
M00620	0.00747709845048089	0.290805893981368	0.958659413373616	0.347403045963047	0.598060939885752	-6.42831630523819	0.223254560982016	none
M00165	0.00610667804361026	0.272519115855432	0.944928498354763	0.354224387230583	0.600558656031442	-6.44129788292764	0.221444569032542	none
M00612	0.00610667804361026	0.272519115855432	0.944928498354763	0.354224387230583	0.600558656031442	-6.44129788292764	0.221444569032542	none
M00130	0.0168319047621599	-0.286771825769772	0.944562644155949	0.354407362758584	0.600558656031442	-6.44164139902684	0.221444569032542	none
M00705	0.0214981141157212	0.13849400491253	0.908380586530292	0.372816756867789	0.623719537965414	-6.47500356530156	0.20501065149534	none
M00853	0.065374822223963	-0.31047615017387	0.906893395962465	0.37358671000358	0.623719537965414	-6.47634890075905	0.20501065149534	none
M00698	0.0101917733008477	0.00210145739959765	0.901039652124226	0.376627495529865	0.623719537965414	-6.48162431581556	0.20501065149534	none
M00173	0.00413059835866064	0.288607991877113	0.882438268934363	0.386397666318217	0.628098453880993	-6.49817611348191	0.201972275648275	none
M00614	0.00413059835866064	0.288607991877113	0.882438268934363	0.386397666318217	0.628098453880993	-6.49817611348191	0.201972275648275	none
ko00642	0.0104351933461855	-0.0634803769568228	0.87362363016731	0.391084469318165	0.628198675125241	-6.5059066965102	0.201902983866205	none
ko02025	0.0130916097277771	0.0320785876950785	0.870582453565817	0.392709974646577	0.628335959434523	-6.50855698781276	0.201808085060282	none
M00740	0.00515158646599156	0.234971095355111	0.837090285106869	0.410898745445106	0.648906897634665	-6.53716995599524	0.187817609430779	none
M00115	0.00344072825918229	0.333953732715059	0.834802856326227	0.41216014601715	0.648906897634665	-6.53908561820741	0.187817609430779	none
M00078	0.0172937620235472	0.216371007137184	0.832343459279936	0.413519101433855	0.648906897634665	-6.54113978840184	0.187817609430779	none
M00346	0.00373316014206942	0.282565169583557	0.824158170511491	0.418062232594287	0.653522570492218	-6.54793524589878	0.184739408739973	none
ko00542	0.0114726029581327	-0.0894805351298709	0.818892325863812	0.421001441414886	0.655109616039082	-6.55227346552544	0.183686025721379	none
M00879	0.0253343609867556	-0.12387676682393	0.813731617902341	0.423894457437053	0.655109616039082	-6.55649958410859	0.183686025721379	none
M00779	0.0295999925402127	-0.280633049269979	0.78196366942522	0.441974097540385	0.672856088792825	-6.5819572060599	0.172077813229889	none
ko02010	0.00363505121411237	0.0899943889658908	0.777061580523503	0.444805260440821	0.67464887085448	-6.58579992629745	0.170922202171909	none
M00844	0.00409698715213513	0.452833570535947	0.765367060332996	0.451603641867784	0.677826560419098	-6.59487444604182	0.168881417473486	none
M00142	0.0117552446785651	-0.384271905506442	0.763627119717054	0.452620443543224	0.677826560419098	-6.59621339260357	0.168881417473486	none
M00028	0.00526743968733195	0.236249045656009	0.762045848733487	0.453545713221602	0.677826560419098	-6.59742772209943	0.168881417473486	none
M00704	0.0169134029932801	0.0633999867096904	0.72343260120088	0.476490035821844	0.702779607389645	-6.62633530231422	0.153180848950563	none
M00004	0.00316159952579698	0.290408626397485	0.710962406070014	0.484042260914829	0.710392958464929	-6.63536413698469	0.148501352008427	none
M00800	0.018806837805251	-0.140335156195346	0.674550656003319	0.50648476980095	0.73539425650814	-6.66086537145943	0.133479766330853	none
M00133	0.00558798131819604	0.260327064859522	0.671484340488369	0.508400972241413	0.735558853455662	-6.66295407693503	0.133382572822969	none
M00924	0.00581402270358744	0.185642531355149	0.654178840219182	0.51929098436576	0.745773566580562	-6.67457035992788	0.127393013964314	none
M00168	0.00953291596187567	0.141344114933026	0.651568358926054	0.520944770773187	0.745773566580562	-6.67629726664028	0.127393013964314	none
