Pful_vs_Bger_down	Pful_vs_Esin_down	Pful_vs_Pame_down
ko00542	M00926	M00898
M00539	M00951	ko00930
M00595	M00836	M00088
M00065	M00608	M00083
M00101	M00101	M00972
M00975	M00373	ko00450
M00050	M00793	M00048
M00144	M00049	M00542
M00924	ko00791	ko04122
M00375	ko00543	M00802
ko02060	ko03410	M00082
ko00543	M00903	M00003
M00024	M00526	ko03010
M00168	M00364	M00050
M00726	M00913	M00880
M00850	M00978	M00805
M00837	M00960	M00890
M00175	M00095	M00134
M00531	M00010	M00899
M00154	M00616	M00345
M00889	M00358	M00376
M00038	M00823	M00613
M00545	M00673	M00778
ko00524	M00374	M00374
M00778	M00888	M00145
M00120	ko00830	M00620
M00008	ko03030	ko03030
M00099	M00959	M00165
ko00903	M00028	M00612
ko00982	M00022	M00532
M00916	M00632	M00595
ko00984	ko00450	M00087
M00017	M00883	M00741
M00730	M00040	M00378
M00123	M00051	M00055
M00838	ko00970	M00554
M00093	M00568	M00849
M00950	M00956	M00799
M00040	ko00643	M00309
M00170	M00433	M00025
M00078	M00116	ko00643
M00076	ko04122	M00036
M00790	M00841	M00651
ko00625	M00849	M00836
ko00440	ko01055	M00555
M00126	M00007	ko00363
M00544	M00151	ko00970
M00930	M00651	M00673
M00835	M00780	M00120
M00643	M00983	ko03020
M00840	M00554	M00959
M00622	M00617	M00975
M00877	M00833	M00042
M00852	M00567	M00569
M00172	M00176	ko00984
M00985	M00835	ko03050
M00061	M00958	M00896
ko01054	M00527	M00958
M00705	M00045	ko00908
M00344	M00307	M00539
ko00980	M00805	M00983
M00867	M00932	M00914
M00967	M00044	M00162
ko03015	M00154	ko00907
M00543	M00026	M00031
ko00363	ko03022	M00838
M00825	M00525	M00909
M00569	M00140	M00793
M00992	M00027	M00035
M00022	M00573	M00618
ko00791	M00880	M00377
M00085	M00365	ko01052
M00932	M00012	M00860
M00418	ko03050	M00769
M00116	M00378	M00978
M00802	M00088	M00422
M00833	M00338	M00049
M00853	M00375	M00098
M00081	M00159	M00814
M00162	M00545	M00885
M00415	M00098	ko00514
M00550	M00622	M00763
M00577	ko00983	M00415
M00568	M00957	M00546
M00631	M00783	ko00121
M00805	M00032	M00099
M00030	M00016	ko03022
M00113	M00531	M00541
M00861	M00046	M00563
M00966	ko03450	M00356
ko01051	M00126	M00730
M00023	M00878	M00357
ko03450	ko00980	M00159
M00983	M00850	M00968
M00830	M00023	M00886
	M00038	M00876
	M00120	ko00903
	M00975	M00608
	M00741	M00030
	M00024	M00567
	M00845	M00617
	ko01053	M00140
	M00099	M00100
	M00916	M00781
	M00779	M00935
	M00990	M00375
	M00036	M00540
	M00017	M00358
	ko00907	M00418
	M00912	M00433
	M00415	M00416
	M00376	M00548
	M00613	M00966
	M00923	M00543
	M00935	M00046
	M00973	M00113
	ko00363	M00861
	ko00514	
	ko00982	
	M00175	
	M00842	
	M00843	
	M00887	
	M00085	
	M00921	
	ko00908	
	ko00930	
	M00155	
	M00025	
	ko00571	
	M00033	
	M00548	
	M00736	
	ko00903	
	M00876	
	M00082	
	M00546	
	M00100	
	M00087	
	M00035	
	M00595	
	M00013	
	M00544	
	ko00625	
	M00539	
	M00781	
	M00540	
	M00889	
	M00555	
	M00885	
	M00543	
	M00886	
	ko00984	
	M00830	
	M00113	
	M00861	
