Pful_vs_Bger_up	Pful_vs_Esin_up	Pful_vs_Pame_up
M00163	M00163	M00171
M00804	M00416	M00779
M00097	M00570	M00804
M00549	M00161	M00077
M00161	M00019	M00101
M00127	M00718	M00918
M00779	M00596	M00008
M00796	M00535	M00615
M00978	M00642	M00417
M00855	M00145	M00079
ko00970	M00344	M00575
M00026	M00797	M00823
M00854	M00153	M00172
M00036	ko00524	M00853
M00567	ko00365	M00746
M00356	M00127	M00144
M00357	M00077	M00168
M00416	M00432	M00552
M00307	ko02040	ko00980
ko02030	M00552	M00530
M00044	M00853	M00811
M00617	M00856	ko00909
M00100	M00150	M00704
ko00514	M00705	M00642
M00620	ko00633	M00718
M00151	M00079	M00564
M00565	M00162	M00537
M00990	M00847	M00538
M00048	M00815	ko00511
M00883	M00076	ko00982
M00159	M00899	M00118
M00563	ko02030	M00170
M00909	M00029	ko01053
M00973	M00877	M00852
ko03430	M00649	M00344
M00844	M00575	M00061
M00740	M00072	M00931
M00697	M00078	M00526
M00596	M00746	M00956
M00064	M00800	M00572
ko02040	M00939	M00705
ko03010	ko00542	M00825
M00028	M00931	ko00960
M00374	M00550	M00086
M00769	M00838	M00076
M00021	M00702	M00916
M00649	M00081	M00149
M00660	M00866	M00093
M00914	M00308	M00027
ko03018	M00803	M00531
M00899	M00060	ko02010
ko03030	M00814	M00984
ko00590	M00171	M00696
M00035	M00014	M00930
M00847	M00615	M00527
M00165	M00925	M00939
M00612	M00144	M00078
ko03060	ko01054	M00012
M00001	M00157	M00028
M00876	M00769	M00744
M00959	M00796	M00074
M00637	M00895	M00011
M00003	M00134	ko02024
M00082	M00001	M00154
M00046	M00165	M00989
M00378	M00612	M00780
M00741	M00031	M00117
M00797	ko03070	M00136
M00086	M00569	M00153
M00096	M00623	M00022
M00134	M00130	M00830
M00836	M00763	M00009
ko03440	M00730	M00787
M00958	M00065	
M00338	M00924	
ko03070	M00572	
M00880	M00627	
ko00960	M00825	
M00142	M00930	
M00898	M00064	
M00896	ko00590	
M00173	M00798	
M00614	M00075	
M00542	M00417	
M00642	M00631	
M00763	ko00511	
ko01055	M00008	
M00532	M00918	
M00615	M00006	
M00012	M00115	
M00015	M00867	
M00031	ko01052	
M00903	ko00591	
M00133	M00563	
M00895	ko00909	
M00923	M00063	
M00011	M00790	
M00009	M00804	
M00013	M00074	
ko03020	M00922	
ko00633		
M00079		
ko00983		
M00156		
M00152		
M00540		
M00018		
M00982		
ko00571		
M00957		
M00530		
M00002		
M00042		
