module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
M00543	-0.147521502079	-0.343168275845066	-4.1434107418485	0.000373945799279638	0.0120422301289899	-0.253359968662088	-1.9192930776109	down	-0.402441331053447	-0.402441331053447	-0.402441331053447	-0.402441331053447	-0.402441331053447	-0.402441331053447	-0.193390107813824	-0.241402466810744	-0.181186349745878	-0.182314313251445	-0.19433445439821	-0.189917263909786	-0.277653181341112	-0.29576272278734	-0.317902961858558	-0.337619157303401	-0.335077001735494	-0.351974238579213	-0.453613827889985	-0.454073002836674	-0.453919944521111	-0.453307711258859	-0.454124022275195	-0.453817905644069
M00099	-0.0767641057997999	-0.162287291576824	-5.33658330890456	1.84476393482019e-05	0.00376331842703318	2.70613922550949	-2.42442903300817	down	-0.190790639225879	-0.156428048955127	-0.173567553229783	-0.184118434258921	-0.186793238912932	-0.147440300225613	-0.135964176987931	-0.122395491728173	-0.127057436620678	-0.127251700218828	-0.0583292204483068	-0.121173907816966	-0.122370117161667	-0.146789328380257	-0.129127057267299	-0.166642678188122	-0.145761900691646	-0.133731541965602	-0.239756279531477	-0.24461044101453	-0.190552041507755	-0.254309554584743	-0.189154181862402	-0.200779727059136
ko00984	-0.13616349523031	-0.152489928539366	-2.49933470820667	0.0197774080253017	0.12414126883574	-4.03680758617478	-0.90608382004661	none	-0.216862304599542	-0.214547344808992	-0.216064154878005	-0.221115373249018	-0.197438547275344	-0.216048176753521	0.0217861782727183	0.0284804171285497	0.0710854115396833	0.0760479595610931	0.0822464528338079	0.120316576240831	-0.206591622080533	-0.204398011922337	-0.203976239886573	-0.205279888883959	-0.214756047728207	-0.214968268682839	-0.24327501161703	-0.256960199873673	-0.247825809098606	-0.26424497253295	-0.256102019144371	-0.259267287505958
ko00903	-0.0767272543802226	0.105835835539333	-4.84472537906681	6.35103132503085e-05	0.00534392943199725	1.4857576576252	-2.27213928546824	down	0.0957603088994852	0.0724793927313601	0.0793273258723446	0.0782289465756994	0.082226782865804	0.102992878374255	0.127263778848552	0.144150706094631	0.159703453595452	0.204810937915855	0.166057803123606	0.193698273374259	0.108921691969925	0.107765997761016	0.138716170718047	0.130978681768148	0.126838800226988	0.130395753703573	0.0662463238264364	0.056807078251761	0.0368804171228434	0.0443198075284272	0.0401415124794643	0.0453472293160658
M00415	-0.0656695258021117	-0.396878832555325	-7.21143001416871	2.02175155948587e-07	8.24874636270235e-05	7.1823035427784	-4.08361205013261	down	-0.385094721956316	-0.385094721956316	-0.385094721956316	-0.385094721956316	-0.385094721956316	-0.385094721956316	-0.330707421505858	-0.399969281446402	-0.359955006192807	-0.343207466125486	-0.349554817950038	-0.398036096396773	-0.399094863221495	-0.389443027455054	-0.381768559467821	-0.411432454553013	-0.371106477155625	-0.403462316678082	-0.445858873234797	-0.446369067620007	-0.446164989865923	-0.445654795480713	-0.44652212593557	-0.446216009304444
ko00363	-0.148652022223262	-0.183930679464151	-4.88221779369689	5.77757317487717e-05	0.00534392943199725	1.57899778049181	-2.27213928546824	down	-0.15301357161118	-0.263192221913865	-0.179238275922363	-0.140862591162473	-0.162386708220287	-0.144539894462423	-0.132223987781629	-0.0954158978415004	-0.0340606174882194	-0.0559124594067643	-0.0492210293729989	-0.0297119746723558	-0.205231740887624	-0.199326039194632	-0.227117214024131	-0.180690798249912	-0.219635485847121	-0.17003762229056	-0.318487873278606	-0.307179244616451	-0.18484059315831	-0.286820652876043	-0.340804783300839	-0.334385029559338
M00539	-0.127246820978356	-0.368726838180407	-3.09142105770593	0.0050338029991454	0.055507881720306	-2.75917099877484	-1.25564534580335	none	-0.420969560203569	-0.420969560203569	-0.420969560203569	-0.420969560203569	-0.420969560203569	-0.420969560203569	-0.15452157118997	-0.111853499360059	-0.269379848810798	-0.263432666799224	-0.20743994447171	-0.2269482580102	-0.392024837520224	-0.397645900847866	-0.401798788735024	-0.375302174776427	-0.355047742014273	-0.383259799087533	-0.464089661830579	-0.464319295507883	-0.464140691536646	-0.46375796874114	-0.464421354920017	-0.464242750948781
M00113	-0.193707754200925	-0.270881478360557	-3.84502325240499	0.000791686811150797	0.0179449010527514	-0.983259545439912	-1.74605893200126	down	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.0809645025446539	-0.0736082826480594	-0.0560344469375234	-0.0650447105366053	-0.0300005996294851	-0.0251720061033112	-0.272602212053264	-0.293623338402768	-0.264438322693976	-0.27480097862346	-0.278705235046691	-0.252593134485803	-0.422032795445502	-0.422900125900358	-0.422696048146274	-0.421726678814376	-0.422951145338879	-0.384666970422115
M00861	-0.193707754200925	-0.270881478360557	-3.84502325240499	0.000791686811150797	0.0179449010527514	-0.983259545439912	-1.74605893200126	down	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.339432324480044	-0.0809645025446539	-0.0736082826480594	-0.0560344469375234	-0.0650447105366053	-0.0300005996294851	-0.0251720061033112	-0.272602212053264	-0.293623338402768	-0.264438322693976	-0.27480097862346	-0.278705235046691	-0.252593134485803	-0.422032795445502	-0.422900125900358	-0.422696048146274	-0.421726678814376	-0.422951145338879	-0.384666970422115
M00120	-0.0254834179570757	0.236469080241245	-4.30529023116654	0.000248466972026621	0.0114692204225371	0.146135789668721	-1.94046610064245	down	0.239096499544913	0.231940584738173	0.232314802690752	0.245688140280396	0.222360338282018	0.238764871458312	0.257939319287778	0.25036039146533	0.250133305785677	0.262267209229123	0.256092871796249	0.2568272204197	0.247526746983718	0.253914586512355	0.236088959352725	0.221328884784435	0.23358576571882	0.234888326818785	0.221444143613009	0.222376903635995	0.22261154684332	0.206202930456707	0.20632659498224	0.225176981109361
M00595	-0.108470629717851	-0.273686632518107	-2.90795613145056	0.00777226578588775	0.0720701009236864	-3.16912013916115	-1.14224486977392	none	-0.33393385675901	-0.297864683125597	-0.325757779600029	-0.323487862550691	-0.317981744831802	-0.27559454907586	-0.119815323352399	-0.154604277363331	-0.181149695459605	-0.0837597503200017	-0.0953614144096273	-0.129121568294285	-0.272198459207991	-0.286689930914619	-0.291195543879288	-0.339704197546299	-0.285167043051047	-0.324853871854111	-0.304002284765077	-0.398922617887158	-0.341713318061992	-0.385917628250774	-0.326748204254121	-0.372933575619851
M00805	-0.121890546237006	-0.265055850269755	-4.5086716838994	0.000148543017698449	0.0086579358887096	0.650266728855759	-2.06258563442523	down	-0.168473237577685	-0.243203336291743	-0.227368851888459	-0.101229445677179	-0.236922525975648	-0.0643616779457298	-0.258118159823499	-0.267275687809959	-0.228911413806174	-0.233837560847892	-0.21858694765868	-0.220985942997452	-0.257200170608287	-0.26568671001162	-0.285963162030277	-0.307715894694879	-0.313517894145604	-0.323139226998302	-0.354843466962985	-0.366535106760741	-0.349786734152157	-0.346843189473261	-0.364814211289736	-0.356019851046181
