gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00163	0.152217336697649	-0.355546638866955	19.1989933112778	3.5314715843396e-15	1.60093378490062e-13	24.3581646231636	12.7956266302587	up
M00416	0.133904306091398	-0.391066940491348	18.6272897724089	6.59627117180155e-15	2.69127863809503e-13	23.7107420824729	12.5700413357842	up
M00570	0.0503288132552654	0.364506106598952	16.8968740947872	4.87362450196712e-14	1.65703233066882e-12	21.6375843828366	11.7806690178968	up
M00161	0.160383465771414	-0.342780996337075	16.6414934161073	6.64560369303386e-14	2.08569715904447e-12	21.3160296061675	11.6807487504176	up
M00019	0.0388807997679975	0.450523770139763	15.3124558141369	3.57551719055826e-13	9.72540675831845e-12	19.5710311250515	11.0120922255602	up
M00718	0.0480277680645677	0.478767091289985	14.0348158942008	2.03111860044223e-12	4.36155994200226e-11	17.7696408923296	10.3603581545301	up
M00596	0.215246154429991	0.126973328983846	13.5266500189386	4.20157582305048e-12	7.79201334456635e-11	17.0159328399849	10.1083503123581	up
M00535	0.0543216197734043	0.408706540263182	13.2040256153307	6.74175697073024e-12	1.14609868502414e-10	16.5256644472721	9.94077798575762	up
M00642	0.100523005605835	0.300004438121743	13.0231605201915	8.82340494073922e-12	1.38459585223908e-10	16.2466930780039	9.85867697371576	up
M00145	0.132000035852376	-0.184629308229379	12.6113634233398	1.64630260638777e-11	2.3988980835936e-10	15.6001462408875	9.61998820250033	up
M00344	0.0665353265994775	0.267161843958022	12.1186088812823	3.54582073654495e-11	4.52092143909482e-10	14.8049817818553	9.34477303971732	up
M00797	0.12463731046993	-0.0586123697354012	10.786027817213	3.19265615884148e-10	3.17708222635933e-09	12.5287274767405	8.49797154501169	up
M00153	0.0807971914957149	0.368064068813145	10.5597740209348	4.72555696776991e-10	4.38188009738664e-09	12.1228546498279	8.35833951033437	up
ko00524	0.0518526816958041	0.104046733208609	10.215137258769	8.68432621988333e-10	6.90140289032676e-09	11.4932045483024	8.16106261859627	up
ko00365	0.0947964818460634	-0.206364175126795	9.60268793237743	2.65102785951745e-09	2.00299882719096e-08	10.3392153757679	7.69831930499731	up
M00127	0.0413182576166306	0.273628248830409	9.53181842358183	3.025344729609e-09	2.20417973157227e-08	10.2027147951144	7.6567529954611	up
M00077	0.117697349814202	0.081914504361718	9.4394582537861	3.5969531953967e-09	2.48738458257941e-08	10.0238820525114	7.60425706186336	up
M00432	0.038425980088394	0.440543069302988	8.7820679603193	1.27173924720704e-08	8.10733770094485e-08	8.71982026882455	7.09112173661608	up
ko02040	0.070667554702611	0.246929817878605	8.49828378182939	2.23168263129197e-08	1.37958562661686e-07	8.13970201145	6.86025133903174	up
M00552	0.054324975615091	0.269575444444694	8.42631248335599	2.57811701463749e-08	1.56995782383895e-07	7.99090956026635	6.80411201454621	up
M00853	0.221419939136113	-0.31047615017387	8.38011614120751	2.82934063425649e-08	1.67300141851688e-07	7.89504729555392	6.77650369080462	up
M00856	0.165736059081084	-0.203875706909938	8.18755363953009	4.18154058721863e-08	2.30549805349352e-07	7.49245131611497	6.63723524011444	up
M00150	0.227470618008432	-0.0170403664360042	8.13882404867197	4.61963017645631e-08	2.51307881599223e-07	7.38980068187696	6.59979389070955	up
M00705	0.0799334942123688	0.13849400491253	7.8692138362666	8.06311707103707e-08	4.18099658153564e-07	6.81623189991845	6.37872018753708	up
ko00633	0.0565154868181463	0.0994267049263171	7.76862986227206	9.95014140014756e-08	5.01192307562988e-07	6.59981184071106	6.29999560329757	up
M00079	0.0895759021723998	0.179013435279263	7.73806517797347	1.06095609493234e-07	5.27890349673651e-07	6.53378593682713	6.27745627723335	up
M00162	0.110198162288603	-0.201166613825901	7.56145885961518	1.54094662018557e-07	7.31053745390365e-07	6.14989768874893	6.13605069353675	up
M00847	0.0900577011752368	0.292967350170604	7.53845020677582	1.61822408148139e-07	7.58891293384377e-07	6.09958561814956	6.11982042972306	up
M00815	0.113484262606239	-0.131599003377229	7.1926788464794	3.40483238841728e-07	1.47784214305771e-06	5.33529785125826	5.83037195299146	up
M00076	0.0951662415088074	0.198341324827024	7.12426802230741	3.95212657739855e-07	1.69733436166169e-06	5.18227903032724	5.77023259662108	up
M00899	0.0430332791942274	0.22755090233174	7.07598126913196	4.39222769468503e-07	1.86669677024114e-06	5.07391881592028	5.72892622393979	up
ko02030	0.0493423600545438	0.248710313129395	6.98155361946719	5.40431016363214e-07	2.27315314099166e-06	4.86117313748691	5.64337130512533	up
M00029	0.0262420946067953	0.41887699172426	6.74464236819889	9.1391463125345e-07	3.69185316387532e-06	4.32259044278635	5.4327555805028	up
M00877	0.165434592619452	-0.18296025198848	6.73481328015572	9.34200117418961e-07	3.7005208534654e-06	4.30009889903168	5.43173714407735	up
M00649	0.1466230264269	-0.279210304561465	6.02085953277995	4.75234847336828e-06	1.73121265815559e-05	2.63709854678282	4.76164958111891	up
M00575	0.0423993880047469	0.116314768507209	6.01611698958394	4.80495301972353e-06	1.73488569207717e-05	2.62587104335814	4.7607291346688	up
M00072	0.101749363864212	-0.182430586220807	5.96316211567199	5.4343349453427e-06	1.92800752843463e-05	2.50035764303415	4.71489127460786	up
M00078	0.0643481159999558	0.216371007137184	5.89545369923456	6.36346846653663e-06	2.18176061709827e-05	2.33948715803541	4.66119290194954	up
M00746	0.135924761511635	-0.0142552900078063	5.6215053183234	1.21114702166467e-05	3.98506439386441e-05	1.68444398422865	4.39956465653285	up
M00800	0.100630020563361	-0.140335156195346	5.50189772621876	1.6078801586472e-05	5.16547326557524e-05	1.39654333399654	4.28688988184779	up
M00939	0.0455888506812323	-0.0121248007614517	5.35119481141533	2.30205868880771e-05	7.2249226541042e-05	1.03236325520742	4.14116679785523	up
ko00542	0.0485729111165995	-0.0894805351298709	5.34473595669395	2.33784460213953e-05	7.28122593643456e-05	1.01672252823275	4.13779549258192	up
M00931	0.0472444715356372	0.176295759684369	5.17681504655221	3.49545639473279e-05	0.000103607640158105	0.609257179838091	3.98460821798689	up
M00550	0.0500676006107152	0.2104769668041	5.0778521999482	4.4349677403389e-05	0.000129247631289876	0.368464906021627	3.88857740743837	up
M00838	0.0826875802240119	-0.165399627500977	5.05252942831857	4.71403565381416e-05	0.000135445531461702	0.306784793321114	3.86823531837933	up
M00702	0.075552697637847	0.0235338914417427	5.04107495442297	4.84604041563397e-05	0.000138264649620885	0.278876483158312	3.85928884257336	up
M00081	0.039161328068145	0.223927387714738	5.02567014526321	5.02948537932081e-05	0.000142502085747423	0.241335817475472	3.84617877901009	up
M00866	0.0271166324263539	0.357992085893225	4.94629937827434	6.09210384598642e-05	0.000170245093778251	0.047788436218779	3.76892539498484	up
M00308	0.0271467193488513	0.326862936230502	4.78382164634339	9.0293617292072e-05	0.000245598639034436	-0.348913823347157	3.60977404413296	up
