gene_set	Bger Mean	Esin Mean	Pame Mean	Pful Mean	ANOVA P-value	ANOVA P-value Adj.	ANOVA -log10(P.adj)	ANOVA Significance	ANOVA P-value Adj. Significance
ko00121	-0.01625285849	0.008534079388	0.05579815699	-0.007719930578	9.4310262e-06	1.78141606e-05	4.749234637	****	****
ko00363	-0.1738722105	-0.06609099443	-0.2003398167	-0.2954196961	2.021870166e-07	5.53639616e-07	6.256772841	****	****
ko00364	-0.09424512341	-0.1027895962	-0.1592588787	-0.1345328514	0.04664899387	0.05157937533	1.287523922	*	non
ko00365	-0.1787066488	-0.28317993	-0.1751866736	-0.1883834481	1.251356723e-09	7.091021431e-09	8.149291202	****	****
ko00401	0.07005111489	0.07203540245	0.06759713919	0.07131496548	0.7514211974	0.7588610113	0.1198377598	non	non
ko00440	0.07428357664	0.03129589043	0.04548474361	0.04015618132	0.0001779760469	0.0002750538906	3.560582208	***	***
ko00450	0.2287393736	0.2351359607	0.2298304934	0.2185879405	0.006568558363	0.007882270035	2.103348691	**	**
ko00511	0.26489117	0.2406070608	0.2293287379	0.2608553434	0.000119689426	0.0001878203301	3.726257401	***	***
ko00514	-0.1097956248	-0.002268878201	-0.03123047029	-0.06764136961	3.684708794e-12	6.536352991e-11	10.1846645	****	****
ko00524	0.1266610104	0.05846484244	0.120658588	0.1103600081	2.031680227e-11	2.59039229e-10	9.586634461	****	****
ko00542	-0.05900312799	-0.1294607085	-0.0885939356	-0.08087608291	2.847921158e-06	6.020475815e-06	5.220369184	****	****
ko00543	0.02035915564	0.01965037939	0.007454372691	0.004394552082	0.02168792558	0.02478620067	1.605790039	*	*
ko00550	0.2438354558	0.2643011015	0.2570358362	0.2481057646	0.04271012416	0.04735252896	1.324656822	*	*
ko00552	0.1149216183	0.1461681535	0.1373651495	0.1289182484	0.0571850065	0.06305806122	1.200259386	non	non
ko00571	-0.146495753	0.0681851408	-0.1239302511	-0.1077995361	6.234113471e-11	5.5293876e-10	9.257322966	****	****
ko00590	-0.169238461	-0.160644543	-0.1523038818	-0.1334010494	0.004522233866	0.00566896701	2.24649607	**	**
ko00591	-0.08964656324	-0.1131102573	-0.09246954742	-0.08212623668	0.09835497939	0.1058808221	0.9751826952	non	non
ko00625	0.06033771919	0.1202080539	0.02320327275	0.03562153496	1.055179127e-12	2.265858335e-11	10.64476725	****	****
ko00633	0.09673738803	0.05953006355	0.1253378525	0.116073533	8.162435431e-08	2.448730629e-07	6.611058986	****	****
ko00642	-0.04565138681	-0.07592618276	-0.07671274618	-0.05565398195	0.07614296499	0.08262321733	1.082897898	non	non
ko00643	0.01214793367	0.02285518683	0.02171674931	0.002366205014	0.001288948884	0.001718598512	2.764825568	**	**
ko00791	0.03084479908	-0.00422697617	-0.05224853836	-0.0336400065	4.51493107e-06	8.898994572e-06	5.050659058	****	****
ko00830	0.06682343342	0.09866493179	0.08713893041	0.06618913604	0.004867159678	0.006035869753	2.21926014	**	**
ko00903	0.08516927255	0.1659410853	0.1239361827	0.04829039475	2.513371283e-09	1.314686517e-08	7.881177791	****	****
ko00907	-0.1297523141	-0.03313003499	-0.07496657719	-0.125878075	6.689712083e-08	2.098273509e-07	6.678137902	****	****
