contract	X	number	group
Esin_vs_Bger_up	Esin_vs_Bger	194	Esin
Esin_vs_Pame_up	Esin_vs_Pame	155	Esin
Esin_vs_Pful_up	Esin_vs_Pful	157	Esin
Esin_intersection_up	Esin_intersection	105	Esin
Esin_vs_Bger_down	Esin_vs_Bger	-117	Esin
Esin_vs_Pame_down	Esin_vs_Pame	-126	Esin
Esin_vs_Pful_down	Esin_vs_Pful	-102	Esin
Esin_intersection_down	Esin_intersection	-60	Esin
Bger_vs_Esin_up	Bger_vs_Esin	117	Bger
Bger_vs_Pame_up	Bger_vs_Pame	120	Bger
Bger_vs_Pful_up	Bger_vs_Pful	97	Bger
Bger_intersection_up	Bger_intersection	46	Bger
Bger_vs_Esin_down	Bger_vs_Esin	-194	Bger
Bger_vs_Pame_down	Bger_vs_Pame	-158	Bger
Bger_vs_Pful_down	Bger_vs_Pful	-114	Bger
Bger_intersection_down	Bger_intersection	-68	Bger
Pame_vs_Bger_up	Pame_vs_Bger	157	Pame
Pame_vs_Esin_up	Pame_vs_Esin	127	Pame
Pame_vs_Pful_up	Pame_vs_Pful	108	Pame
Pame_intersection_up	Pame_intersection	49	Pame
Pame_vs_Bger_down	Pame_vs_Bger	-121	Pame
Pame_vs_Esin_down	Pame_vs_Esin	-154	Pame
Pame_vs_Pful_down	Pame_vs_Pful	-74	Pame
Pame_intersection_down	Pame_intersection	-36	Pame
Pful_vs_Bger_up	Pful_vs_Bger	113	Pful
Pful_vs_Esin_up	Pful_vs_Esin	102	Pful
Pful_vs_Pame_up	Pful_vs_Pame	74	Pful
Pful_intersection_up	Pful_intersection	4	Pful
Pful_vs_Bger_down	Pful_vs_Bger	-97	Pful
Pful_vs_Esin_down	Pful_vs_Esin	-156	Pful
Pful_vs_Pame_down	Pful_vs_Pame	-118	Pful
Pful_intersection_down	Pful_intersection	-15	Pful
