gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K00001	84.632356554	86.588825266	75.187402263	103.295422284	95.876062205	190.716681868	72.409700663	92.129724191	71.83509747	60.645090083	76.6516875195	84.171173876	65.700285128	62.645362426	65.711306978	62.853056029	61.517167659	59.267196519	74.495888275	94.086215108	257.74889998	91.540788751	85.722610023	96.339896542
K00002	36.496464423	31.777497814	39.509067692	22.756170134	48.921124586	45.430663214	25.3566877715	23.570053488	26.906224854	23.259818764	24.91429779	31.46307719	36.953237765	27.478250488	29.39535477	30.59834556	30.263790898	28.14618896	25.904747394	38.80817298	27.127768033	29.6739978685	36.247579336	38.216278452
K00003	85.385762818	109.296674458	93.764368209	66.729257429	94.219611879	121.9235908155	208.246761725	189.022828296	200.078345566	185.09802197	209.444506612	219.900225314	211.529050049	194.236698655	206.390646607	295.087309554	214.967690214	215.108776493	183.813032766	145.069617014	152.685550232	136.034130828	162.0452950255	158.856177896
K00004	15.43327117	9.889578096	10.19213056	7.954294516	12.020809692	20.941649094	35.208040572	39.65943361	26.486510268	23.03316909	39.266492016	35.708566257	28.396980735	23.083217402	22.280788925	19.81242697	22.409553636	20.7598231745	24.176236904	29.838317813	23.3049798506	19.366129618	33.79518932	26.720344975
K00005	85.149807931	83.709459602	78.317362723	82.1587496186	64.827187438	136.885076823	112.699609757	100.695109816	95.504127008	121.312134458	98.22187286	109.022047556	65.90522002	58.602696857	47.686849596	38.705249224	44.338798274	44.016017926	90.753946622	65.407277075	44.43489705	60.510405232	61.770090094	60.81418091
K00007	8.30980069	5.855549609	3.918314295	7.511385969	6.116769974	18.94425655	1.22343544	0.940272588	1.41257033	1.99900414	0.639566663	0.734046019	14.61234421	9.07985429	6.845564916	4.292943713	4.69662705	3.54729968	2.97518723	8.93519318	3.523761726	7.5803526	6.07376164	3.46366511
K00008	298.521398082	243.0991570985	264.468976687	385.8135878814	254.651338511	610.4398759875	184.745198546	181.568563994	187.387952973	163.5541679385	158.420927062	173.472978138	325.934420238	259.846570634	232.645152596	190.1197167155	213.510835346	198.729211422	229.5996979365	317.8989539145	278.5420204335	284.1533710165	345.9261411195	436.7524157774
K00009	62.727695564	33.664607298	51.392516398	24.709690942	46.270722714	42.155738825	46.948706288	40.565972904	42.939250137	41.675555642	54.029276547	55.195741217	40.049478031	38.480822368	40.430608264	29.721159048	32.120197595	37.084127331	42.766400606	33.6990164525	17.264021178	22.5074610905	27.0314348385	29.384680021
K00010	511.784351895	501.037902025	498.274446251	682.667374375	549.971649931	532.145119845	312.018534887	383.240674475	381.566230671	331.8966381205	319.95611462	352.2905972336	595.876938165	458.992449568	563.565419929	647.2555031865	616.07464344	711.025306571	420.0872516492	572.2922819127	411.2036724802	417.6216053182	466.777931804	466.8741722246
K00012	224.07457899	222.249444447	224.822551528	162.8104513519	257.570078588	172.418833319	283.9019138047	317.601952664	285.534682942	282.122589961	333.266044204	275.688819013	251.624624113	219.073532163	271.528681864	273.527757747	261.702721965	272.198959399	291.794665349	305.8505123075	303.8341879501	338.718869371	359.4171805659	461.108030368
