module,lambda.min,coef,absCoef
M00019,14.987993042572201,14.987993042572201,14.987993042572201
M00570,11.512197219054249,11.512197219054249,11.512197219054249
M00535,7.040732318956337,7.040732318956337,7.040732318956337
M00432,6.36577189353545,6.36577189353545,6.36577189353545
ko00524,5.879689594722804,5.879689594722804,5.879689594722804
ko00365,4.354233759024524,4.354233759024524,4.354233759024524
M00145,2.8220326047393955,2.8220326047393955,2.8220326047393955
M00153,1.3144017969598036,1.3144017969598036,1.3144017969598036
M00150,1.1593803076873315,1.1593803076873315,1.1593803076873315
M00856,0.9372197717914065,0.9372197717914065,0.9372197717914065
M00162,0.42644644762907236,0.42644644762907236,0.42644644762907236
M00596,0.38089368727766437,0.38089368727766437,0.38089368727766437
M00029,0.2609786850532437,0.2609786850532437,0.2609786850532437
M00815,0.16514445502707015,0.16514445502707015,0.16514445502707015
M00779,-0.11712286587163108,-0.11712286587163108,0.11712286587163108
M00113,-0.40436330451068614,-0.40436330451068614,0.40436330451068614
M00861,-0.4068601626315541,-0.4068601626315541,0.4068601626315541
M00032,-0.4169049096355175,-0.4169049096355175,0.4169049096355175
M00025,-0.4528091532938671,-0.4528091532938671,0.4528091532938671
M00887,-0.46777816438694125,-0.46777816438694125,0.46777816438694125
M00923,-0.46961788950719485,-0.46961788950719485,0.46961788950719485
M00595,-0.6086166797187125,-0.6086166797187125,0.6086166797187125
M00082,-0.6331276628310584,-0.6331276628310584,0.6331276628310584
M00921,-0.9905623208451517,-0.9905623208451517,0.9905623208451517
M00087,-0.9964392936278857,-0.9964392936278857,0.9964392936278857
M00155,-1.0038140785235001,-1.0038140785235001,1.0038140785235001
M00539,-1.030235808847909,-1.030235808847909,1.030235808847909
M00830,-1.0752764622229476,-1.0752764622229476,1.0752764622229476
ko00930,-1.2898910678253654,-1.2898910678253654,1.2898910678253654
M00175,-1.3565235251512855,-1.3565235251512855,1.3565235251512855
M00886,-1.495866734858894,-1.495866734858894,1.495866734858894
ko00571,-1.5894988259656193,-1.5894988259656193,1.5894988259656193
M00885,-1.5976726565007033,-1.5976726565007033,1.5976726565007033
ko00984,-1.5996828144334347,-1.5996828144334347,1.5996828144334347
M00544,-1.6077839585687386,-1.6077839585687386,1.6077839585687386
M00555,-1.613524594202629,-1.613524594202629,1.613524594202629
M00889,-1.6338104788355032,-1.6338104788355032,1.6338104788355032
M00013,-2.4500364617238786,-2.4500364617238786,2.4500364617238786
M00736,-2.883777127600283,-2.883777127600283,2.883777127600283
M00033,-3.5589312335729786,-3.5589312335729786,3.5589312335729786
ko00625,-4.277067468760367,-4.277067468760367,4.277067468760367
M00843,-7.542095435143832,-7.542095435143832,7.542095435143832
M00842,-7.552199937823536,-7.552199937823536,7.552199937823536
ko00983,-8.474062265077036,-8.474062265077036,8.474062265077036
M00845,-9.621978934286124,-9.621978934286124,9.621978934286124
