Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
Bger_1	0	37.1443109841199	23.8781123084166	49.2622267340673	23.7364138945212	40.3619241768062	158.343311641782	149.959604108648	153.511878928563	150.213332782407	153.87045473428	163.614574089263	142.486697376752	147.228191448299	145.48825012194	147.266781790188	147.662589749481	151.822720687106	125.462125250384	104.424833989269	100.57499503897	97.2193371354183	108.362376671324	117.075013596389
Bger_2	37.1443109841199	0	15.1339352202096	32.1825024019743	13.779246567111	29.1132600548054	155.372099932835	145.810821275082	146.852426120346	144.085370550122	145.427068210266	159.380254086498	120.48453444246	125.393746445873	121.293077498682	122.516502179907	123.158858838203	126.567395912418	130.249378361864	107.411085670121	99.9451438357213	102.629577048433	106.801409809775	115.936041412047
Bger_3	23.8781123084166	15.1339352202096	0	31.3018039885886	3.29540277173763	32.3515796704791	157.687906240027	148.751873953595	150.665445022945	147.120058564275	149.728191807841	162.411487993114	132.528117764365	137.320707069054	134.027675699527	135.45663818705	135.983293817263	139.611086444639	132.793189166267	110.425041888622	104.291009418109	104.623990430949	111.636927419554	120.681633448526
Bger_4	49.2622267340673	32.1825024019743	31.3018039885886	0	33.3037476481375	42.6336098689263	184.12977052588	175.187936189462	175.970600059494	171.800477339802	174.003660876727	188.653656544712	147.664353753338	153.024205679774	147.281622371457	147.904085703849	149.001177920763	151.980507773044	158.809941776634	135.820033858418	128.31454472882	130.423677483422	134.765298708048	144.664248720909
Bger_5	23.7364138945212	13.779246567111	3.29540277173763	33.3037476481375	0	30.1822636462357	156.257330365288	147.175757656328	149.120621697412	145.884091965032	148.272743081442	160.854473693595	129.656494572868	134.487032366743	131.263589954951	132.709253178984	133.242958917648	136.92514069706	129.684885539368	107.264362635314	101.053286833849	101.518789060358	108.377456690906	117.443563332009
Bger_6	40.3619241768062	29.1132600548054	32.3515796704791	42.6336098689263	30.1822636462357	0	171.490483148802	161.2346986108	163.139237003358	162.498437926523	162.783705560974	174.852105127156	119.811989690198	125.95301054033	121.335913336609	122.148776915063	123.48698716641	127.425661271766	119.694161632691	96.6802638024836	88.9179507592444	91.3012135413333	94.8245609785366	105.372396123781
Esin_1	158.343311641782	155.372099932835	157.687906240027	184.12977052588	156.257330365288	171.490483148802	0	12.3328049815022	17.3089326654407	19.9227658973316	23.9865903811186	9.58401926967361	137.227449761522	132.944615099674	142.557032310768	146.722574585773	143.179224079544	145.195473320295	137.339770313911	134.921392007213	136.789675585565	136.648335244976	141.522867890003	137.066559096489
Esin_2	149.959604108648	145.810821275082	148.751873953595	175.187936189462	147.175757656328	161.2346986108	12.3328049815022	0	10.7392667602097	19.4296901172931	19.0986459953963	13.7366877536276	125.190327537108	121.067581785962	130.602986706293	134.780911393451	131.283098104633	133.419511514857	127.409557820506	124.22800052409	125.594215902798	126.171098667866	130.264419803819	126.006537446262
Esin_3	153.511878928563	146.852426120346	150.665445022945	175.970600059494	149.120621697412	163.139237003358	17.3089326654407	10.7392667602097	0	15.722745280727	8.94688741889599	15.4572678954579	122.584902837519	118.096249569892	127.344959590904	131.435364203979	127.835803188831	129.587240274706	132.877319889	128.99063409638	129.482369407818	131.283757727875	133.946599181138	129.89745394286
Esin_4	150.213332782407	144.085370550122	147.120058564275	171.800477339802	145.884091965032	162.498437926523	19.9227658973316	19.4296901172931	15.722745280727	0	14.0788319693568	24.2338385876072	131.942447222522	127.906223576805	136.144154678019	140.126186718959	136.666960122295	138.38524761988	142.295836645562	136.747080925811	136.984011751139	138.148271885101	142.149343920892	139.04052501268
Esin_5	153.87045473428	145.427068210266	149.728191807841	174.003660876727	148.272743081442	162.783705560974	23.9865903811186	19.0986459953963	8.94688741889599	14.0788319693568	0	22.6446170213679	121.888085582024	117.327411686662	125.993145242127	129.975550377316	126.365635412637	127.842373804196	138.094250863155	133.112479813176	132.854727822161	135.395037848584	137.372590734389	133.801996819577
Esin_6	163.614574089263	159.380254086498	162.411487993114	188.653656544712	160.854473693595	174.852105127156	9.58401926967361	13.7366877536276	15.4572678954579	24.2338385876072	22.6446170213679	0	133.492237974668	128.788853966683	138.829248376812	142.995817888553	139.339339747754	141.178788903441	136.506995564376	134.933184660436	136.66743334367	137.295274549053	140.902582602589	135.946931636995
