Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
Bger_1	0	0.0363067811694667	0.0141768070608215	0.025910852520529	0.0149566865296838	0.0274569369118776	0.150450846571959	0.155258236343263	0.163248376828537	0.158876246472955	0.163732088416606	0.167501655543081	0.118882478692987	0.12256062542756	0.119785720207569	0.12450061354607	0.121652280882692	0.128145556598022	0.096675137666008	0.0796963110498111	0.0848173582189087	0.0794629338650958	0.0816693834253622	0.101654443890623
Bger_2	0.0363067811694667	0	0.0174729309615175	0.0305660104706428	0.0173588616653918	0.0392704234779947	0.150165071738744	0.153080171493713	0.14781928731665	0.145239969440004	0.150412536775636	0.163584012200605	0.0939065379744983	0.0968351325892877	0.0947643326643406	0.0998781426004244	0.0971227624724461	0.101415307161597	0.0972150323098815	0.0812282432903952	0.0768151050327883	0.0818217108343304	0.0760449390180619	0.0824217007214005
Bger_3	0.0141768070608215	0.0174729309615175	0	0.0193960268151723	0.00758389693742245	0.026655802569464	0.146552731705836	0.150463067454367	0.151870689337914	0.147659862335425	0.152915877279878	0.163578538630887	0.10423481576619	0.108279992143295	0.106097984203976	0.110934048314096	0.107267106765754	0.114276336705834	0.0944848788160539	0.0752878873908085	0.0754924343428746	0.0751518799625206	0.0730263618534998	0.0896981073904923
Bger_4	0.025910852520529	0.0305660104706428	0.0193960268151723	0	0.0191859839109687	0.0178745916029369	0.159832509165546	0.160396342870793	0.163024510189067	0.160980973056342	0.165409110675839	0.177709537320392	0.111176315787269	0.118349760872776	0.112556710804972	0.115877453595736	0.113322197846275	0.119637990172276	0.106535327093232	0.086713816551426	0.0858622342304262	0.0864793061635789	0.0848800998344108	0.100164589545693
Bger_5	0.0149566865296838	0.0173588616653918	0.00758389693742245	0.0191859839109687	0	0.0229943936867237	0.145501647623936	0.147844274120978	0.150351474581049	0.146783320849511	0.151497996595988	0.161200923203537	0.102244218702941	0.106931172411622	0.102286279644308	0.105876220728557	0.103669311886207	0.109533788802705	0.0907649973251259	0.0724826081816491	0.0736074871763591	0.0722254472687403	0.0717928987279084	0.0874189720710312
Bger_6	0.0274569369118776	0.0392704234779947	0.026655802569464	0.0178745916029369	0.0229943936867237	0	0.16934662729711	0.168736176372971	0.171552977068968	0.1702716266203	0.174176484399966	0.182499689941361	0.112252601469131	0.121658405033688	0.112123953238973	0.113222457768236	0.112731666213122	0.118356831406142	0.105356405292251	0.0847397633028698	0.0877123375164833	0.0850427716074156	0.0837288510803191	0.101579976010442
Esin_1	0.150450846571959	0.150165071738744	0.146552731705836	0.159832509165546	0.145501647623936	0.16934662729711	0	0.013700989284658	0.0300433577350355	0.0373303788503125	0.0251181128431164	0.0323199883874834	0.114732805187794	0.110850634180447	0.115436265850801	0.124061735999266	0.116892434190811	0.120779982268518	0.111450578870428	0.119167378324199	0.117973840483525	0.123418628841688	0.12050775465035	0.127687390412851
Esin_2	0.155258236343263	0.153080171493713	0.150463067454367	0.160396342870793	0.147844274120978	0.168736176372971	0.013700989284658	0	0.0345643339786594	0.044236503188557	0.0294139019346374	0.0378109013975677	0.111305810622759	0.112535348907334	0.110968134493246	0.116702035723001	0.111440643660513	0.114781277784222	0.112768185048857	0.115922189980458	0.116406991468941	0.119816343987103	0.118907664015863	0.125726389219182
Esin_3	0.163248376828537	0.14781928731665	0.151870689337914	0.163024510189067	0.150351474581049	0.171552977068968	0.0300433577350355	0.0345643339786594	0	0.0180238649906671	0.0242869178193552	0.0283399529989266	0.10451485407489	0.106175706623227	0.109586945755414	0.115815079679011	0.109632356433251	0.11278326461368	0.114150116561999	0.115593745218379	0.113827928527351	0.120981419867303	0.115271078110327	0.112001131788713
Esin_4	0.158876246472955	0.145239969440004	0.147659862335425	0.160980973056342	0.146783320849511	0.1702716266203	0.0373303788503125	0.044236503188557	0.0180238649906671	0	0.0280279632392364	0.0326084418662029	0.112555364371533	0.113370260445088	0.118228982133962	0.1247186119699	0.118329424112319	0.12206687284912	0.12106353631257	0.118710840729711	0.11870960523748	0.123828014775328	0.118963271744852	0.118298959164343
