Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides_H;s_Bacteroides_H_sp010500965	2.69078088	3.68700619	2.846455756	2.35548965	2.93665317	2.65411373	41.53861728	19.81457051	23.9110574	49.78397759	21.1554012	24.64190353	3.008738181	3.283768849	3.264953356	3.328766225	3.156585555	2.97959821	8.965284345	9.468416694	25.60863642	14.50812878	23.05849488	14.54783055
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_QVMG01;s_QVMG01_sp029504695	6.82820295	5.7310553	3.14754188	5.93197301	4.58318445	5.28661176	1.52465946	7.882705	6.921784	1.25930736	9.0199616	0.80740718	5.147689075	8.09213434	7.95596478	6.68477586	7.66122728	8.11926748	8.44285905	10.26789212	6.501522307	6.907449133	5.806640798	4.683514287
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Frigididesulfovibrio;s_Frigididesulfovibrio_sp030266525	0	0	0	0	0	0	2.7010251	4.3564987	2.27627497	0.638212664	4.3280761	1.384385366	19.40429551	11.51343953	7.00233185	8.33371672	8.16120255	7.29923404	4.60920499	5.64801416	16.08886595	4.57148359	14.0946828	9.67431725
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Avichristensenella;s_Avichristensenella_sp009787135	4.56960854	5.5985649	3.38076919	2.85067215	4.85390206	4.57099254	1.92437367	2.2277865	1.8971135	0.754086958	2.40385972	2.04211872	12.43167699	9.53019054	12.55771588	16.92079214	15.74294049	14.98714359	0.5989551	0.5576351	0.3433807	0.8723709	0.80603826	0.95820516
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_Dysgonomonas;s_Dysgonomonas_hofstadii	0	0	0	0	0	0	12.1293505	9.62609662	14.12198922	12.0679078	7.2781189	5.843900497	1.614013216	1.399190466	2.381247404	2.461123777	2.65120556	2.874995785	2.446620354	5.131268463	10.25574568	7.10469882	4.750318218	7.43175508
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_JAJQAW01;s_JAJQAW01_sp021203585	0	0	0	0	0	0	14.05017447	5.87730924	14.28112577	5.786913588	18.84533243	8.853596376	3.62673797	1.95597041	3.15028369	3.30020085	4.26295748	3.66416193	2.18129602	6.6827986	3.80726079	4.31314156	1.62104729	4.70952646
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Frigididesulfovibrio;s_unclassify_g_Frigididesulfovibrio	0.78080317	1.09459296	1.35750856	0.94150857	1.5994868	0.87932597	5.99186543	3.38906546	3.8924175	1.95430721	5.19414416	19.038101	2.47982541	5.15618153	8.52564244	4.01914721	4.45770355	5.15644311	5.67480834	4.53590132	1.29396871	3.508138	2.71973646	2.88134096
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaeromicropila;s_Anaeromicropila_herbilytica	0	0	0	0	0	0	6.6765113	0.32580778	1.127116	39.09593	1.171357	47.7043	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_Dysgonomonas;s_unclassify_g_Dysgonomonas	0	0	0	0	0	0	13.4773192	15.92048554	11.5528758	18.87525696	12.9259989	11.5577184	0.30172251	0.42334942	0.316589856	0.74522569	0.614279705	0.53334561	0	0	0	0	0	0
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Frigididesulfovibrio;s_Frigididesulfovibrio_sp031255035	0	0	0	0	0	0	0	0	0	0	0	0	4.2739731	3.6183517	6.6168532	6.3919035	3.4857932	5.4569529	6.541908178	6.09563646	7.56551672	8.18648808	11.9453704	8.91309513
