Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_faecipullorum	1.8116138	2.6115766	2.0498497	0.94841737	3.654751	7.587647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp030266245	6.00650494	3.57495593	3.95890575	6.232446135	6.9470498	10.18540718	0	0	0	0	0	0	1.8352040699999999	3.91569604	2.247922985	1.094845518	1.46867602	2.457964943	3.47304483	2.835161209	3.704794454	4.59386509	1.341639088	9.94205098
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp020854915	2.84216435	1.987529125	1.63770618	1.63701308	0.782669914	1.88688372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp030266405	0.05980324	0.15892798	0.10520067	0.0	0.029399084	0.11511601	0	0	0	0	0	0	2.5010077600000002	5.4183657499999995	4.67366599	9.25607994	9.82942345	9.620964820000001	1.1396259400000002	1.08008133	2.75760559	0.83503857	1.41414028	3.875456
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_cuticularis	0.92687864	1.07764624	1.5007852	0.5252214	1.02521288	0.72052568	0	0	0	0	0	0	23.785880300000002	6.84048878	1.56194099	1.83634509	2.66630943	1.295319705	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_Methanoplasma;s_Methanoplasma_sp023402275	0.108756445	0.41198295	0.20138411	0.04921251	0.13600574	0.10594471	0	0	0	0	0	0	0.76891712	2.27726439	1.1694980799999999	1.17196441	0.8718757159999999	1.75885309	0.07561482	0.28741196	0.030935222	0.08651211	0.07395525	0.105238
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_WRKA01;s_WRKA01_sp009780575	0.703226264	1.0058484699999999	1.3413482650000002	0.540188121	0.470762552	1.770270045	0	0	0	0	0	0	0.677575765	0.73166277	0.81391054	0.87707765	0.9458316200000001	0.9883110900000001	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_unclassify_f_Methanomethylophilaceae;s_unclassify_f_Methanomethylophilaceae	0.26393375	0.2287197	0.17433779	0.15247455	0.42779517	1.1214451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Bifidobacteriaceae;g_JALCQC01;s_JALCQC01_sp022650895	0.218719725	0.09859418	1.8420691699999998	0.18540436500000002	0.23101865	0.34879021099999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Bifidobacteriaceae;g_JALCQC01;s_unclassify_g_JALCQC01	0.553310025	0.23650801	1.18077743	0.178326706	0.30420105000000003	0.52055897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium;s_Microbacterium_protaetiae	1.5913022	1.2740935	1.4250879	1.0524067	1.7450838	2.4613688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
