species	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
d_Archaea;p_Aenigmatarchaeota;c_Aenigmatarchaeia;o_QMZP01;f_JAFGSV01;g_JAFGFG01;s_JAFGFG01_sp028279705	549	1726	761	280	351	309	0	0	0	0	0	0	1454	4090	406	297	2049	710	0	0	0	0	0	0
d_Archaea;p_Asgardarchaeota;c_Heimdallarchaeia;o_Heimdallarchaeales;f_Kariarchaeaceae;g_LC-2;s_LC-2_sp021399405	513	44	75	147	80	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Asgardarchaeota;c_Heimdallarchaeia;o_Hodarchaeales;f_unclassify_o_Hodarchaeales;g_unclassify_o_Hodarchaeales;s_unclassify_o_Hodarchaeales	656	74	134	136	95	115	253	848	322	624	343	1394	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Asgardarchaeota;c_Hermodarchaeia;o_Hermodarchaeales;f_Hermodarchaeaceae;g_YT-063;s_YT-063_sp016840065	147	4	10	22	10	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Asgardarchaeota;c_Sifarchaeia;o_Borrarchaeales;f_Borrarchaeaceae;g_Borrarchaeum;s_Borrarchaeum_sp016840645	665	256	600	157	387	306	129	380	194	287	168	732	143	259	730	414	263	421	138	1578	140	97	234	29
d_Archaea;p_Asgardarchaeota;c_Thorarchaeia;o_Thorarchaeales;f_Thorarchaeaceae;g_B65-G9;s_B65-G9_sp021498125	73	51	49	39	94	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Asgardarchaeota;c_Thorarchaeia;o_Thorarchaeales;f_Thorarchaeaceae;g_MP8T-1;s_MP8T-1_sp018238205	52	93	88	24	258	25	0	0	0	0	0	0	0	0	0	0	0	0	117	528	1494	56	251	23
d_Archaea;p_Halobacteriota;c_Archaeoglobi;o_Archaeoglobales;f_Archaeoglobaceae;g_Geoglobus;s_Geoglobus_sp027019885	73	27	56	18	51	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Tc-Br11;s_Tc-Br11_sp025517525	144	112	160	80	118	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halorutilales;f_JAHENH01;g_JAHENH01;s_JAHENH01_sp018609935	30	39	31	31	18	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
