phylum	Pame	Pful	Esin	Bger
Actinomycetota	0.008649322	0.007479086	0.047871828	0.001250677
Bacillota	0.334101621	0.306617999	0.354453501	0.224805277
Bacteroidota	0.3894892	0.420939282	0.43632576	0.62815349
Desulfobacterota	0.112827354	0.121755796	0.014262856	0.058034839
Planctomycetota	0.069365791	0.052041123	0.01957811	0.037719072
Pseudomonadota	0.012258036	0.034621486	0.035264777	0.020714389
Verrucomicrobiota	0.007720496	0.007445327	0.019924311	0.004492896
Dysgonomonadaceae	0.012831316	0.038511731	0.006357043	0.050246667
UBA932	0.013506867	0.006619687	0.007837466	0.02084704
Bacteroidaceae	0.021804621	0.062494698	0.043597621	0.047051534
Paludibacteraceae	0.008895362	0.013249858	0.01177684	0.019423197
Rikenellaceae	0.027316351	0.031791756	0.032800081	0.064884374
Tannerellaceae	0.039507489	0.034844771	0.02210285	0.034266041
