taxonomy Bger Esin Pame Pful
d_Archaea;p_Aenigmatarchaeota;c_Aenigmatarchaeia;o_QMZP01;f_JAFGSV01;g_JAFGFG01;s_JAFGFG01_sp028279705 0 1.05800814416263e-05 4.14234569035819e-06 0
d_Archaea;p_Asgardarchaeota;c_Heimdallarchaeia;o_Heimdallarchaeales;f_Kariarchaeaceae;g_LC-2;s_LC-2_sp021399405 0 0 8.55037871043117e-07 0
d_Archaea;p_Asgardarchaeota;c_Heimdallarchaeia;o_Hodarchaeales;f_unclassify_o_Hodarchaeales;g_unclassify_o_Hodarchaeales;s_unclassify_o_Hodarchaeales 0 0 1.10889978145622e-06 3.62414186857007e-06
d_Archaea;p_Asgardarchaeota;c_Hermodarchaeia;o_Hermodarchaeales;f_Hermodarchaeaceae;g_YT-063;s_YT-063_sp016840065 0 0 1.94138085751633e-07 0
d_Archaea;p_Asgardarchaeota;c_Sifarchaeia;o_Borrarchaeales;f_Borrarchaeaceae;g_Borrarchaeum;s_Borrarchaeum_sp016840645 2.06872443485649e-06 2.26035043630341e-06 2.31318863432294e-06 1.80798911854888e-06
d_Archaea;p_Asgardarchaeota;c_Thorarchaeia;o_Thorarchaeales;f_Thorarchaeaceae;g_B65-G9;s_B65-G9_sp021498125 0 0 3.45886201855455e-07 0
d_Archaea;p_Asgardarchaeota;c_Thorarchaeia;o_Thorarchaeales;f_Thorarchaeaceae;g_MP8T-1;s_MP8T-1_sp018238205 2.36643670184017e-06 0 5.79965695746799e-07 0
d_Archaea;p_Halobacteriota;c_Archaeoglobi;o_Archaeoglobales;f_Archaeoglobaceae;g_Geoglobus;s_Geoglobus_sp027019885 0 0 2.6968577171515e-07 0
d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Natrialbaceae;g_Tc-Br11;s_Tc-Br11_sp025517525 0 0 7.75904295741809e-07 0
d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halorutilales;f_JAHENH01;g_JAHENH01;s_JAHENH01_sp018609935 0 0 1.95782153965165e-07 0
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_faecipullorum 0 0.00487502152914067 9.81500333336324e-07 0
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_parvum_A 0 0 2.28488085083179e-06 0
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_petauri 0 1.12342048448447e-05 5.69643600982073e-07 0
