genus	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	regulation
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum	0.001247124	0.000750632	0.001532667	0.000617449	0.000890181	0.001818798	8.84406E-06	8.9142E-06	1.04637E-05	7.77945E-06	1.21373E-05	1.17099E-05	0.003625105	0.004399694	0.003373922	0.001525921	0.005659747	0.011736766	3.23568E-06	2.53771E-06	2.85385E-06	3.27824E-06	3.8925E-06	1.20603E-05	no-sig
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus	0.002124879	0.003766341	0.003290184	0.002455398	0.002622975	0.004852726	0.004198577	0.001472747	0.001149464	0.001591878	0.000522848	0.003827828	0.001809857	0.00073215	0.001164589	0.001569838	0.001544146	0.002516922	0.000287905	0.001902822	0.000239651	8.64985E-05	0.00044622	0.00011854	no-sig
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_WRKA01	0.000817506	0.001079435	0.001219894	0.001090483	0.00127114	0.001344009	0.00252064	0.001246349	0.000384867	0.00033103	0.000387142	0.001109253	0.000504329	0.000365221	0.000665991	0.000359769	0.000434433	0.001166588	3.75151E-07	1.05299E-07	3.74184E-07	7.35031E-08	9.06472E-07	2.99744E-07	no-sig
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Micrococcaceae;g_Rothia	3.11418E-06	3.4784E-06	4.29584E-06	4.41056E-06	5.48212E-06	5.61759E-06	0	0	0	0	0	0	0.004229148	0.002666341	0.002389629	0.00232996	0.002533535	0.002885788	0	0	0	0	0	0	no-sig
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium	0.000315445	0.000538888	0.000346001	0.000326104	0.000349202	0.000347393	0.010849103	0.000150494	0.000317625	0.000185003	0.000128818	0.000113286	0.014616035	0.003721475	0.005356014	0.002451114	0.005156733	0.007708996	0	0	0	0	0	0	Esin
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Rhodococcus	1.20415E-06	2.44027E-06	4.3353E-06	2.11887E-06	3.32942E-06	5.15951E-06	0	0	0	0	0	0	0.002458513	0.003115844	0.003287485	0.003994107	0.00504053	0.007442382	4.748E-06	4.48047E-06	3.89264E-06	1.19565E-06	4.43333E-06	3.61456E-06	no-sig
d_Bacteria;p_Actinomycetota;c_Coriobacteriia;o_Coriobacteriales;f_Eggerthellaceae;g_Raoultibacter	0.000966987	0.001336358	0.001577464	0.003106531	0.002026815	0.002582303	0.002268251	0.003097687	0.002662436	0.001886927	0.003574698	0.004648671	0.001053725	0.000828913	0.000769056	0.001879922	0.000955354	0.001179989	0.000576285	0.000862541	0.000562355	0.000145419	0.000852114	0.000251229	no-sig
d_Bacteria;p_Actinomycetota;c_Coriobacteriia;o_Coriobacteriales;f_UBA8131;g_WQXH01	0.001047508	0.002424334	0.002863898	0.002926562	0.003652694	0.003971132	0.000927219	0.000726019	0.000697699	0.00053701	0.000614448	0.000788271	8.75867E-05	0.000115889	0.000124221	0.000112916	0.000128558	0.00011253	1.89803E-05	3.11738E-05	4.13446E-05	1.22505E-05	4.03723E-05	6.72308E-05	no-sig
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus	0.000295395	0.00041461	0.000246221	0.00025328	0.000338909	0.000238139	7.99435E-05	8.91821E-05	6.85253E-05	6.96728E-05	8.67236E-05	0.000120013	0.000154414	7.4497E-05	6.68386E-05	7.22857E-05	8.80194E-05	8.00037E-05	0.003194504	0.000586863	0.006778278	0.000654379	0.002049494	0.000716396	no-sig
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_A	0.004486353	0.004489349	0.001359503	0.000651523	0.001323961	0.001047078	0.043342727	0.001116735	0.001301908	0.001228726	0.002818112	0.001623986	0.002229628	0.001656473	0.000831896	0.002949437	0.002048868	0.000521195	0.020163279	0.006403096	0.019272258	0.004782642	0.012577766	0.002231319	Bger
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_B	0.002265585	0.003137284	0.001263371	0.001331742	0.001793201	0.001151769	0.001090235	0.007427226	0.000280835	0.000199	0.000238327	0.000235741	0.000295311	0.000319094	0.000142718	0.000641002	0.000239408	0.000229512	0.00012887	6.79284E-05	0.000195604	5.17462E-05	9.63831E-05	2.26395E-05	no-sig
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C	0.004697679	0.003710903	0.003073397	0.0008412	0.002801774	0.001757234	0.004112796	0.0008127	0.000551729	0.000451764	0.000775235	0.000701423	0.032977304	0.021310919	0.011675968	0.044363193	0.021957025	0.021765902	5.87463E-05	1.91118E-05	4.78956E-05	1.15351E-05	4.217E-05	1.61685E-05	Esin
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_H	7.70194E-05	7.2716E-05	7.03627E-05	6.62336E-05	6.85266E-05	6.23179E-05	0.000133511	8.32192E-05	6.61885E-05	5.68449E-05	7.53543E-05	7.04033E-05	0.008297907	0.004375125	0.002295482	0.003750223	0.008451049	0.006731512	2.24504E-06	1.50578E-06	3.35091E-06	8.67337E-07	1.91959E-06	7.49359E-07	Esin
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Amylolactobacillus	0.002422535	0.006063673	0.000878403	0.000471817	0.000757751	0.000566629	0	0	0	0	0	0	0.000162519	0.000382664	0.00102364	0.000211996	0.002622664	0.000214609	9.49601E-07	1.73743E-07	3.40675E-07	5.04721E-07	2.20905E-07	8.28703E-07	no-sig
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lacticaseibacillus	0.000111178	0.00030109	0.000224179	4.77423E-05	7.99753E-05	3.74305E-05	9.19511E-05	7.12084E-05	0.000220583	8.18162E-05	0.000232881	0.00024536	0.01362965	0.002058624	0.012789499	0.004245832	0.006924763	0.008480836	7.47488E-05	0.000108853	4.89456E-05	4.08481E-05	0.000570689	3.18081E-05	Esin
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lapidilactobacillus	0.00928983	0.061708613	0.002142451	0.000523617	0.001516541	0.001169894	0.004080794	0.001641726	0.025431423	0.002739593	0.026140948	0.020792339	0.000622353	0.000475215	0.000553317	0.000297223	0.000324939	0.000241153	3.1372E-05	2.14547E-05	3.82618E-05	3.01755E-05	2.03232E-05	1.10641E-05	Peri
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lentilactobacillus	0.006202546	0.033908308	0.004595454	0.000830313	0.002426414	0.001434355	0.010918175	0.000903877	0.023269305	0.004536797	0.023298547	0.029903037	0.00026265	5.0733E-05	0.000217976	9.38219E-05	0.000150954	4.19752E-05	7.48016E-05	5.04698E-05	0.000103387	7.91433E-05	8.175E-05	3.41972E-05	Peri
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Loigolactobacillus	9.49386E-05	0.000652543	9.34711E-05	4.48946E-05	7.4154E-05	4.06311E-05	6.44256E-06	3.04155E-06	1.97433E-05	8.15024E-06	1.82343E-05	1.12664E-05	0.008246594	0.00528579	0.008237081	0.022428095	0.007762007	0.004817555	2.11022E-07	2.21128E-07	3.63015E-07	9.80042E-08	3.8087E-07	5.2896E-08	Esin
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Paucilactobacillus	1.48096E-05	0.000115771	0.000235042	5.4174E-06	1.37815E-05	7.16062E-06	5.61938E-06	2.92129E-06	5.85259E-06	2.83797E-06	1.13411E-05	2.08163E-05	0.004016831	0.002900744	0.004264412	0.004579492	0.002722187	0.001885119	0	0	0	0	0	0	no-sig
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Pediococcus	0.007149519	0.021337216	0.00351381	0.000300159	0.001257864	0.000687191	0.002509878	0.000854325	0.007330118	0.003911602	0.009690536	0.009888682	0.022249609	0.005894305	0.015065424	0.008634331	0.001711604	0.005934921	3.69758E-05	2.78095E-05	4.53713E-05	2.03163E-05	3.65102E-05	1.06674E-05	Esin
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Secundilactobacillus	4.2136E-05	0.000292819	2.59272E-05	4.26029E-06	2.15132E-05	1.16872E-05	9.07537E-06	2.84112E-06	1.40368E-05	8.12885E-06	6.72831E-06	4.93623E-06	0.018215048	0.007068838	0.016435804	0.005605555	0.006089256	0.007116105	1.17235E-07	9.47691E-08	3.79769E-07	1.07805E-07	1.752E-07	8.81599E-08	Esin
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Weissella	0.000745285	0.002064307	0.001758475	0.000256594	0.000480897	0.000369941	0.002759967	0.000428182	0.000547963	0.000736267	0.001543592	0.000495081	1.20254E-05	8.54408E-06	9.78425E-06	7.84162E-06	5.61089E-06	1.15006E-05	0.003701046	0.053139698	0.006967096	0.000650973	0.012184061	0.000270131	Bger
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Lactococcus	0.003111395	0.003292214	0.000490893	0.000271141	0.000815674	0.000295448	0.000127144	0.000159007	0.000208059	0.000140586	0.000151071	0.00016793	1.20181E-05	1.50347E-05	8.56049E-06	4.50327E-05	2.17334E-05	1.25829E-05	0.02516373	0.000442387	0.009319929	0.00207881	0.001244342	9.60679E-05	Bger
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Avichristensenella	0.028709843	0.023830397	0.030215861	0.044290613	0.043774387	0.038342591	0.015622687	0.018778865	0.010680076	0.018224232	0.023336594	0.022759701	0.006492329	0.007950191	0.005163556	0.004090733	0.008020431	0.012808403	0.002758034	0.007920986	0.00603249	0.000923429	0.006902416	0.003592491	Peri
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Excrementavichristensenella	0.000601728	0.000847192	0.000784977	0.0007454	0.000782165	0.000855809	0.001128394	0.001007515	0.000682656	0.000739447	0.001072817	0.000728454	0.000530172	0.000415503	0.000382066	0.00039747	0.000735156	0.000871259	6.62376E-07	1.51104E-06	2.87061E-06	4.55719E-07	2.56707E-06	1.66622E-06	no-sig
