Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
Pame_1	0	0.215816365398508	0.229450954890868	0.27854046305885	0.239539649134175	0.287704101612813	0.619030999439554	0.573398956009074	0.615197234311114	0.602534587173725	0.591911264738384	0.577440639003183	0.746959840432238	0.720570398625169	0.713393435981886	0.727448473570984	0.745533293731242	0.726654012023175	0.731781977519862	0.702957089351175	0.730208008806447	0.822547009987702	0.699995442116511	0.714640931494978
Pame_2	0.215816365398508	0	0.229959687179692	0.302118822059776	0.255052406512639	0.289326025790103	0.610185095058091	0.59856947691834	0.589753234068358	0.622071713798055	0.555909635109997	0.548386755338245	0.74099564877286	0.718082389393243	0.709168811569981	0.724184156516311	0.738567253621301	0.724946533139728	0.755179598595054	0.72856079586359	0.75223914202932	0.839852912165536	0.722574254428252	0.74554387622842
Pame_3	0.229450954890868	0.229959687179692	0	0.183963214499695	0.153494552819311	0.163165016033998	0.574658836872993	0.570470739825368	0.60536123541196	0.597312207183585	0.570737111711105	0.563045824608998	0.717305735073649	0.693231031563721	0.68478240947395	0.707769746459919	0.714719837611751	0.698021408884149	0.736731066389415	0.704289584211458	0.728120212459793	0.824319572710612	0.700621713060415	0.726540065547232
Pame_4	0.27854046305885	0.302118822059776	0.183963214499695	0	0.13514292548243	0.144361917539677	0.595770934448086	0.585627164106642	0.636227484552824	0.613432556356397	0.61038229473675	0.590575528908261	0.736006930541965	0.718250034506383	0.71094298344454	0.726781369910434	0.72766698124039	0.705676659656327	0.751211383532024	0.720339517644066	0.733296500988919	0.831755517282501	0.714946723336933	0.745555183257704
Pame_5	0.239539649134175	0.255052406512639	0.153494552819311	0.13514292548243	0	0.12979600166684	0.5912170111931	0.576680581696951	0.617714894559575	0.61164451071101	0.591650850030739	0.580018960549805	0.720151659211052	0.700083080024555	0.692322112093982	0.712466651929071	0.715354011090216	0.697381071740414	0.744227358818827	0.705645785735	0.725337578526891	0.825563115813891	0.704687913277334	0.736267652758902
Pame_6	0.287704101612813	0.289326025790103	0.163165016033998	0.144361917539677	0.12979600166684	0	0.584808905249849	0.578864929667431	0.633295984543461	0.61965671021748	0.602757799848532	0.588457452009985	0.727125937998801	0.706166501512242	0.698798296796881	0.716384425906237	0.720787592092488	0.702656122605101	0.751883988352136	0.724211371535068	0.734374711575157	0.833537955556894	0.718826010303021	0.746657562565812
Pful_1	0.619030999439554	0.610185095058091	0.574658836872993	0.595770934448086	0.5912170111931	0.584808905249849	0	0.301998444654368	0.369809721028655	0.354459260097453	0.332509521661575	0.313573428569159	0.767659793413582	0.752800618084353	0.747194399001147	0.756410551755592	0.755680963527938	0.77361867345168	0.751759472466671	0.715081996611168	0.71790534277172	0.80636117092058	0.705985109947981	0.746015851489556
Pful_2	0.573398956009074	0.59856947691834	0.570470739825368	0.585627164106642	0.576680581696951	0.578864929667431	0.301998444654368	0	0.346594994393605	0.240253924100587	0.321949040399407	0.261311115660525	0.742757487862665	0.724212759537366	0.712140056417966	0.722128109831453	0.738396185177174	0.756338541226743	0.711765096702549	0.669627011351353	0.680560207159467	0.767292978553284	0.658141599434502	0.690019570041169
Pful_3	0.615197234311114	0.589753234068358	0.60536123541196	0.636227484552824	0.617714894559575	0.633295984543461	0.369809721028655	0.346594994393605	0	0.323959271678283	0.198387102235167	0.239138654604603	0.768470592881533	0.756024585004653	0.746456113094759	0.739374475592781	0.768977163556274	0.779515421878003	0.614369323145857	0.584708550952962	0.585835743610476	0.667433552069119	0.573045361173264	0.610643820878344
Pful_4	0.602534587173725	0.622071713798055	0.597312207183585	0.613432556356397	0.61164451071101	0.61965671021748	0.354459260097453	0.240253924100587	0.323959271678283	0	0.322616714590495	0.273972857890751	0.745492961524219	0.728657174588696	0.717802572896742	0.71610205361055	0.739824830830708	0.755194595160627	0.701227529638678	0.651689953194624	0.663018158524399	0.751402852975693	0.647265457023212	0.685319278465859
Pful_5	0.591911264738384	0.555909635109997	0.570737111711105	0.61038229473675	0.591650850030739	0.602757799848532	0.332509521661575	0.321949040399407	0.198387102235167	0.322616714590495	0	0.203656946163611	0.769736686153396	0.751041746776702	0.742508386390174	0.735312085609694	0.772450429612827	0.782014056656542	0.63178733815917	0.600123231518993	0.613595923969642	0.698515568427207	0.591540255255311	0.624114975682609
Pful_6	0.577440639003183	0.548386755338245	0.563045824608998	0.590575528908261	0.580018960549805	0.588457452009985	0.313573428569159	0.261311115660525	0.239138654604603	0.273972857890751	0.203656946163611	0	0.754792460703923	0.74017703422961	0.727246492451122	0.722663544064787	0.749806146913032	0.757168554150091	0.677807228655036	0.635543609263257	0.647713257256483	0.734245400215696	0.627632487380141	0.662886179427496
Esin_1	0.746959840432238	0.74099564877286	0.717305735073649	0.736006930541965	0.720151659211052	0.727125937998801	0.767659793413582	0.742757487862665	0.768470592881533	0.745492961524219	0.769736686153396	0.754792460703923	0	0.18890347650194	0.243144639242443	0.271542068624594	0.28099724770531	0.269146860661685	0.86008024916943	0.81604855358959	0.82452892134531	0.897501954526915	0.808486909209363	0.872008540302478
Esin_2	0.720570398625169	0.718082389393243	0.693231031563721	0.718250034506383	0.700083080024555	0.706166501512242	0.752800618084353	0.724212759537366	0.756024585004653	0.728657174588696	0.751041746776702	0.74017703422961	0.18890347650194	0	0.209589424280716	0.236519236576806	0.257662385718615	0.257258631675762	0.840046538733897	0.78685752649912	0.796594304281558	0.877223432963932	0.779476875158969	0.850106106846913
Esin_3	0.713393435981886	0.709168811569981	0.68478240947395	0.71094298344454	0.692322112093982	0.698798296796881	0.747194399001147	0.712140056417966	0.746456113094759	0.717802572896742	0.742508386390174	0.727246492451122	0.243144639242443	0.209589424280716	0	0.225975419246448	0.341026490438794	0.285440169622395	0.833846129509769	0.78492663418363	0.79235124165961	0.869032221137698	0.785941659818938	0.835607651152277
Esin_4	0.727448473570984	0.724184156516311	0.707769746459919	0.726781369910434	0.712466651929071	0.716384425906237	0.756410551755592	0.722128109831453	0.739374475592781	0.71610205361055	0.735312085609694	0.722663544064787	0.271542068624594	0.236519236576806	0.225975419246448	0	0.352693742197708	0.325549945349702	0.823988210992102	0.777250948338883	0.785840556011676	0.856714848319874	0.77834647657934	0.830960664802508
Esin_5	0.745533293731242	0.738567253621301	0.714719837611751	0.72766698124039	0.715354011090216	0.720787592092488	0.755680963527938	0.738396185177174	0.768977163556274	0.739824830830708	0.772450429612827	0.749806146913032	0.28099724770531	0.257662385718615	0.341026490438794	0.352693742197708	0	0.242308170757579	0.857103585299038	0.811734969503679	0.820922536886452	0.890676107895913	0.804772369658918	0.866733307027741
Esin_6	0.726654012023175	0.724946533139728	0.698021408884149	0.705676659656327	0.697381071740414	0.702656122605101	0.77361867345168	0.756338541226743	0.779515421878003	0.755194595160627	0.782014056656542	0.757168554150091	0.269146860661685	0.257258631675762	0.285440169622395	0.325549945349702	0.242308170757579	0	0.868390742840711	0.829656589540228	0.838486893645799	0.903985637986607	0.825265038942517	0.8764497605412
Bger_1	0.731781977519862	0.755179598595054	0.736731066389415	0.751211383532024	0.744227358818827	0.751883988352136	0.751759472466671	0.711765096702549	0.614369323145857	0.701227529638678	0.63178733815917	0.677807228655036	0.86008024916943	0.840046538733897	0.833846129509769	0.823988210992102	0.857103585299038	0.868390742840711	0	0.312689852068095	0.258333380265583	0.310537798500484	0.256373207854551	0.363463573961929
Bger_2	0.702957089351175	0.72856079586359	0.704289584211458	0.720339517644066	0.705645785735	0.724211371535068	0.715081996611168	0.669627011351353	0.584708550952962	0.651689953194624	0.600123231518993	0.635543609263257	0.81604855358959	0.78685752649912	0.78492663418363	0.777250948338883	0.811734969503679	0.829656589540228	0.312689852068095	0	0.202751822710446	0.432315103506135	0.198302265373899	0.412220368896526
Bger_3	0.730208008806447	0.75223914202932	0.728120212459793	0.733296500988919	0.725337578526891	0.734374711575157	0.71790534277172	0.680560207159467	0.585835743610476	0.663018158524399	0.613595923969642	0.647713257256483	0.82452892134531	0.796594304281558	0.79235124165961	0.785840556011676	0.820922536886452	0.838486893645799	0.258333380265583	0.202751822710446	0	0.400570277893683	0.175852032631744	0.408334368017048
Bger_4	0.822547009987702	0.839852912165536	0.824319572710612	0.831755517282501	0.825563115813891	0.833537955556894	0.80636117092058	0.767292978553284	0.667433552069119	0.751402852975693	0.698515568427207	0.734245400215696	0.897501954526915	0.877223432963932	0.869032221137698	0.856714848319874	0.890676107895913	0.903985637986607	0.310537798500484	0.432315103506135	0.400570277893683	0	0.43927662796624	0.359725628789267
Bger_5	0.699995442116511	0.722574254428252	0.700621713060415	0.714946723336933	0.704687913277334	0.718826010303021	0.705985109947981	0.658141599434502	0.573045361173264	0.647265457023212	0.591540255255311	0.627632487380141	0.808486909209363	0.779476875158969	0.785941659818938	0.77834647657934	0.804772369658918	0.825265038942517	0.256373207854551	0.198302265373899	0.175852032631744	0.43927662796624	0	0.391697767812134
Bger_6	0.714640931494978	0.74554387622842	0.726540065547232	0.745555183257704	0.736267652758902	0.746657562565812	0.746015851489556	0.690019570041169	0.610643820878344	0.685319278465859	0.624114975682609	0.662886179427496	0.872008540302478	0.850106106846913	0.835607651152277	0.830960664802508	0.866733307027741	0.8764497605412	0.363463573961929	0.412220368896526	0.408334368017048	0.359725628789267	0.391697767812134	0
