CPD_ID,Bger_1,Bger_2,Bger_3,Bger_4,Bger_5,Bger_6,Esin_1,Esin_2,Esin_3,Esin_4,Esin_5,Esin_6,Pame_1,Pame_2,Pame_3,Pame_4,Pame_5,Pame_6,Pful_1,Pful_2,Pful_3,Pful_4,Pful_5,Pful_6,QC01,QC02,QC03,QC04
CPD0001,165084308.09628099,75281054.903796807,65615432.531619102,73091223.580119103,176983356.87118801,202674246.55543101,2071437.5272760401,1701299.1790624999,3248663.41551856,3201281.1801171899,1338822.09817383,1538968.6382045499,41877106.041223697,23096847.080556501,38431236.976892598,42366283.033858798,31860855.654190801,21867715.400527,75184484.859472707,48765962.995865799,115983700.215094,34612329.335031301,20028343.5252156,26425029.869729199,60026183.653215498,60787991.318152301,58810446.694312498,60679974.450952403
CPD0002,913893.01041526801,1069608.0111386699,1010635.36806585,2269169.4602656299,526409.23559765494,270059.19048407499,667259.72934440302,555559.18145582895,785528.49914591503,430975.05283960002,361755.39669140498,421738.47443562798,2693221.9371152399,2411269.4478343399,2008421.7268981901,3728886.6735611502,1065011.3516256099,1150219.32942292,2409851.09194837,1760449.53964807,2082456.1858204401,1243447.74299658,1293917.4657348599,1373069.9864677701,1344708.7537110599,1322703.29835113,1450532.33667884,1369512.31268164
CPD0003,18644768.356761999,25084189.690344401,8891344.8200312704,16736840.982555499,19806664.780274,22622299.254230801,1073233.1551921901,1706414.8375355101,754521.38851904299,776523.88783476397,1184354.4624332499,657221.64891601505,14322803.631293001,9666443.8485018201,9268201.0332070403,14211194.177711001,16373071.0752715,21375026.1691189,9335773.3239699509,19406887.138511501,14775734.2543504,7072184.4692663997,8864026.20091407,6353621.3374570198,11816662.2133008,11201926.4745817,10845763.464655399,11357869.856376201
CPD0004,80892466.936933503,17694215.609984402,26639677.212766599,20216857.1097656,62414887.982410297,65722562.331267104,724780.03236328205,1568933.6308601401,1140705.7506468301,966384.71584687498,433172.321794433,1334104.3158164099,19214025.091278501,8933450.5263427794,30278315.065578099,24642787.7358636,17107674.794343799,7806083.3475781102,12143292.2258438,21527069.233214598,45350667.373856403,7714668.2214594698,4722897.8209812501,13567426.715820801,23655723.535133801,24943260.297641698,24313622.624362499,24799416.329433799
CPD0005,5567006.55857326,14305823.620223399,25195509.0618205,21942767.467385001,6507185.1434714403,21303169.311741401,14166601.7148958,37484344.697314397,14185326.9051328,18282253.480272099,37533449.9100447,17775464.853980899,8500330.1894818991,10618488.430320799,11447811.5847969,30663912.890812501,9877626.0813859701,13222869.114394801,137713808.72795799,77562166.6061562,62146923.719194002,35924431.887591101,112859028.641122,38714228.938339897,34101153.623721197,32330631.568597902,31287258.466658901,32652094.388750799
CPD0006,1745397999.1824,261238542.55379999,456568790.27130002,254904445.24384999,1168688859.4871099,1376549460.6116199,3976988.8913489101,6984013.2323998297,6920475.6622647801,6251963.2841245905,1848000.98806287,5975300.1333392896,246171239.212657,118747590.83387899,413061032.81870002,400695253.35271603,243417080.072822,99983943.644407794,305502129.52433503,207942632.562493,841304274.14032805,121160042.290455,81072450.854467705,139832636.297757,333238420.27574998,340844349.72321397,341089843.78267503,346123731.35835999
CPD0007,742511.47986816498,852592.52088461502,252132.76485407501,844430.46582254698,452772.192410296,365370.52999609202,126729.057908381,85729.055173340195,113325.548098189,176898.86892260701,71391.767472059903,149099.29113191101,1105011.0834961,3451786.7884541,2290423.1623867201,3081956.6944993902,2905747.25301087,3836084.3146893,2457782.1156580499,2184948.3374458002,3756062.7279785099,1786514.45788026,1827880.6669558401,1621733.9911964801,1465049.2342608799,1398422.81414063,1449787.9134843701,1212494.74520996
CPD0008,459117.93776283599,1125766.8094768799,880681.32524414198,2249444.8549460899,322137.45941466402,198459.988903847,431452.279916992,834554.02253642306,560192.705049132,194893.785746679,482376.33902534301,500582.68461194902,2296082.4417230799,3060548.3658714001,1691535.80579468,4618068.3846541801,1480334.8513051299,1708653.15116251,5228715.9995432096,1861546.7941956499,1641375.46433823,1140270.58303427,2889004.5053995601,2060715.4024987801,1680731.7796477601,1621803.6758377601,1642219.06567643,1483814.0573039099
CPD0009,59381868.556999899,31363852.854222599,36641473.786251903,36789129.939528003,69757773.5145455,39554944.116779201,1551551.03260015,1703878.3682727199,3089926.8484001998,1425251.2545604,2124538.3760468699,1496637.31691476,55875270.834787697,14018128.3374891,37842763.697869398,42447500.645097598,21248583.661759701,10809601.2316928,45902154.823193602,35061723.7010061,64947306.214121602,26025945.7918077,18778614.432907101,12237103.6335689,30624714.148068398,32910828.019379899,31600555.5042,31940333.656048901
CPD0010,1567456.4753908699,1589235.67497213,2018156.2710486101,6992567.8813352399,2500452.9802317899,992840.31203833094,4075773.8004781199,2997862.87692146,4670875.0122421896,5394718.4199905097,4636175.7583077,4684399.9511082601,7700070.8979003802,25792159.0910501,21875416.889771499,40317845.478924602,14013710.228403401,11545497.801096899,44912639.715820298,8393527.8312265705,13433103.715191601,2810807.36032813,23157415.975882601,29036486.001709498,10812707.681727501,10668877.573223099,11936968.835874001,10915771.5068049
CPD0011,3135584.67647852,6578142.3295980301,3106485.4998120102,4651832.8613906298,1589219.23871426,2799489.9483254598,4134238.1655143201,4063565.7088769502,3569798.5694401101,1842798.0395958801,3741365.34347005,2163662.1261066101,1341321.92279045,13378406.0161769,2480753.85516471,4465831.5162000004,8205702.6999520799,15368827.125200899,1245884.2276701999,1475682.5547120499,822196.64717773499,2494415.99708946,1086262.50972363,829676.02604378096,4447977.8492536498,4628005.0820859401,4654827.7121529002,4610717.6287396802
CPD0012,78753.300390624703,73485.670081567805,90480.652021098096,238198.18136875,211640.70179687499,142736.03630795499,57457.328906249997,59704.117153793602,54556.4123752952,44268.847644567497,100004.568320312,45704.6268083662,280622.28647377202,1175043.8905011199,473296.47260156099,871642.86729464598,1310468.7969088601,1630138.3593837901,1233072.02318457,384751.185507813,679343.48594196595,224248.687628908,274862.94792187598,268042.67025521002,349687.87697851501,336676.13421744801,348901.22715364501,311762.88934570499
CPD0013,199359535.197088,324539455.333211,185152832.44474199,319976631.65885103,223709472.767185,334136000.73046601,273261298.13766801,334962558.76632398,286552588.63379002,333317182.153952,256843967.13967201,239147718.44545299,241493200.692976,383871223.86003703,309969156.19898999,402770489.36706603,415388542.54700398,493692912.89922601,341712393.98702198,320404916.02972001,531349128.219657,374454033.35991001,273192572.77094197,346819362.43468398,317322817.43111598,328898294.15776402,323202253.23525798,319969696.699781
