module	Module category
MetaB_M180	Lipids and lipid-like molecules
MetaB_M087	Organoheterocyclic compounds
MetaB_M054	Organic acids and derivatives
MetaB_M108	Lipids and lipid-like molecules
MetaB_M239	Miscellaneous
MetaB_M037	Organoheterocyclic compounds
MetaB_M165	Miscellaneous
MetaB_M027	Organic acids and derivatives
MetaB_M137	Organoheterocyclic compounds
MetaB_M142	Organic oxygen compounds
MetaB_M069	Lipids and lipid-like molecules
MetaB_M126	Organic oxygen compounds
MetaB_M151	Miscellaneous
MetaB_M147	Lipids and lipid-like molecules
MetaB_M215	Lipids and lipid-like molecules
MetaB_M111	Organoheterocyclic compounds
MetaB_M039	Lipids and lipid-like molecules
MetaB_M124	Organoheterocyclic compounds
MetaB_M244	Organic acids and derivatives
MetaB_M242	Miscellaneous
MetaB_M033	Organoheterocyclic compounds
MetaB_M038	Lipids and lipid-like molecules
MetaB_M248	Organoheterocyclic compounds
MetaB_M149	Miscellaneous
MetaB_M082	Miscellaneous
MetaB_M219	Lipids and lipid-like molecules
MetaB_M216	Lipids and lipid-like molecules
MetaB_M122	Lipids and lipid-like molecules
MetaB_M048	Lipids and lipid-like molecules
MetaB_M133	Organoheterocyclic compounds
MetaB_M159	Benzenoids
MetaB_M080	Lipids and lipid-like molecules
MetaB_M068	Lipids and lipid-like molecules
MetaB_M143	Lipids and lipid-like molecules
MetaB_M156	Miscellaneous
MetaB_M022	Organoheterocyclic compounds
MetaB_M034	Lipids and lipid-like molecules
MetaB_M178	Benzenoids
MetaB_M177	Miscellaneous
MetaB_M201	Miscellaneous
MetaB_M007	Organic acids and derivatives
MetaB_M091	Miscellaneous
MetaB_M101	Lipids and lipid-like molecules
MetaB_M017	Miscellaneous
MetaB_M030	Miscellaneous
MetaB_M145	Miscellaneous
MetaB_M210	Miscellaneous
MetaB_M106	Lipids and lipid-like molecules
MetaB_M079	Lipids and lipid-like molecules
MetaB_M217	Lipids and lipid-like molecules
MetaB_M076	Phenylpropanoids and polyketides
MetaB_M153	Miscellaneous
MetaB_M240	Lipids and lipid-like molecules
MetaB_M002	Organoheterocyclic compounds
MetaB_M213	Lipids and lipid-like molecules
MetaB_M058	Lipids and lipid-like molecules
MetaB_M187	Lipids and lipid-like molecules
MetaB_M060	Benzenoids
MetaB_M120	Lipids and lipid-like molecules
MetaB_M207	Lipids and lipid-like molecules
MetaB_M157	Organoheterocyclic compounds
MetaB_M235	Organic oxygen compounds
MetaB_M141	Organic acids and derivatives
MetaB_M167	Miscellaneous
MetaB_M172	Miscellaneous
MetaB_M065	Organic oxygen compounds
MetaB_M003	Lipids and lipid-like molecules
MetaB_M231	Benzenoids
MetaB_M127	Organoheterocyclic compounds
MetaB_M125	Miscellaneous
MetaB_M077	Benzenoids
MetaB_M135	Lipids and lipid-like molecules
MetaB_M227	Organoheterocyclic compounds
MetaB_M138	Phenylpropanoids and polyketides
MetaB_M051	Organoheterocyclic compounds
MetaB_M055	Miscellaneous
MetaB_M041	Lipids and lipid-like molecules
MetaB_M131	Miscellaneous
MetaB_M011	Organoheterocyclic compounds
MetaB_M238	Organic acids and derivatives
MetaB_M047	Lipids and lipid-like molecules
MetaB_M105	Organoheterocyclic compounds
MetaB_M119	Miscellaneous
MetaB_M186	Miscellaneous
MetaB_M031	Miscellaneous
MetaB_M212	Miscellaneous
MetaB_M128	Organoheterocyclic compounds
MetaB_M225	Miscellaneous
MetaB_M246	Lipids and lipid-like molecules
MetaB_M218	Lipids and lipid-like molecules
MetaB_M189	Benzenoids
MetaB_M130	Lipids and lipid-like molecules
MetaB_M026	Benzenoids
MetaB_M208	Organic acids and derivatives
MetaB_M116	Miscellaneous
MetaB_M190	Lipids and lipid-like molecules
MetaB_M081	Lipids and lipid-like molecules
MetaB_M035	Organoheterocyclic compounds
MetaB_M200	Miscellaneous
MetaB_M150	Phenylpropanoids and polyketides
MetaB_M194	Lipids and lipid-like molecules
MetaB_M222	Miscellaneous
MetaB_M232	Lipids and lipid-like molecules
MetaB_M103	Lipids and lipid-like molecules
MetaB_M112	Lipids and lipid-like molecules
MetaB_M245	Benzenoids
MetaB_M061	Lipids and lipid-like molecules
MetaB_M043	Organoheterocyclic compounds
MetaB_M024	Miscellaneous
MetaB_M013	Miscellaneous
MetaB_M191	Organoheterocyclic compounds
MetaB_M164	Miscellaneous
MetaB_M089	Lipids and lipid-like molecules
MetaB_M052	Organoheterocyclic compounds
MetaB_M221	Miscellaneous
MetaB_M224	Miscellaneous
MetaB_M020	Organoheterocyclic compounds
MetaB_M117	Organic acids and derivatives
MetaB_M012	Organoheterocyclic compounds
MetaB_M021	Organic acids and derivatives
MetaB_M162	Organic acids and derivatives
MetaB_M085	Organoheterocyclic compounds
MetaB_M193	Lipids and lipid-like molecules
MetaB_M019	Benzenoids
MetaB_M075	Organic acids and derivatives
MetaB_M005	Benzenoids
MetaB_M188	Organoheterocyclic compounds
MetaB_M184	Organoheterocyclic compounds
MetaB_M140	Miscellaneous
MetaB_M192	Lipids and lipid-like molecules
