module	Module category
MetaB_M151	Miscellaneous
MetaB_M147	Lipids and lipid-like molecules
MetaB_M215	Lipids and lipid-like molecules
MetaB_M111	Organoheterocyclic compounds
MetaB_M039	Lipids and lipid-like molecules
MetaB_M124	Organoheterocyclic compounds
MetaB_M244	Organic acids and derivatives
MetaB_M242	Miscellaneous
MetaB_M033	Organoheterocyclic compounds
MetaB_M038	Lipids and lipid-like molecules
MetaB_M048	Lipids and lipid-like molecules
MetaB_M133	Organoheterocyclic compounds
MetaB_M159	Benzenoids
MetaB_M080	Lipids and lipid-like molecules
MetaB_M068	Lipids and lipid-like molecules
MetaB_M143	Lipids and lipid-like molecules
MetaB_M156	Miscellaneous
MetaB_M022	Organoheterocyclic compounds
MetaB_M034	Lipids and lipid-like molecules
MetaB_M178	Benzenoids
MetaB_M127	Organoheterocyclic compounds
MetaB_M125	Miscellaneous
MetaB_M077	Benzenoids
MetaB_M135	Lipids and lipid-like molecules
MetaB_M227	Organoheterocyclic compounds
MetaB_M138	Phenylpropanoids and polyketides
MetaB_M051	Organoheterocyclic compounds
MetaB_M055	Miscellaneous
MetaB_M041	Lipids and lipid-like molecules
MetaB_M131	Miscellaneous
MetaB_M162	Organic acids and derivatives
MetaB_M085	Organoheterocyclic compounds
MetaB_M193	Lipids and lipid-like molecules
MetaB_M019	Benzenoids
MetaB_M075	Organic acids and derivatives
MetaB_M005	Benzenoids
MetaB_M188	Organoheterocyclic compounds
MetaB_M184	Organoheterocyclic compounds
MetaB_M140	Miscellaneous
MetaB_M192	Lipids and lipid-like molecules
