gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M120	0.556228638722664	3.88596128655013e-17	11.535454066041	2.24551704974798e-12	2.7844411416875e-10	18.1944664183231	9.55526195791805	up
MetaB_M007	0.533129311631037	1.10986162390099e-16	10.0990653765286	5.08338762335109e-11	2.28992994265412e-09	15.0490636003965	8.64017780411607	up
MetaB_M127	0.508886511616422	1.18539437525082e-17	8.44623671721778	2.55407481587182e-09	6.4586623228211e-08	11.0962884698459	7.1898574210102	up
MetaB_M235	0.512847045560647	1.26779374035972e-16	8.43838088769385	2.60429932371818e-09	6.4586623228211e-08	11.0766413433875	7.1898574210102	up
MetaB_M141	0.506764019890241	2.84060969191202e-17	8.18093563195888	4.95196360943345e-09	1.02340581261625e-07	10.4283821946015	6.98995212070376	up
MetaB_M134	0.496998618669886	9.84816973341e-18	8.03321195127989	7.18786054940157e-09	1.27327815446542e-07	10.0525941910769	6.8950767120151	up
MetaB_M174	0.462951336112619	1.3559755170552e-16	7.78721959340248	1.34508766896386e-08	1.85323189946132e-07	9.42078443746476	6.73207023294504	up
MetaB_M055	0.463387922923131	-1.21430643318376e-17	7.49161044003639	2.88493545263061e-08	3.56252917950858e-07	8.65184601926133	6.44824156980514	up
MetaB_M083	0.493040827936444	-7.97611398225169e-17	7.47444103229222	3.01665777297098e-08	3.56252917950858e-07	8.60686930637653	6.44824156980514	up
MetaB_M227	0.455763731675341	2.21177243187043e-17	7.4091613146744	3.57592944321411e-08	4.03104773598681e-07	8.43555458934524	6.39458205886682	up
MetaB_M172	0.480905996020863	-1.28839358163694e-17	7.32774674056729	4.42402219727423e-08	4.57148960385004e-07	8.22121908931243	6.33994226353596	up
MetaB_M041	0.406896566376745	-9.34220871958343e-17	7.17706744543585	6.57310886072778e-08	5.96413651575031e-07	7.82259412075704	6.22445242434739	up
MetaB_M138	0.452349930363183	-9.25185853854297e-18	7.16378065248522	6.80750865597394e-08	5.96413651575031e-07	7.78732523000873	6.22445242434739	up
MetaB_M040	0.417377774476387	-4.31512464649231e-17	7.1546122458355	6.9741918934177e-08	5.96413651575031e-07	7.76297729639727	6.22445242434739	up
MetaB_M030	0.485730179002707	-5.54750111588416e-18	6.97896125939901	1.1106024372947e-07	8.60716888903389e-07	7.29480799012737	6.06513967526649	up
MetaB_M060	0.478245720531748	7.51713506256616e-18	6.92769801486287	1.27294584925305e-07	9.56638092771991e-07	7.15757817520695	6.01925232976628	up
MetaB_M131	0.401313331469512	-4.63315728375472e-17	6.80899992234184	1.747730631842e-07	1.2748152844024e-06	6.83883458985633	5.89455273819185	up
MetaB_M050	0.473846627110549	-1.70581141804386e-17	6.72673666512971	2.17900786024949e-07	1.46052418741047e-06	6.6171428406716	5.83549124637827	up
MetaB_M064	0.444164374490346	-1.91822469366998e-16	6.6252691284578	2.86295903887825e-07	1.82054831190207e-06	6.34284672425695	5.7397977917017	up
MetaB_M183	0.430254732475843	-1.32995466491555e-16	6.35990987844578	5.87352533341048e-07	3.31053246064955e-06	5.62138569957782	5.48010214938911	up
MetaB_M240	0.46130498065617	-2.55329611620336e-16	6.34668123858126	6.08877331478618e-07	3.35559062681549e-06	5.58527486556518	5.47423102739027	up
