gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M006	0.466028182386042	1.05239890875926e-16	9.91850550139362	7.66367756387056e-11	6.17951199565093e-09	14.6351379276872	8.20904582037465	up
MetaB_M074	0.460782465266006	1.68412737459415e-17	9.36128915486026	2.79402154117472e-10	1.38583468442266e-08	13.3296767807949	7.85828857342196	up
MetaB_M137	0.436536872176488	4.0567231287166e-17	9.18660924336287	4.22651342164622e-10	1.6360654382949e-08	12.9119495212449	7.78619932968547	up
MetaB_M040	0.436574219215289	-4.31512464649231e-17	8.64140255174613	1.57852741394703e-09	3.92765211518153e-08	11.5821515839613	7.40586698604492	up
MetaB_M159	0.436031385653396	-3.6826733792091e-17	8.48631622130756	2.31281076646323e-09	4.77980891735734e-08	11.1967432148587	7.32058946485149	up
MetaB_M018	0.397429019707568	5.02708407309112e-17	8.04102908047313	7.04702784659291e-09	1.12428523363596e-07	10.0729029912677	6.94912349332292	up
MetaB_M037	0.393890695604394	-8.626635285743e-17	7.98706862012325	8.07970960408311e-09	1.12428523363596e-07	9.93500580429569	6.94912349332292	up
MetaB_M202	0.388084611978582	9.13621030681118e-17	7.97925405361578	8.24157022128786e-09	1.12428523363596e-07	9.91500537535293	6.94912349332292	up
MetaB_M129	0.438604033448245	-2.6599093298311e-17	7.96187595014486	8.61347558027554e-09	1.12428523363596e-07	9.87050100069917	6.94912349332292	up
MetaB_M066	0.401355805841013	7.15573433840433e-18	7.9270392655825	9.41140203685872e-09	1.16701385257048e-07	9.78117323580323	6.93292398880535	up
MetaB_M174	0.404577029962931	1.3559755170552e-16	7.8581021485585	1.12199195235602e-08	1.26479092811042e-07	9.60396366230266	6.8979812581025	up
MetaB_M099	0.435563352506468	5.23127548224256e-17	7.77306875565686	1.39478415110728e-08	1.50394117162871e-07	9.38457473092868	6.82276915133527	up
MetaB_M087	0.426320969036502	-7.57495917843206e-17	7.51908950655296	2.68618140028797e-08	2.53147737615545e-07	8.7241266572121	6.59662594955494	up
MetaB_M007	0.343301547324075	1.10986162390099e-16	7.50920139164629	2.7560439175886e-08	2.53147737615545e-07	8.69825976745102	6.59662594955494	up
MetaB_M029	0.416961613062771	-2.13949228703806e-17	7.13206494701204	7.40197423458241e-08	6.11896536725479e-07	7.70343914497177	6.21332200486067	up
MetaB_M214	0.416286370691245	8.03032409087597e-17	6.84128540107051	1.60311975479534e-07	1.20476878542195e-06	6.92605089985252	5.91909629321394	up
MetaB_M120	0.283028306752313	3.88596128655013e-17	6.77767265860422	1.90070632137599e-07	1.37078503894575e-06	6.75487063294463	5.86303064420333	up
MetaB_M054	0.410992661061379	7.87492177948638e-17	6.73074702177234	2.15567002092275e-07	1.37078503894575e-06	6.62835158341221	5.86303064420333	up
MetaB_M183	0.386595699073187	-1.32995466491555e-16	6.59859832010331	3.07646056118083e-07	1.86088346139719e-06	6.27098658198824	5.73028082389067	up
MetaB_M064	0.378656664588978	-1.91822469366998e-16	6.52190962305148	3.78472029268179e-07	2.23478722044067e-06	6.06290504563073	5.65076382080389	up
MetaB_M146	0.395515723431353	-1.5511319081026e-16	6.45446824299551	4.5432376698257e-07	2.48212482355373e-06	5.87951327268115	5.60517638205667	up
MetaB_M134	0.345218610328938	9.84816973341e-18	6.44314065682155	4.68498364748051e-07	2.48212482355373e-06	5.848674719052	5.60517638205667	up
MetaB_M001	0.391853142693926	4.32958067545878e-17	5.879474103351	2.19016531495589e-06	9.69930353766182e-06	4.30305719781422	5.01325944930175	up
MetaB_M203	0.375989436561676	1.47849036254607e-16	5.77559001743015	2.91735998058686e-06	1.22628012743312e-05	4.01631360646836	4.9114103096693	up
MetaB_M118	0.349129141804144	1.06830054062238e-16	5.68849087349701	3.71184928956905e-06	1.50907971116906e-05	3.77559352180469	4.82128781972967	up
MetaB_M165	0.31250584912625	-8.03755210535921e-17	5.56389713610526	5.24209386397852e-06	2.00006042810257e-05	3.43087140229797	4.6989568827385	up
MetaB_M004	0.369949990575557	6.54587061638123e-18	5.45684996027616	7.05561690818485e-06	2.61163133317887e-05	3.13445372109449	4.58308812956633	up
MetaB_M083	0.307321378281851	-7.97611398225169e-17	5.37969899298615	8.74251991456689e-06	3.09734991258941e-05	2.92074585257782	4.50900972892719	up
MetaB_M114	0.236550707966617	-3.82000565439059e-17	5.13791388241263	1.71316325209007e-05	5.66485982024451e-05	2.2511288816102	4.24681083249918	up
MetaB_M092	0.35993793205734	1.19117678683741e-16	5.13281513344803	1.73765541775599e-05	5.67024399478271e-05	2.23701706646525	4.24639825269302	up
MetaB_M109	0.32539601690319	1.377840260867e-16	5.10800477603883	1.8619278600308e-05	5.99685856217712e-05	2.16835832569863	4.22207619401538	up
MetaB_M069	0.277727636587536	-1.72026744701033e-16	4.99424294615702	2.55576603111775e-05	7.92287469646502e-05	1.85377258643774	4.10111721256567	up
MetaB_M219	0.358758228030365	-5.88360378935467e-17	4.94527510727735	2.92902814401142e-05	8.96788863845473e-05	1.71850791176244	4.04730979336635	up
MetaB_M050	0.300859194875124	-1.70581141804386e-17	4.9317299783776	3.04156940495195e-05	9.19889283448883e-05	1.68111046165003	4.03626444056828	up
MetaB_M027	0.328638618767393	9.82287168271867e-17	4.89882312643157	3.33328867808119e-05	9.95970592968838e-05	1.59029255801962	4.00175348436737	up
MetaB_M126	0.348999119233754	3.07913416985883e-17	4.78049306634008	4.63259335759813e-05	0.000136771803890992	1.26420655583993	3.86400342510632	up
MetaB_M239	0.336611977364609	-6.54135310732921e-17	4.73715268725275	5.22566729985601e-05	0.000152466528278152	1.14499194490776	3.81682548864261	up
