gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M041	0.433198437695683	-9.34220871958343e-17	6.6019725614301	3.65647746281252e-08	8.15504628797941e-06	8.56381341252796	5.0885735695646	up
MetaB_M131	0.427376658612417	-4.63315728375472e-17	6.43216370563926	6.57665023224146e-08	8.15504628797941e-06	7.98927498804311	5.0885735695646	up
MetaB_M051	0.42169491779469	8.29776062675573e-17	6.27237058187281	1.14249051667727e-07	8.62262643789131e-06	7.44905443318426	5.06436042863632	up
MetaB_M227	0.418606788431528	2.21177243187043e-17	6.18782938716167	1.52994701491136e-07	8.62262643789131e-06	7.16353810570411	5.06436042863632	up
MetaB_M055	0.415423018733943	-1.21430643318376e-17	6.10228970482153	2.05550433480051e-07	8.62262643789131e-06	6.87493366762454	5.06436042863632	up
MetaB_M138	0.413573265713184	-9.25185853854297e-18	6.05332213589176	2.4338058494048e-07	8.62262643789131e-06	6.70987290265955	5.06436042863632	up
MetaB_M135	0.411317612663112	-2.80085561225422e-18	5.99431481178432	2.98293792227424e-07	9.24710755905015e-06	6.51113777933139	5.03399409078364	up
MetaB_M077	0.4050337542161	-1.81423163529241e-17	5.83385328016486	5.1828900666202e-07	1.4281741516909e-05	5.97179938284302	4.84521883142061	up
MetaB_M003	0.397932813686249	9.44701492959036e-17	5.65906461882777	9.44450135212634e-07	2.11489011882275e-05	5.38654074958698	4.67471219189585	up
MetaB_M231	0.396952689337026	3.93746088974319e-17	5.63545439807056	1.02402325001041e-06	2.11489011882275e-05	5.30769521878435	4.67471219189585	up
MetaB_M125	0.393576784495378	-1.40946282423116e-18	5.55504854551771	1.34835388203824e-06	2.11489011882275e-05	5.03960413695199	4.67471219189585	up
MetaB_M127	0.391963130151199	1.18539437525082e-17	5.51710591274039	1.53500089269393e-06	2.11489011882275e-05	4.91333413838133	4.67471219189585	up
MetaB_M065	0.390930652758707	6.72205346941013e-17	5.49299160992402	1.66672325344181e-06	2.17551245712404e-05	4.83316779546573	4.66243842556605	up
MetaB_M172	0.388093560717665	-1.28839358163694e-17	5.42737048381955	2.08468155046023e-06	2.46190964054351e-05	4.61536151543901	4.60872789102026	up
MetaB_M167	0.382020222693785	3.72062045524609e-17	5.28994604137664	3.32596473776076e-06	3.14428482764292e-05	4.16100765371424	4.50247811992565	up
MetaB_M141	0.381638698284335	2.84060969191202e-17	5.28144734626479	3.42321332041769e-06	3.14428482764292e-05	4.13299396399067	4.50247811992565	up
MetaB_M235	0.380204978861131	1.26779374035972e-16	5.2496482890675	3.81269780691334e-06	3.25617299421953e-05	4.02826949345628	4.48729252993789	up
MetaB_M157	0.378975362537296	-4.74157750100327e-17	5.22254784706946	4.17901234402193e-06	3.34320987521755e-05	3.93913694188667	4.47583635903775	up
MetaB_M207	0.372636896924227	7.2280144832367e-19	5.08528765405065	6.6409188828072e-06	4.84396436157702e-05	3.48946041483391	4.31479906074521	up
