Bger_vs_Esin_down	Bger_vs_Pame_down	Bger_vs_Pful_down
MetaB_M139	MetaB_M226	MetaB_M156
MetaB_M168	MetaB_M099	MetaB_M012
MetaB_M113	MetaB_M053	MetaB_M143
MetaB_M105	MetaB_M074	MetaB_M220
MetaB_M047	MetaB_M108	MetaB_M123
MetaB_M069	MetaB_M036	MetaB_M233
MetaB_M011	MetaB_M214	MetaB_M129
MetaB_M216	MetaB_M087	MetaB_M214
MetaB_M121	MetaB_M010	MetaB_M133
MetaB_M119	MetaB_M224	MetaB_M199
MetaB_M246	MetaB_M057	MetaB_M247
MetaB_M082	MetaB_M008	MetaB_M112
MetaB_M151	MetaB_M001	MetaB_M057
MetaB_M218	MetaB_M185	MetaB_M185
MetaB_M097	MetaB_M149	MetaB_M074
MetaB_M116	MetaB_M027	MetaB_M006
MetaB_M220	MetaB_M212	MetaB_M147
MetaB_M035	MetaB_M061	MetaB_M121
MetaB_M133	MetaB_M247	MetaB_M029
MetaB_M186	MetaB_M233	MetaB_M067
MetaB_M042	MetaB_M029	MetaB_M036
MetaB_M070	MetaB_M020	MetaB_M196
MetaB_M026	MetaB_M097	MetaB_M068
MetaB_M222	MetaB_M142	MetaB_M159
MetaB_M016	MetaB_M219	MetaB_M226
MetaB_M247	MetaB_M012	MetaB_M180
MetaB_M130	MetaB_M052	MetaB_M032
MetaB_M189	MetaB_M070	MetaB_M126
MetaB_M169	MetaB_M117	MetaB_M034
MetaB_M150	MetaB_M194	MetaB_M124
MetaB_M010	MetaB_M128	MetaB_M160
MetaB_M238	MetaB_M006	MetaB_M043
MetaB_M053	MetaB_M023	MetaB_M128
MetaB_M031	MetaB_M080	MetaB_M113
MetaB_M036	MetaB_M025	MetaB_M208
MetaB_M057	MetaB_M236	MetaB_M052
MetaB_M108	MetaB_M151	MetaB_M097
MetaB_M110	MetaB_M241	MetaB_M111
MetaB_M143	MetaB_M096	MetaB_M014
MetaB_M142	MetaB_M158	MetaB_M239
MetaB_M078	MetaB_M169	MetaB_M054
MetaB_M200	MetaB_M048	MetaB_M093
MetaB_M024	MetaB_M198	MetaB_M248
MetaB_M225	MetaB_M039	MetaB_M087
MetaB_M245	MetaB_M199	MetaB_M082
MetaB_M103	MetaB_M137	MetaB_M117
MetaB_M022	MetaB_M148	MetaB_M070
MetaB_M081	MetaB_M016	MetaB_M078
MetaB_M114	MetaB_M113	MetaB_M148
MetaB_M230	MetaB_M086	MetaB_M132
MetaB_M164	MetaB_M165	MetaB_M027
MetaB_M089	MetaB_M066	MetaB_M066
MetaB_M179	MetaB_M216	MetaB_M020
MetaB_M067	MetaB_M037	MetaB_M242
MetaB_M215	MetaB_M078	MetaB_M018
MetaB_M093	MetaB_M069	MetaB_M202
MetaB_M013	MetaB_M056	MetaB_M230
MetaB_M158	MetaB_M093	MetaB_M169
MetaB_M122	MetaB_M015	MetaB_M190
MetaB_M244	MetaB_M156	MetaB_M038
MetaB_M148	MetaB_M178	MetaB_M086
MetaB_M132	MetaB_M032	MetaB_M108
MetaB_M221	MetaB_M018	MetaB_M096
MetaB_M232	MetaB_M244	MetaB_M022
MetaB_M212	MetaB_M160	MetaB_M016
MetaB_M199	MetaB_M133	MetaB_M033
MetaB_M248	MetaB_M230	MetaB_M151
MetaB_M241	MetaB_M034	MetaB_M165
MetaB_M015	MetaB_M190	MetaB_M142
MetaB_M025	MetaB_M202	MetaB_M025
MetaB_M019	MetaB_M014	MetaB_M215
MetaB_M112	MetaB_M143	MetaB_M179
MetaB_M096	MetaB_M082	MetaB_M037
MetaB_M068	MetaB_M043	MetaB_M114
MetaB_M193	MetaB_M122	MetaB_M137
MetaB_M191	MetaB_M248	MetaB_M198
MetaB_M032	MetaB_M159	MetaB_M039
MetaB_M075	MetaB_M179	MetaB_M069
MetaB_M014	MetaB_M114	MetaB_M056
MetaB_M021	MetaB_M068	MetaB_M244
MetaB_M194	MetaB_M022	
MetaB_M061		
MetaB_M208		
MetaB_M085		
MetaB_M224		
MetaB_M162		
MetaB_M140		
MetaB_M160		
MetaB_M188		
MetaB_M128		
MetaB_M005		
MetaB_M086		
MetaB_M012		
MetaB_M198		
MetaB_M056		
MetaB_M184		
MetaB_M192		
MetaB_M052		
MetaB_M117		
MetaB_M020		
MetaB_M190		
MetaB_M043		
