Bger_vs_Esin_up	Bger_vs_Pame_up	Bger_vs_Pful_up
MetaB_M120	MetaB_M065	MetaB_M135
MetaB_M141	MetaB_M135	MetaB_M231
MetaB_M007	MetaB_M207	MetaB_M055
MetaB_M050	MetaB_M002	MetaB_M125
MetaB_M065	MetaB_M231	MetaB_M002
MetaB_M235	MetaB_M141	MetaB_M131
MetaB_M055	MetaB_M138	MetaB_M235
MetaB_M127	MetaB_M051	MetaB_M187
MetaB_M138	MetaB_M041	MetaB_M041
MetaB_M083	MetaB_M106	MetaB_M051
MetaB_M134	MetaB_M115	MetaB_M245
MetaB_M206	MetaB_M120	MetaB_M104
MetaB_M174	MetaB_M245	MetaB_M049
MetaB_M172	MetaB_M131	MetaB_M077
MetaB_M227	MetaB_M003	MetaB_M172
MetaB_M041	MetaB_M227	MetaB_M167
MetaB_M040	MetaB_M050	MetaB_M127
MetaB_M060	MetaB_M125	MetaB_M150
MetaB_M030	MetaB_M119	MetaB_M227
MetaB_M131	MetaB_M055	MetaB_M058
MetaB_M229	MetaB_M076	MetaB_M003
MetaB_M109	MetaB_M077	MetaB_M138
MetaB_M064	MetaB_M187	MetaB_M060
MetaB_M118	MetaB_M229	MetaB_M120
MetaB_M058	MetaB_M153	MetaB_M213
MetaB_M051	MetaB_M206	MetaB_M065
MetaB_M207	MetaB_M217	MetaB_M207
MetaB_M240	MetaB_M127	MetaB_M157
MetaB_M135	MetaB_M211	MetaB_M161
MetaB_M154	MetaB_M221	MetaB_M201
MetaB_M183	MetaB_M079	MetaB_M141
MetaB_M217	MetaB_M167	MetaB_M083
MetaB_M210	MetaB_M150	MetaB_M178
MetaB_M195	MetaB_M240	MetaB_M030
MetaB_M166	MetaB_M161	MetaB_M017
MetaB_M077	MetaB_M157	MetaB_M106
MetaB_M044	MetaB_M235	MetaB_M076
MetaB_M101	MetaB_M172	MetaB_M044
MetaB_M091	MetaB_M200	MetaB_M240
MetaB_M126	MetaB_M007	MetaB_M189
MetaB_M074	MetaB_M017	MetaB_M153
MetaB_M157	MetaB_M104	MetaB_M079
MetaB_M129	MetaB_M088	MetaB_M101
MetaB_M146	MetaB_M210	MetaB_M210
MetaB_M175	MetaB_M154	MetaB_M145
MetaB_M213	MetaB_M209	MetaB_M007
MetaB_M243	MetaB_M191	MetaB_M217
MetaB_M006	MetaB_M145	MetaB_M211
MetaB_M231	MetaB_M060	MetaB_M109
MetaB_M099	MetaB_M107	MetaB_M222
MetaB_M125	MetaB_M035	MetaB_M144
MetaB_M003	MetaB_M197	MetaB_M140
MetaB_M009	MetaB_M213	MetaB_M134
MetaB_M167	MetaB_M059	MetaB_M204
MetaB_M004	MetaB_M181	MetaB_M243
MetaB_M203	MetaB_M058	MetaB_M107
MetaB_M115	MetaB_M091	MetaB_M035
MetaB_M147	MetaB_M147	MetaB_M166
MetaB_M153	MetaB_M030	MetaB_M091
MetaB_M106	MetaB_M195	MetaB_M152
MetaB_M079	MetaB_M124	MetaB_M223
MetaB_M092	MetaB_M222	MetaB_M053
MetaB_M072	MetaB_M101	MetaB_M103
MetaB_M076	MetaB_M009	MetaB_M105
MetaB_M100	MetaB_M140	MetaB_M061
MetaB_M145	MetaB_M062	MetaB_M116
MetaB_M046	MetaB_M024	MetaB_M072
MetaB_M219	MetaB_M126	MetaB_M119
MetaB_M159	MetaB_M136	MetaB_M246
MetaB_M176	MetaB_M201	MetaB_M218
MetaB_M177	MetaB_M028	MetaB_M047
MetaB_M095	MetaB_M177	MetaB_M177
MetaB_M187	MetaB_M094	MetaB_M081
MetaB_M084	MetaB_M175	MetaB_M100
MetaB_M063	MetaB_M090	MetaB_M118
MetaB_M223		
MetaB_M001		
MetaB_M087		
MetaB_M045		
MetaB_M002		
MetaB_M214		
MetaB_M054		
MetaB_M137		
MetaB_M201		
MetaB_M124		
MetaB_M111		
MetaB_M028		
MetaB_M017		
MetaB_M029		
MetaB_M049		
MetaB_M071		
MetaB_M178		
