gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M140	0.438206031014381	1.24105008677174e-16	7.50290630339075	5.04956178467563e-09	5.74651183705819e-07	10.5236268404954	6.24059569437084	up
MetaB_M192	0.436012157421818	1.38362267245358e-16	7.41095120594488	6.70602684365664e-09	5.74651183705819e-07	10.2431507389376	6.24059569437084	up
MetaB_M184	0.434195598103309	-4.84276970376859e-17	7.33631016174281	8.44727973902613e-09	5.74651183705819e-07	10.014960253554	6.24059569437084	up
MetaB_M005	0.433408214404601	3.68628738645072e-17	7.30436659505178	9.3257655278284e-09	5.74651183705819e-07	9.91716450725453	6.24059569437084	up
MetaB_M188	0.430772403899599	-8.02445132910834e-17	7.19917844445797	1.29251444176113e-08	5.74651183705819e-07	9.5945643997923	6.24059569437084	up
MetaB_M075	0.424370265212871	-1.6581065224545e-16	6.95423665605816	2.77314135583123e-08	8.93741981669434e-07	8.84026183999966	6.04878784150677	up
MetaB_M019	0.42267971363317	-1.49366919296086e-16	6.89189846823269	3.37014201551577e-08	9.28661355386568e-07	8.6476671972043	6.03214262647906	up
MetaB_M193	0.420940199952801	-1.16681611927437e-16	6.82871914863144	4.1075303803619e-08	1.01866753432975e-06	8.45224289952866	5.99196753489998	up
MetaB_M085	0.417839583575848	8.27788358692683e-17	6.71844221010895	5.80537948099807e-08	1.30884919207957e-06	8.11062483256432	5.88311039074547	up
MetaB_M021	0.404200127037171	-7.08345419357196e-17	6.26553910594431	2.41932175417908e-07	3.76226452387783e-06	6.70249272930787	5.42455067257571	up
MetaB_M162	0.404167128927747	-1.71376223397542e-16	6.26450157355991	2.42726743475989e-07	3.76226452387783e-06	6.69926056042554	5.42455067257571	up
MetaB_M012	0.397659941804156	-1.96168313075044e-16	6.0648456874116	4.5640926989189e-07	5.38997613967565e-06	6.07707960237079	5.26841315734204	up
MetaB_M117	0.394792452599431	2.1665973413502e-17	5.97984573175516	5.97306304579998e-07	6.44052015373216e-06	5.81217130053527	5.19107905643316	up
MetaB_M224	0.393058169911261	-1.05510941419048e-16	5.92927523578379	7.01011927835718e-07	6.91202478609413e-06	5.65459116540826	5.16039471317317	up
MetaB_M020	0.392976752497692	1.09070738552042e-16	5.92691634039444	7.06266719773801e-07	6.91202478609413e-06	5.64724147445098	5.16039471317317	up
MetaB_M221	0.38932047985967	1.01770443923973e-16	5.82235117068911	9.83425229762417e-07	9.03294285115109e-06	5.32153827579585	5.044170737416	up
MetaB_M052	0.385535734895855	-1.72930246511438e-17	5.71683283132081	1.37340818379671e-06	1.21644724850566e-05	4.993128739327	4.91490671959764	up
MetaB_M089	0.382709111319664	-5.34873071759516e-18	5.63974870998473	1.75277998668254e-06	1.49892909205955e-05	4.75345060198717	4.8242189112849	up
MetaB_M164	0.381403178497909	-1.90557566832431e-16	5.60461457626541	1.9588038281857e-06	1.56704306254856e-05	4.64428831769483	4.80491906889819	up
MetaB_M191	0.379251524792725	-6.23416249179165e-17	5.54737036156397	2.34745775616444e-06	1.76568788922652e-05	4.466553647826	4.75308606178109	up
MetaB_M013	0.37924109197997	1.11998084417753e-16	5.54709471806952	2.34950404614819e-06	1.76568788922652e-05	4.46569821468822	4.75308606178109	up
MetaB_M024	0.376782469241408	4.40186082029115e-17	5.48264186374566	2.88024711949515e-06	2.02487275120851e-05	4.26578922201905	4.69360226389839	up
MetaB_M043	0.37673225127519	7.94991242974996e-17	5.48133578423015	2.89215484119428e-06	2.02487275120851e-05	4.26174070343298	4.69360226389839	up
MetaB_M061	0.372559857671091	1.82145964977565e-17	5.37423001456366	4.05561601940855e-06	2.64682308635085e-05	3.9301104639203	4.57727508597077	up
MetaB_M112	0.369618622386948	5.34873071759516e-17	5.30035275730986	5.11921084712532e-06	3.19275303049795e-05	3.70183999692609	4.49583467420725	up
MetaB_M245	0.369278604728935	-1.15359111152458e-16	5.29189617592287	5.25742387849025e-06	3.19275303049795e-05	3.67573769794339	4.49583467420725	up
MetaB_M103	0.368009179960184	5.31981865966221e-17	5.26047501625835	5.80425776757135e-06	3.42445948970316e-05	3.57880451186782	4.46540796699312	up
MetaB_M232	0.367716399775423	7.73397549706327e-17	5.253261509969	5.93757088940468e-06	3.42445948970316e-05	3.55656296998812	4.46540796699312	up
MetaB_M222	0.366467276386416	9.30968265440886e-17	5.2226249564452	6.53851079722573e-06	3.68534244934541e-05	3.46215178638156	4.43352215042339	up
MetaB_M194	0.364070890895436	-4.14888031337786e-17	5.16447171918253	7.85022848596725e-06	4.23229709678235e-05	3.28318175522291	4.37342385350492	up
MetaB_M150	0.362133676168606	-9.15066633577766e-17	5.11804490601019	9.08239722335734e-06	4.69257189873462e-05	3.14053838505466	4.32858906447444	up
MetaB_M200	0.360633150712735	5.36680075380325e-17	5.08243384915284	1.01559385197045e-05	5.14014847527899e-05	3.031277823455	4.28902433605082	up
MetaB_M035	0.356019617501557	-1.38922438367809e-16	4.97479714637712	1.42264502329782e-05	6.784922418805e-05	2.70189906378226	4.16845511385207	up
MetaB_M081	0.354924363337169	-1.12576325576412e-17	4.94964328616438	1.53900032567656e-05	7.15199819398572e-05	2.62512678667656	4.14557260387966	up
MetaB_M190	0.354759134579846	2.0093880263398e-17	4.94586159017679	1.5572899293356e-05	7.15199819398572e-05	2.61359157714565	4.14557260387966	up
MetaB_M116	0.353544723815715	-2.19731640290396e-17	4.91817004641932	1.69793544023435e-05	7.65614525778398e-05	2.52918115458995	4.11598983541204	up
MetaB_M208	0.351053125797767	3.58870919092702e-17	4.86191705340848	2.02348825933484e-05	8.65215669508692e-05	2.35802399316029	4.06287562386131	up
MetaB_M026	0.347822046963021	1.31586003667324e-16	4.79006325511781	2.53041832816955e-05	0.000102876023833778	2.14004886287007	3.98768582961056	up
MetaB_M130	0.344381462439741	3.23815048849004e-17	4.71486195575828	3.1954198944954e-05	0.000124291578910297	1.91275487156823	3.9055582949841	up
MetaB_M189	0.339706902739258	1.26056572587648e-16	4.61476545981742	4.35437258756121e-05	0.000156504985755823	1.61165294162072	3.80547182264308	up
MetaB_M218	0.336243706420947	-4.56087713892236e-17	4.54208462392274	5.44671923946334e-05	0.00019025160160379	1.39413071333637	3.72067167850083	up
MetaB_M246	0.333670585205035	-1.39789800105798e-16	4.48886561046996	6.41353720957436e-05	0.000217630004918326	1.23548777314228	3.66228122812772	up
MetaB_M225	0.333473151075985	-1.7650811368064e-16	4.48480906679454	6.49379853385329e-05	0.000217630004918326	1.22341822456273	3.66228122812772	up
