gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M245	0.465321057872379	-1.15359111152458e-16	12.1013168162212	2.63038577179244e-12	3.26167835702262e-10	18.094009058353	9.48655886814476	up
MetaB_M191	0.538150378202128	-6.23416249179165e-17	11.2794829969558	1.2671845932928e-11	1.04753926378871e-09	16.5045779774688	8.97982968986315	up
MetaB_M221	0.535930735292876	1.01770443923973e-16	10.9609728051783	2.37971753363979e-11	1.23643136542517e-09	15.8669669819755	8.90782998641503	up
MetaB_M140	0.474787895136407	1.24105008677174e-16	10.9377446500679	2.49280517222817e-11	1.23643136542517e-09	15.8199827103964	8.90782998641503	up
MetaB_M005	0.509473310867047	3.68628738645072e-17	10.7598353634139	3.56492467791416e-11	1.47350220020452e-09	15.4579102820323	8.83164921133359	up
MetaB_M119	0.513847785011509	-5.26922255827955e-17	9.61429434841556	3.91742642995473e-10	1.21440219328597e-08	13.0305302071106	7.91563745708501	up
MetaB_M200	0.519835146756058	5.36680075380325e-17	9.20267220307178	9.65554354105164e-10	2.66063866464534e-08	12.1166264638994	7.57501410200105	up
MetaB_M150	0.41712961027913	-9.15066633577766e-17	8.8077033293995	2.34297111637268e-09	5.28233488054932e-08	11.2185840236256	7.27717406958792	up
MetaB_M020	0.379638109591565	1.09070738552042e-16	8.65783571355954	3.29754004455478e-09	6.29069177730451e-08	10.8724048577756	7.20130159325962	up
MetaB_M192	0.359723201029626	1.38362267245358e-16	8.05144577194734	1.35493542245279e-08	2.10014990480182e-07	9.44141443647828	6.67774970502574	up
MetaB_M021	0.462882798525301	-7.08345419357196e-17	7.99339283232421	1.55517537361553e-08	2.20667444572192e-07	9.30189570133525	6.65626173428533	up
MetaB_M188	0.42686009808085	-8.02445132910834e-17	7.82758755700133	2.31101558997043e-08	2.72919936339365e-07	8.90102749514682	6.56396473869458	up
MetaB_M075	0.438199050033859	-1.6581065224545e-16	7.60715722087915	3.93460473618997e-08	4.03877397348031e-07	8.36268389821772	6.39375045106794	up
MetaB_M117	0.354750081590905	2.1665973413502e-17	7.59573934708651	4.0452520970279e-08	4.03877397348031e-07	8.33463279857826	6.39375045106794	up
MetaB_M184	0.366211925555836	-4.84276970376859e-17	7.57696007991223	4.2341985205842e-08	4.03877397348031e-07	8.28846123932324	6.39375045106794	up
MetaB_M112	0.458016636102927	5.34873071759516e-17	7.55271078232812	4.49159519424302e-08	4.125613363601e-07	8.22877618937514	6.38451147484141	up
MetaB_M193	0.442064343802519	-1.16681611927437e-16	7.52556164822677	4.79880961971176e-08	4.25037423460185e-07	8.16186757246974	6.37157282974564	up
MetaB_M085	0.435876948973577	8.27788358692683e-17	7.47109458852765	5.48151631478909e-08	4.68764153816447e-07	8.0273611328725	6.32904560602352	up
MetaB_M208	0.428418556010951	3.58870919092702e-17	7.418226510554	6.23918758343805e-08	5.15772840230879e-07	7.89645678455351	6.28754153084565	up
MetaB_M019	0.414055362244125	-1.49366919296086e-16	7.36668957287485	7.08087286815653e-08	5.66469829452522e-07	7.76852232812425	6.24682321598808	up
MetaB_M035	0.458980336386615	-1.38922438367809e-16	7.23842877373587	9.71602903329748e-08	7.52992250080555e-07	7.44874951457078	6.12320949360617	up
MetaB_M024	0.465353615650846	4.40186082029115e-17	6.97061809264164	1.89324902926433e-07	1.37161596435434e-06	6.77488256169183	5.86276746873743	up
MetaB_M222	0.420231657440062	9.30968265440886e-17	6.62198380726996	4.56930132887148e-07	2.69806364180983e-06	5.88583434640823	5.56894781042362	up
MetaB_M002	0.308931077186377	4.27898457407612e-17	6.56776475756833	5.24674648957145e-07	3.02603053352028e-06	5.74644655445414	5.51912669413422	up
MetaB_M104	0.331834463654407	4.21393244372699e-17	6.45573100844449	6.98854250032637e-07	3.85146342240209e-06	5.4575266201889	5.41437422230605	up
MetaB_M052	0.331714836510582	-1.72930246511438e-17	6.35938862687579	8.95162714232052e-07	4.82609463325106e-06	5.20813800302241	5.3164041664107	up
MetaB_M162	0.378875938792914	-1.71376223397542e-16	6.33985097242875	9.41359636250715e-07	4.96717425085484e-06	5.15746181371335	5.30389060447884	up
MetaB_M089	0.440632496254915	-5.34873071759516e-18	6.32253380804997	9.84326931447525e-07	5.08568914581221e-06	5.1125170437359	5.29365018886818	up
MetaB_M164	0.440913293490962	-1.90557566832431e-16	6.29970515289194	1.04402817351885e-06	5.28406095985048e-06	5.05322799924483	5.27703218076721	up
MetaB_M215	0.296429780246284	-1.04661649717267e-16	5.96092414645245	2.51612778682667e-06	1.07586153643623e-05	4.16843449993133	4.96824361884728	up
MetaB_M130	0.446301951056778	3.23815048849004e-17	5.94684017066408	2.61042030287329e-06	1.07796574735714e-05	4.13146797230706	4.96739503875051	up
MetaB_M132	0.361507365273994	-1.20346441145891e-16	5.94585751793176	2.61713117307104e-06	1.07796574735714e-05	4.12888828521134	4.96739503875051	up
MetaB_M190	0.24315027592366	2.0093880263398e-17	5.71996492316123	4.73194189490096e-06	1.80541783066991e-05	3.53428076725843	4.74342227267537	up
MetaB_M211	0.405050615912975	8.61579326401814e-17	5.70108211598428	4.97297013063504e-06	1.86863120060226e-05	3.484445646283	4.72847640399727	up
