module,lambda.min,coef,absCoef
MetaB_M174,1.3922710028970327,1.3922710028970327,1.3922710028970327
MetaB_M040,1.0918908387790636,1.0918908387790636,1.0918908387790636
MetaB_M074,1.0384997347024791,1.0384997347024791,1.0384997347024791
MetaB_M006,0.8924481339474181,0.8924481339474181,0.8924481339474181
MetaB_M129,0.8676406811517099,0.8676406811517099,0.8676406811517099
MetaB_M064,0.7198244002805584,0.7198244002805584,0.7198244002805584
MetaB_M007,0.6080705773984315,0.6080705773984315,0.6080705773984315
MetaB_M146,0.37821101017509956,0.37821101017509956,0.37821101017509956
MetaB_M134,0.3699288034382645,0.3699288034382645,0.3699288034382645
MetaB_M183,0.3089188606284033,0.3089188606284033,0.3089188606284033
MetaB_M099,0.2315496108180188,0.2315496108180188,0.2315496108180188
MetaB_M118,0.1961287884234169,0.1961287884234169,0.1961287884234169
MetaB_M203,0.19357080071430502,0.19357080071430502,0.19357080071430502
MetaB_M120,0.0930109701000607,0.0930109701000607,0.0930109701000607
MetaB_M083,8.05798368279319e-4,8.05798368279319e-4,8.05798368279319e-4
MetaB_M012,-0.11064779924908975,-0.11064779924908975,0.11064779924908975
MetaB_M043,-0.21324138756552777,-0.21324138756552777,0.21324138756552777
MetaB_M164,-0.2484024577880923,-0.2484024577880923,0.2484024577880923
MetaB_M191,-0.30589221912388176,-0.30589221912388176,0.30589221912388176
MetaB_M020,-0.4235576714831259,-0.4235576714831259,0.4235576714831259
MetaB_M117,-0.43114749615667863,-0.43114749615667863,0.43114749615667863
MetaB_M232,-0.4705769250908745,-0.4705769250908745,0.4705769250908745
MetaB_M162,-0.5687940145201358,-0.5687940145201358,0.5687940145201358
MetaB_M019,-0.8318279033572744,-0.8318279033572744,0.8318279033572744
MetaB_M116,-0.8573706679927433,-0.8573706679927433,0.8573706679927433
MetaB_M224,-0.9069891182158117,-0.9069891182158117,0.9069891182158117
MetaB_M075,-1.039471116922042,-1.039471116922042,1.039471116922042
MetaB_M193,-1.2059791317860817,-1.2059791317860817,1.2059791317860817
MetaB_M184,-1.2599790768571542,-1.2599790768571542,1.2599790768571542
MetaB_M085,-1.2908172294619527,-1.2908172294619527,1.2908172294619527
MetaB_M192,-1.4651593878311355,-1.4651593878311355,1.4651593878311355
MetaB_M188,-1.7158463251880518,-1.7158463251880518,1.7158463251880518
MetaB_M005,-1.8365548762397774,-1.8365548762397774,1.8365548762397774
MetaB_M140,-2.28375587017817,-2.28375587017817,2.28375587017817
