gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M178	0.413746893304134	-6.32451267283211e-17	4.4771912247846	7.71722905033807e-06	0.00191387280448384	3.35246531827162	2.71808692870462	up
MetaB_M156	0.378831763871082	1.74917950494328e-17	4.09937156344161	4.20290785087237e-05	0.00349986305302392	1.77630840368883	2.45594894892962	up
MetaB_M022	0.371222375549552	6.07153216591882e-18	4.01702970862535	5.9728616306316e-05	0.00349986305302392	1.45123174916176	2.45594894892962	up
MetaB_M159	0.363350244215101	-3.6826733792091e-17	3.93184468874642	8.53410696723391e-05	0.00349986305302392	1.12187202560346	2.45594894892962	up
MetaB_M143	0.361228787376533	-4.38006383911514e-17	3.90888821923544	9.38455410925383e-05	0.00349986305302392	1.0343205673171	2.45594894892962	up
MetaB_M080	0.357164418866025	-2.42138485188429e-16	3.8649073330366	0.000112421607010348	0.00349986305302392	0.868018090874315	2.45594894892962	up
MetaB_M216	0.353085711224551	-5.58183418467954e-17	3.82077128185072	0.000134513767158821	0.00349986305302392	0.703020607421596	2.45594894892962	up
MetaB_M048	0.34838886703391	-4.55364912443912e-17	3.76994632114447	0.000165008061202844	0.00349986305302392	0.515365014811248	2.45594894892962	up
MetaB_M068	0.348085816186615	-8.38449680055457e-18	3.76666698148988	0.000167183917885753	0.00349986305302392	0.503343359848935	2.45594894892962	up
MetaB_M133	0.342783860451595	1.16375550689163e-16	3.70929405597626	0.000209903750340532	0.00349986305302392	0.294713891808039	2.45594894892962	up
MetaB_M122	0.342240619077719	5.72458747072346e-17	3.70341559368103	0.000214817677727842	0.00349986305302392	0.273518455927585	2.45594894892962	up
MetaB_M034	0.340259770347791	1.24683249835833e-16	3.6819806567793	0.000233666098667581	0.00349986305302392	0.196517230499702	2.45594894892962	up
MetaB_M219	0.336773780661267	-5.88360378935467e-17	3.64425845828844	0.000270657517510376	0.00353279286013543	0.0620923339682191	2.45188182600626	up
MetaB_M082	0.334725807079759	2.0672121422057e-17	3.62209715751227	0.000294880128319124	0.00365651359115713	-0.0162350320320215	2.43693280797648	up
MetaB_M149	0.302327961718666	-1.19470044389799e-16	3.27151724670195	0.00107636962045515	0.0102669102258799	-1.19177023551752	1.98856023544315	up
MetaB_M023	0.292631104912656	7.34366271496848e-17	3.1665867133192	0.00155089222952783	0.0137364740329608	-1.52036564460212	1.86212473048933	up
MetaB_M202	0.285116461382732	9.13621030681118e-17	3.08527010015775	0.00204385657757515	0.0172491169475887	-1.76764617895798	1.76323313332148	up
MetaB_M008	0.282498792131883	-1.35728559468029e-16	3.05694407284744	0.00224688351864143	0.0179750681491315	-1.85227382308352	1.74532945439511	up
MetaB_M248	0.280699019966888	-1.23599047663348e-17	3.03746858125069	0.00239702353579074	0.0185349399463555	-1.91000652879454	1.73200881675655	up
MetaB_M001	0.279902672097923	4.32958067545878e-17	3.02885123149288	0.00246634281544246	0.0185349399463555	-1.93543385229314	1.73200881675655	up
MetaB_M236	0.276640575985121	-2.68520738052243e-16	2.99355180489416	0.00276986903624439	0.0196265005996746	-2.03883826990311	1.70715712809895	up
MetaB_M114	0.27417590804368	-3.82000565439059e-17	2.9668814180997	0.00302142280438683	0.0208142459857759	-2.11616128257723	1.68163931718883	up
MetaB_M176	0.269657180232532	3.5055870243698e-17	2.91798387027355	0.00353741386984695	0.0234930658370199	-2.25612814640635	1.62906030424335	up
MetaB_M018	0.268057494487044	5.02708407309112e-17	2.90067353127639	0.00373849783243635	0.023773011857544	-2.30512068977426	1.62391579301943	up
MetaB_M072	0.264158493832506	1.64075928769473e-16	2.85848210507251	0.00427286242547247	0.0264917470379293	-2.4233117550573	1.57688940055841	up
MetaB_M044	0.252128489520113	1.00324841027325e-16	2.72830437899596	0.00638647184957907	0.0348680653967679	-2.77706495794278	1.45757214814499	up
MetaB_M049	0.249730964639444	9.25185853854297e-18	2.7023605531192	0.00690621167420117	0.0348680653967679	-2.84559620814468	1.45757214814499	up
MetaB_M113	0.248893654913127	1.21575203608041e-16	2.69329995152977	0.00709649033108032	0.0348680653967679	-2.86937573865616	1.45757214814499	up
MetaB_M179	0.248499525018153	1.51824444220387e-16	2.68903503755517	0.00718767544111385	0.0348680653967679	-2.88054135305611	1.45757214814499	up
MetaB_M006	0.239595061916208	1.05239890875926e-16	2.59267906556689	0.00954857254115256	0.0422865355393899	-3.12808691910629	1.37379789436973	up
MetaB_M066	0.239011559536272	7.15573433840433e-18	2.586364935413	0.00972507768342531	0.0423126186927979	-3.14399305748493	1.37353009571247	up
MetaB_M015	0.235404146365651	9.25185853854297e-18	2.54732880280861	0.0108823170888848	0.0460770049978374	-3.24146920728532	1.33651575777896	up
MetaB_M233	0.234869921568796	-2.04896140563552e-16	2.54154790967987	0.0110637211168446	0.0460770049978374	-3.25577851080777	1.33651575777896	up
MetaB_M099	0.234089781859742	5.23127548224256e-17	2.53310594983434	0.0113334568744681	0.0460770049978374	-3.27661628523332	1.33651575777896	up
MetaB_M223	0.232961559504947	-7.54604712049911e-17	2.52089735731501	0.0117338732659021	0.0469354930636083	-3.30662882484517	1.32849861545276	up
MetaB_M063	0.22650176685638	8.35558474262162e-17	2.45099537755842	0.0142773377894633	0.0529824802497935	-3.47567792065423	1.27586771509152	none
MetaB_M014	0.215651199219866	-1.70581141804386e-17	2.33358043863724	0.0196538363535282	0.065866911022635	-3.74893311299505	1.18133270330026	none
MetaB_M093	0.20962281083829	6.91720986045752e-17	2.26834672208642	0.0233469923216197	0.0761849223126539	-3.8949534977239	1.11813097097459	none
MetaB_M230	0.207049593008394	-2.11017365329043e-16	2.24050170747987	0.0250984555000139	0.0808365839480967	-3.95602164046228	1.09239204750505	none
MetaB_M078	0.200939762225004	-3.72965547335014e-17	2.17438669559456	0.0297189372766539	0.0891717231991799	-4.09799976541588	1.04977284075228	none
MetaB_M029	0.198451545705161	-2.13949228703806e-17	2.147461487579	0.031800483196005	0.0927825862659912	-4.15460155988259	1.03253352591734	none
MetaB_M214	0.197139280591137	8.03032409087597e-17	2.13326135230746	0.0329477843078734	0.0950122152134024	-4.18416882920103	1.02222055619806	none
MetaB_M109	0.185527132169725	1.377840260867e-16	2.007605281278	0.044734471053931	0.119291922810483	-4.43725962142328	0.923388961171169	none
MetaB_M234	0.180811994276388	1.08564777538215e-16	1.95658236281905	0.0504475273860438	0.131694597807777	-4.53564286248131	0.88043203969571	none
MetaB_M032	0.179182751209456	-3.2887465898727e-18	1.93895218146819	0.0525586592530856	0.135776536403805	-4.56904893851809	0.867175274170252	none
MetaB_M074	0.170176362909756	1.68412737459415e-17	1.84149326802379	0.0656035554895862	0.162696817614174	-4.74826055892427	0.788620941876421	none
MetaB_M146	0.164970842100985	-1.5511319081026e-16	1.78516387325941	0.0742902748141663	0.176365937614562	-4.84762779516307	0.753585288447256	none
MetaB_M160	0.164538698336114	7.34185571134767e-17	1.78048760788259	0.0750518261710426	0.176365937614562	-4.85573814647174	0.753585288447256	none
MetaB_M185	0.164352331836382	1.01372903127395e-17	1.7784709197317	0.0753822152707403	0.176365937614562	-4.85922925459505	0.753585288447256	none
MetaB_M037	0.162424162140019	-8.626635285743e-17	1.75760602724752	0.0788706408089287	0.179448797436829	-4.89511644706147	0.746059447714132	none
MetaB_M118	0.158868783476135	1.06830054062238e-16	1.71913296457965	0.0856468848025085	0.189646673491269	-4.9601789061751	0.722054770662515	none
MetaB_M199	0.157715683139644	-2.75929452897561e-17	1.70665516525019	0.0879430693184907	0.191314747289348	-4.98097109080432	0.718251551564276	none
MetaB_M163	0.15421381988824	-6.88106978804133e-17	1.66876119752908	0.095222091349541	0.201838279099882	-5.04318665702517	0.694996465327439	none
MetaB_M158	0.145141204105855	-1.32706345912226e-16	1.57058563071731	0.116336916795726	0.236488158732296	-5.19787674710266	0.626190600067686	none
MetaB_M155	0.144305452541535	-8.98442200266321e-17	1.56154189013478	0.118453945647562	0.238833971712158	-5.2116548415517	0.621903899159933	none
MetaB_M083	0.141881629903085	-7.97611398225169e-17	1.53531349392704	0.124764825015116	0.247533412829989	-5.25116368226345	0.606366170353545	none
MetaB_M137	0.140590202346116	4.0567231287166e-17	1.52133884367811	0.128232776815003	0.252394671826355	-5.27194095870959	0.597919817497782	none
MetaB_M071	0.136569984554136	-7.58580120015691e-17	1.47783571625584	0.139509477614347	0.266141157295061	-5.33540443372241	0.574887958954905	none
MetaB_M241	0.134593379504173	-4.25007251614318e-17	1.45644670058521	0.145326716098479	0.275122332766587	-5.3659321513279	0.560474154780688	none
MetaB_M204	0.13380804676628	4.2934406030426e-17	1.44794854652162	0.147688900231533	0.277476115586517	-5.37793769808037	0.556774393858065	none
MetaB_M165	0.13317380956827	-8.03755210535921e-17	1.4410854104756	0.149617941377416	0.278986838057137	-5.38758213507147	0.554416285235334	none
MetaB_M053	0.12897662125457	-3.54172709678598e-17	1.39566726960016	0.162871508707711	0.292696624344292	-5.45025109003155	0.533582286234129	none
MetaB_M087	0.120744763214699	-7.57495917843206e-17	1.30658961566188	0.191407197421945	0.334756136693492	-5.56733494908695	0.475271452829196	none
MetaB_M040	0.120400572613078	-4.31512464649231e-17	1.302865099137	0.19267580553036	0.334756136693492	-5.57206233760067	0.475271452829196	none
MetaB_M183	0.12030620295109	-1.32995466491555e-16	1.30184391679248	0.193024707851489	0.334756136693492	-5.57335612863317	0.475271452829196	none
MetaB_M129	0.117869197776385	-2.6599093298311e-17	1.27547287120998	0.202196223666053	0.348226829647091	-5.60641566646127	0.458137771073943	none
MetaB_M084	0.116418007075111	-5.55879488851422e-17	1.25976941003992	0.207806441701377	0.355420672703044	-5.62578062091643	0.449257315473448	none
MetaB_M148	0.115099371015379	-4.8644537472183e-17	1.24550033420912	0.21300137757136	0.361522959022315	-5.64316871435323	0.441864117013754	none
MetaB_M243	0.112689535994165	1.14789905011903e-16	1.21942329922766	0.222736284081867	0.370728848673175	-5.67443406503112	0.430943617552617	none
MetaB_M069	0.106610729756775	-1.72026744701033e-16	1.15364400666098	0.248696682125412	0.403660885887007	-5.75036187619567	0.39398333101183	none
MetaB_M016	0.106085134919235	4.04949511423336e-17	1.14795649907481	0.251036852583116	0.404267139224757	-5.75672915048829	0.393331558773576	none
MetaB_M064	0.103745647546808	-1.91822469366998e-16	1.12264070213751	0.261639520773493	0.415939750973246	-5.78468890329188	0.380969572533912	none
MetaB_M166	0.102017411477816	1.05529011455256e-16	1.10393930887591	0.269668150242477	0.425972619491302	-5.80494304734741	0.370618315418408	none
MetaB_M203	0.0998403308350152	1.47849036254607e-16	1.0803809293271	0.280020338178672	0.434031524176942	-5.82997319144368	0.362478726066078	none
MetaB_M247	0.0968640296216166	-1.0312569663958e-16	1.04817411426553	0.294604823590829	0.446048219486626	-5.86331846545862	0.350618189886522	none
MetaB_M100	0.0953603731451646	1.40729441988618e-16	1.03190291636554	0.302163338322775	0.454160653963929	-5.87978114677937	0.342790493424353	none
MetaB_M194	0.0943887060327818	-4.14888031337786e-17	1.0213884217811	0.307115734169505	0.458823506470104	-5.89028238722309	0.338354340402976	none
MetaB_M134	0.0939692199847806	9.84816973341e-18	1.0168491266627	0.309270295860908	0.459275648943144	-5.89478272221521	0.337926580512789	none
MetaB_M054	0.087723848725342	7.87492177948638e-17	0.949267419462479	0.342526664043958	0.505634599302986	-5.95941359820185	0.296163216030562	none
MetaB_M043	0.0860780411829103	7.94991242974996e-17	0.931457992477263	0.351657917820977	0.513006844821189	-5.97570569436452	0.289876840252237	none
MetaB_M027	0.0847130644026465	9.82287168271867e-17	0.916687459667148	0.359346955441611	0.518877752050638	-5.9889837332261	0.284934950173797	none
MetaB_M097	0.0789111163858599	-8.99165001714645e-17	0.853904074056761	0.393195630446596	0.554048388356567	-6.04305477541904	0.256452304082861	none
MetaB_M061	0.0764608078437166	1.82145964977565e-17	0.827389071574713	0.40805275828612	0.565346838295853	-6.06473864269243	0.247685032281313	none
MetaB_M169	0.0753801873779801	-1.74339709335669e-16	0.815695583249324	0.414709873463837	0.571378047883509	-6.07408420961671	0.243076449053374	none
MetaB_M152	0.0744538687384294	1.31983544463902e-16	0.805671808445286	0.420467219907701	0.576109781972983	-6.08198943690875	0.239494750670328	none
