Pame_vs_Bger_down	Pame_vs_Esin_down	Pame_vs_Pful_down
MetaB_M090	MetaB_M238	MetaB_M087
MetaB_M175	MetaB_M073	MetaB_M021
MetaB_M094	MetaB_M107	MetaB_M005
MetaB_M028	MetaB_M011	MetaB_M020
MetaB_M177	MetaB_M025	MetaB_M004
MetaB_M136	MetaB_M038	MetaB_M165
MetaB_M201	MetaB_M051	MetaB_M171
MetaB_M126	MetaB_M042	MetaB_M239
MetaB_M024	MetaB_M121	MetaB_M175
MetaB_M062	MetaB_M096	MetaB_M180
MetaB_M140	MetaB_M212	MetaB_M037
MetaB_M009	MetaB_M056	MetaB_M027
MetaB_M101	MetaB_M115	MetaB_M067
MetaB_M222	MetaB_M173	MetaB_M054
MetaB_M124	MetaB_M181	MetaB_M209
MetaB_M195	MetaB_M031	MetaB_M088
MetaB_M030	MetaB_M047	MetaB_M096
MetaB_M147	MetaB_M086	MetaB_M138
MetaB_M091	MetaB_M161	MetaB_M121
MetaB_M058	MetaB_M106	MetaB_M220
MetaB_M181	MetaB_M088	MetaB_M112
MetaB_M059	MetaB_M194	MetaB_M069
MetaB_M213	MetaB_M081	MetaB_M200
MetaB_M197	MetaB_M209	MetaB_M137
MetaB_M035	MetaB_M059	MetaB_M221
MetaB_M107	MetaB_M067	MetaB_M151
MetaB_M060	MetaB_M128	MetaB_M090
MetaB_M145	MetaB_M189	MetaB_M197
MetaB_M191	MetaB_M062	MetaB_M106
MetaB_M209	MetaB_M225	MetaB_M208
MetaB_M154	MetaB_M061	MetaB_M119
MetaB_M210	MetaB_M231	MetaB_M025
MetaB_M088	MetaB_M105	MetaB_M056
MetaB_M104	MetaB_M220	MetaB_M206
MetaB_M017	MetaB_M186	MetaB_M108
MetaB_M007	MetaB_M198	MetaB_M198
MetaB_M200	MetaB_M218	MetaB_M111
MetaB_M172	MetaB_M103	MetaB_M142
MetaB_M157	MetaB_M026	MetaB_M059
MetaB_M235	MetaB_M232	MetaB_M141
MetaB_M161	MetaB_M224	MetaB_M039
MetaB_M240	MetaB_M207	MetaB_M229
MetaB_M150	MetaB_M246	MetaB_M191
MetaB_M167	MetaB_M013	MetaB_M207
MetaB_M079	MetaB_M135	MetaB_M132
MetaB_M221	MetaB_M197	MetaB_M050
MetaB_M211	MetaB_M116	MetaB_M244
MetaB_M127	MetaB_M012	MetaB_M115
MetaB_M217	MetaB_M043	MetaB_M126
MetaB_M206	MetaB_M211	MetaB_M147
MetaB_M153	MetaB_M190	MetaB_M033
MetaB_M229	MetaB_M130	MetaB_M065
MetaB_M187	MetaB_M132	MetaB_M124
MetaB_M077	MetaB_M215	MetaB_M242
MetaB_M076	MetaB_M164	MetaB_M038
MetaB_M055	MetaB_M089	MetaB_M215
MetaB_M119	MetaB_M162	
MetaB_M050	MetaB_M052	
MetaB_M125	MetaB_M104	
MetaB_M227	MetaB_M002	
MetaB_M003	MetaB_M222	
MetaB_M245	MetaB_M024	
MetaB_M131	MetaB_M035	
MetaB_M120	MetaB_M019	
MetaB_M115	MetaB_M208	
MetaB_M106	MetaB_M085	
MetaB_M041	MetaB_M193	
MetaB_M051	MetaB_M112	
MetaB_M138	MetaB_M075	
MetaB_M141	MetaB_M117	
MetaB_M231	MetaB_M184	
MetaB_M002	MetaB_M188	
MetaB_M207	MetaB_M021	
MetaB_M135	MetaB_M192	
MetaB_M065	MetaB_M020	
	MetaB_M150	
	MetaB_M200	
	MetaB_M119	
	MetaB_M005	
	MetaB_M221	
	MetaB_M140	
	MetaB_M191	
	MetaB_M245	
