Pame_vs_Bger_up	Pame_vs_Esin_up	Pame_vs_Pful_up
MetaB_M022	MetaB_M159	MetaB_M178
MetaB_M068	MetaB_M006	MetaB_M049
MetaB_M114	MetaB_M178	MetaB_M122
MetaB_M179	MetaB_M137	MetaB_M068
MetaB_M248	MetaB_M074	MetaB_M143
MetaB_M159	MetaB_M022	MetaB_M061
MetaB_M122	MetaB_M202	MetaB_M216
MetaB_M082	MetaB_M099	MetaB_M022
MetaB_M043	MetaB_M219	MetaB_M053
MetaB_M143	MetaB_M018	MetaB_M008
MetaB_M014	MetaB_M040	MetaB_M194
MetaB_M202	MetaB_M066	MetaB_M159
MetaB_M190	MetaB_M037	MetaB_M044
MetaB_M034	MetaB_M083	MetaB_M015
MetaB_M230	MetaB_M174	MetaB_M080
MetaB_M133	MetaB_M044	MetaB_M133
MetaB_M160	MetaB_M001	MetaB_M219
MetaB_M244	MetaB_M129	MetaB_M156
MetaB_M018	MetaB_M007	MetaB_M241
MetaB_M032	MetaB_M109	MetaB_M043
MetaB_M015	MetaB_M156	MetaB_M055
MetaB_M156	MetaB_M134	MetaB_M072
MetaB_M178	MetaB_M087	MetaB_M048
MetaB_M093	MetaB_M029	MetaB_M235
MetaB_M056	MetaB_M118	MetaB_M248
MetaB_M069	MetaB_M146	MetaB_M176
MetaB_M078	MetaB_M214	MetaB_M204
MetaB_M037	MetaB_M120	MetaB_M223
MetaB_M216	MetaB_M183	MetaB_M189
MetaB_M066	MetaB_M235	MetaB_M149
MetaB_M165	MetaB_M064	MetaB_M192
MetaB_M086	MetaB_M072	MetaB_M082
MetaB_M113	MetaB_M034	MetaB_M081
MetaB_M016	MetaB_M114	MetaB_M034
MetaB_M148	MetaB_M176	MetaB_M014
MetaB_M137	MetaB_M082	MetaB_M104
MetaB_M199	MetaB_M054	MetaB_M058
MetaB_M039	MetaB_M080	MetaB_M224
MetaB_M198	MetaB_M063	MetaB_M109
MetaB_M048	MetaB_M048	MetaB_M083
MetaB_M169	MetaB_M203	MetaB_M160
MetaB_M158	MetaB_M166	MetaB_M201
MetaB_M096	MetaB_M179	MetaB_M125
MetaB_M241	MetaB_M233	MetaB_M103
MetaB_M151	MetaB_M223	MetaB_M032
MetaB_M236	MetaB_M165	
MetaB_M025	MetaB_M030	
MetaB_M023	MetaB_M243	
MetaB_M080	MetaB_M023	
MetaB_M006	MetaB_M004	
MetaB_M128	MetaB_M143	
MetaB_M194	MetaB_M127	
MetaB_M117	MetaB_M068	
MetaB_M070	MetaB_M060	
MetaB_M052	MetaB_M050	
MetaB_M012	MetaB_M092	
MetaB_M142	MetaB_M049	
MetaB_M219	MetaB_M069	
MetaB_M097	MetaB_M133	
MetaB_M020	MetaB_M071	
MetaB_M029	MetaB_M149	
MetaB_M233	MetaB_M172	
MetaB_M247	MetaB_M027	
MetaB_M061	MetaB_M126	
MetaB_M212	MetaB_M084	
MetaB_M027	MetaB_M055	
MetaB_M149	MetaB_M216	
MetaB_M185	MetaB_M195	
MetaB_M001	MetaB_M239	
MetaB_M008	MetaB_M175	
MetaB_M057	MetaB_M058	
MetaB_M224	MetaB_M100	
MetaB_M010	MetaB_M113	
MetaB_M087	MetaB_M101	
MetaB_M214	MetaB_M236	
MetaB_M036	MetaB_M039	
MetaB_M108	MetaB_M206	
MetaB_M074	MetaB_M122	
MetaB_M099	MetaB_M111	
MetaB_M053	MetaB_M095	
MetaB_M226	MetaB_M185	
	MetaB_M091	
	MetaB_M009	
	MetaB_M248	
	MetaB_M045	
	MetaB_M033	
	MetaB_M230	
