gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M022	0.544007502334932	6.07153216591882e-18	12.7826073931132	7.55574487034738e-13	1.87382472784615e-10	19.3437122895687	9.72727103420019	up
MetaB_M068	0.524394636012584	-8.38449680055457e-18	10.8696753625281	2.85717054499886e-11	1.41715659031944e-09	15.6694608337317	8.84858215924139	up
MetaB_M114	0.493020991108737	-3.82000565439059e-17	10.3441804674127	8.34701131257405e-11	3.45009800919727e-09	14.583408079032	8.46216856746326	up
MetaB_M179	0.480349417429672	1.51824444220387e-16	9.57676244298284	4.24939533822988e-10	1.05385004388101e-08	12.9340058072498	7.97722118205348	up
MetaB_M248	0.502453592592353	-1.23599047663348e-17	8.66199891529825	3.26625103392189e-09	5.45888034880195e-08	10.8668839026576	7.26289642473133	up
MetaB_M159	0.361617749318211	-3.6826733792091e-17	8.65727968416845	3.30174214645279e-09	5.45888034880195e-08	10.8559319481859	7.26289642473133	up
MetaB_M122	0.452800027471899	5.72458747072346e-17	8.54241119852999	4.29915210884995e-09	6.66368576871742e-08	10.5884461080725	7.17628549061232	up
MetaB_M082	0.496345371315599	2.0672121422057e-17	8.34082227552948	6.861283916118e-09	9.61646342655581e-08	10.1148065326698	7.01698461577121	up
MetaB_M043	0.324677624059759	7.94991242974996e-17	8.31033064808306	7.36745181873227e-09	9.61646342655581e-08	10.0426996193626	7.01698461577121	up
MetaB_M143	0.495957327386581	-4.38006383911514e-17	8.25513458314739	8.38320292736658e-09	1.03951716299346e-07	9.91186115299885	6.98316833583533	up
MetaB_M014	0.456020694693425	-1.70581141804386e-17	7.77277992192907	2.63638041440256e-08	2.84270583813841e-07	8.75163928697443	6.54626807857299	up
MetaB_M202	0.391852041770328	9.13621030681118e-17	7.56827753755426	4.32458221838729e-08	4.12498611600018e-07	8.25079173925834	6.38457750887276	up
MetaB_M190	0.313073756196784	2.0093880263398e-17	7.36487300705416	7.11257100512783e-08	6.08247451473e-07	7.74750588118196	6.21591970206592	up
MetaB_M034	0.466528548684898	1.24683249835833e-16	7.30174542766651	8.30899600300221e-08	6.86877002914849e-07	7.59029136847784	6.16312102383957	up
MetaB_M230	0.449835970676111	-2.11017365329043e-16	7.18346297557338	1.11337776897901e-07	8.90702215183205e-07	7.29444749882731	6.05026746758926	up
MetaB_M133	0.481801153948899	1.16375550689163e-16	7.10503940849638	1.35306629057781e-07	1.0486263751978e-06	7.09739873821869	5.97937922304914	up
MetaB_M160	0.408231066743839	7.34185571134767e-17	7.01688963533663	1.68609839316154e-07	1.19472114715446e-06	6.87507310278877	5.92273344901216	up
MetaB_M244	0.289745462138134	7.95985094966441e-17	6.88189294195204	2.36598507109074e-07	1.6299008267514e-06	6.53291250259645	5.78783881995489	up
MetaB_M018	0.365037890145015	5.02708407309112e-17	6.82587444367623	2.72481319778924e-07	1.82636127851819e-06	6.39034597664988	5.73841330908689	up
MetaB_M032	0.416700633844797	-3.2887465898727e-18	6.70190156660835	3.72912847722021e-07	2.37134323679644e-06	6.0736569247813	5.62500558011798	up
MetaB_M015	0.416016898516321	9.25185853854297e-18	6.65200762314841	4.23313907974788e-07	2.5583978226938e-06	5.94575531230456	5.5920319232009	up
MetaB_M156	0.43873832377824	1.74917950494328e-17	6.64870130005518	4.26889150235686e-07	2.5583978226938e-06	5.93727076286624	5.5920319232009	up
MetaB_M178	0.307155102657198	-6.32451267283211e-17	6.64286338816568	4.33277050617499e-07	2.5583978226938e-06	5.92228707594148	5.5920319232009	up
