gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M178	0.520369554362858	-6.32451267283211e-17	11.2540662065804	1.33195640432305e-11	3.30325188272117e-09	16.5639508609174	8.4810583088078	up
MetaB_M049	0.47487375646336	9.25185853854297e-18	8.18953542942038	9.77917120048467e-09	5.29533462591547e-07	9.93661327182074	6.27610659049574	up
MetaB_M122	0.42118286777306	5.72458747072346e-17	7.94592983216383	1.74125750169657e-08	7.19719767367918e-07	9.35627205838231	6.14283656909114	up
MetaB_M068	0.334453963461474	-8.38449680055457e-18	6.93257664529168	2.08287877939845e-07	6.45692421613519e-06	6.86143875308312	5.18997431080764	up
MetaB_M143	0.350932645840415	-4.38006383911514e-17	5.8412207281989	3.4415705434511e-06	4.49215523566249e-05	4.04992563819908	4.34754524421229	up
MetaB_M061	0.289388379344974	1.82145964977565e-17	5.77520301063272	4.09247087417543e-06	5.07466388397753e-05	3.87677113745811	4.29459271758577	up
MetaB_M216	0.39580763532285	-5.58183418467954e-17	5.64648658699581	5.74195789165986e-06	6.78097884348402e-05	3.53846475046072	4.16870761061082	up
MetaB_M022	0.224344262560965	6.07153216591882e-18	5.27144316375394	1.54924419104897e-05	0.000167048938860932	2.54878602084876	3.77715627877057	up
MetaB_M053	0.342438853065032	-3.54172709678598e-17	5.10309141646249	2.42399408833117e-05	0.000250479389127554	2.1034852678586	3.60122800455297	up
MetaB_M008	0.413454233501076	-1.35728559468029e-16	4.98054057230099	3.35949816825029e-05	0.000333262218290429	1.7792986429994	3.47721391921691	up
MetaB_M194	0.266643268054821	-4.14888031337786e-17	4.87687217310925	4.42858304402597e-05	0.00037872020514429	1.50520497681495	3.42168152416729	up
MetaB_M159	0.194934398449131	-3.6826733792091e-17	4.66681077082372	7.75254486947906e-05	0.000582615493221456	0.950769726309463	3.23461797056465	up
MetaB_M044	0.287101360757054	1.00324841027325e-16	4.5039350827339	0.000119625063668764	0.000792790623264931	0.52236326518454	3.10084149511257	up
MetaB_M015	0.281315443159599	9.25185853854297e-18	4.49816456754728	0.000121475982597046	0.000792790623264931	0.507217319628896	3.10084149511257	up
MetaB_M080	0.343139130249097	-2.42138485188429e-16	4.42950195277634	0.000145812306169501	0.000896350369180264	0.327194633706489	3.04752219830818	up
MetaB_M133	0.299512878608634	1.16375550689163e-16	4.41686531554519	0.000150792669239903	0.000896350369180264	0.294105113005933	3.04752219830818	up
MetaB_M219	0.280699925335189	-5.88360378935467e-17	4.41435675958544	0.000151801272199883	0.000896350369180264	0.287537986141943	3.04752219830818	up
MetaB_M156	0.282897845555506	1.74917950494328e-17	4.28707311759346	0.000212813042519273	0.00119949169419954	-0.0449112600837065	2.921002754929	up
