gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M033	0.424211054601467	1.30682501856919e-16	4.59935922992118	4.3337247066698e-06	0.000650203421040595	3.84962512897489	3.18695074979661	up
MetaB_M242	0.414156217172208	1.03505167399949e-16	4.49034318982985	7.25736420764458e-06	0.000650203421040595	3.36543152215516	3.18695074979661	up
MetaB_M038	0.412567117985401	-8.86877377093143e-17	4.47311394053796	7.86536396420074e-06	0.000650203421040595	3.28997081280468	3.18695074979661	up
MetaB_M039	0.388056938803548	-1.30971622436249e-16	4.20737093920815	2.62503769152248e-05	0.00139433593677734	2.1628127983633	2.85563257924232	up
MetaB_M124	0.381392002773983	-1.26851654180804e-16	4.13510871333756	3.60113588122496e-05	0.00139433593677734	1.8682448610162	2.85563257924232	up
MetaB_M244	0.379500574489164	7.95985094966441e-17	4.114601567083	3.93562562800056e-05	0.00139433593677734	1.78557962530075	2.85563257924232	up
MetaB_M111	0.366314069839178	-1.5879947819671e-16	3.97163152607525	7.23010903854351e-05	0.00224133380194849	1.22068130860749	2.64949345915049	up
MetaB_M126	0.359521798798507	3.07913416985883e-17	3.89798871511082	9.81580217980067e-05	0.00234093258192627	0.937500957793083	2.63061109365878	up
MetaB_M151	0.357147377895106	1.94794990323229e-16	3.87224489118329	0.000109098535965514	0.00234093258192627	0.839757856436125	2.63061109365878	up
MetaB_M147	0.356457477468287	-4.48136897960675e-18	3.86476488833706	0.000112487053349259	0.00234093258192627	0.811479517749778	2.63061109365878	up
MetaB_M215	0.356300675620719	-1.04661649717267e-16	3.86306481942783	0.000113270931383529	0.00234093258192627	0.805059990434582	2.63061109365878	up
MetaB_M069	0.354058111352932	-1.72026744701033e-16	3.8387506047183	0.000125061199205844	0.00238578287715765	0.713557621742047	2.62236908268704	up
MetaB_M142	0.350220197925696	-3.54172709678598e-18	3.79713937758567	0.000147964829594174	0.00248499504744492	0.558301344376582	2.60467447247169	up
MetaB_M137	0.349860615854405	4.0567231287166e-17	3.79324073538725	0.000150302119805136	0.00248499504744492	0.543841757427598	2.60467447247169	up
MetaB_M027	0.33904923411379	9.82287168271867e-17	3.67602212955998	0.000239175058886146	0.00345283736490067	0.116029446176945	2.46182387725136	up
MetaB_M037	0.337633497282212	-8.626635285743e-17	3.66067250065986	0.000253933236454895	0.00345283736490067	0.0610022599435389	2.46182387725136	up
MetaB_M165	0.336663638244468	-8.03755210535921e-17	3.65015714499295	0.000264531894891584	0.00345283736490067	0.0234384518063022	2.46182387725136	up
MetaB_M239	0.329255303089266	-6.54135310732921e-17	3.56983487544144	0.000360280301895627	0.00439649449297576	-0.259930113628818	2.35689346650036	up
MetaB_M108	0.32732996471205	1.12757025938492e-16	3.54896007093101	0.00039001160824785	0.00439649449297576	-0.332542027406226	2.35689346650036	up
MetaB_M054	0.323840725612165	7.87492177948638e-17	3.5111292226177	0.000449816033863944	0.00485019027818514	-0.463049463154107	2.31424122322354	up
MetaB_M087	0.312745090878748	-7.57495917843206e-17	3.39082870364391	0.000701763958713525	0.00696149847043817	-0.868762339303923	2.1572972679473	up
MetaB_M180	0.305306736246855	-3.2887465898727e-18	3.3101809584696	0.000938409981143034	0.0086194694564249	-1.13282771269338	2.06451946494536	up
MetaB_M016	0.291621240148192	4.04949511423336e-17	3.1618007780979	0.0015765595351483	0.0126124762811864	-1.60206461648614	1.89919963748126	up
MetaB_M025	0.284505499766526	4.1163542482033e-17	3.08465086451801	0.00204810875925088	0.0153918476452794	-1.83754124488434	1.81270924410706	up
MetaB_M169	0.276121908592328	-1.74339709335669e-16	2.99375472442765	0.00276803072384664	0.0188292150461208	-2.10751037026644	1.72516778451036	up
MetaB_M056	0.264791532691044	-3.97540796578018e-18	2.87090910686352	0.0041086884201953	0.0261270443130368	-2.4595420708533	1.58290971813884	up
MetaB_M196	0.262122217654491	4.06937215406226e-17	2.84196799696607	0.00450023718245331	0.0272209468597176	-2.54033047822003	1.56509677227014	up
MetaB_M171	0.258469307057463	2.36717474326002e-17	2.802362597983	0.00509087535969934	0.0290618875574382	-2.649561455286	1.53667618187703	up
MetaB_M226	0.257418382454252	3.7621815385247e-17	2.79096831742076	0.00527332637130935	0.0290618875574382	-2.68070273143499	1.53667618187703	up
MetaB_M090	0.255856198667951	1.08167236741637e-16	2.77403088889687	0.00555546750665411	0.0293139562053238	-2.72675929863837	1.53292556531472	up
MetaB_M004	0.255124283619735	6.54587061638123e-18	2.76609535728822	0.00569228580201911	0.029410143310432	-2.74824129654739	1.5315028592475	up
MetaB_M066	0.254216688092492	7.15573433840433e-18	2.75625507184544	0.00586616276861979	0.0296899666656675	-2.77479411592142	1.52739029000668	up
MetaB_M132	0.24747670621302	-1.20346441145891e-16	2.68317918772928	0.00731458883272037	0.0362803606102931	-2.96901985979727	1.44032840490075	up
MetaB_M092	0.246031387813196	1.19117678683741e-16	2.66750883107474	0.00766416058740176	0.0372688593269733	-3.00999000406284	1.42865389931974	up
MetaB_M129	0.242901671287129	-2.6599093298311e-17	2.63357597987941	0.00847293405440861	0.0396469367074214	-3.0978849873363	1.40179036250671	up
MetaB_M074	0.238885646565078	1.68412737459415e-17	2.59003364364701	0.00962217187414516	0.0441907152738519	-3.20902269203148	1.35466896886149	up
MetaB_M070	0.2377517124118	3.17309835814091e-17	2.57773936121983	0.00997089655174227	0.0449086776295538	-3.24006725835278	1.34766973288302	up
MetaB_M198	0.237212407683834	-3.22369445952357e-17	2.57189213929715	0.0101406691421573	0.0449086776295538	-3.25478037616916	1.34766973288302	up
MetaB_M029	0.23347178880477	-2.13949228703806e-17	2.53133579409959	0.0113907516977431	0.0478797698481406	-3.35591101718034	1.319847945858	up
MetaB_M018	0.230985873501667	5.02708407309112e-17	2.50438313133866	0.0122954603131282	0.0499182167115689	-3.42223065434625	1.30174093787208	up
MetaB_M096	0.229166470765996	7.26415455565288e-18	2.48465689678046	0.0129973947523508	0.0511643475965556	-3.47031903624954	1.29103255924868	none
MetaB_M050	0.22541651381116	-1.70581141804386e-17	2.4439993067791	0.0145569069370771	0.0550240598569064	-3.56823401634529	1.25944736908258	none
MetaB_M121	0.224707382159335	-2.05998412772246e-16	2.4363107961364	0.0148697047591877	0.0550401011981872	-3.58656849736722	1.25932077626648	none
MetaB_M229	0.222016660765979	-1.50631821830653e-16	2.40713759534062	0.0161111165323806	0.0570793842861483	-3.65561119321057	1.24352072025554	none
MetaB_M202	0.218082923250033	9.13621030681118e-17	2.3644874292127	0.0180898571332227	0.0623095079033226	-3.75505231557919	1.20544567862352	none
MetaB_M175	0.216593783215258	4.13442428441139e-17	2.34834195188651	0.0188927052642753	0.0641834370621954	-3.79223250423196	1.19257702988344	none
