Pful_vs_Bger_down	Pful_vs_Esin_down	Pful_vs_Pame_down
MetaB_M118	MetaB_M216	MetaB_M103
MetaB_M081	MetaB_M178	MetaB_M032
MetaB_M100	MetaB_M238	MetaB_M125
MetaB_M218	MetaB_M173	MetaB_M201
MetaB_M047	MetaB_M014	MetaB_M160
MetaB_M177	MetaB_M008	MetaB_M083
MetaB_M119	MetaB_M068	MetaB_M109
MetaB_M246	MetaB_M204	MetaB_M224
MetaB_M072	MetaB_M011	MetaB_M058
MetaB_M116	MetaB_M208	MetaB_M104
MetaB_M061	MetaB_M199	MetaB_M014
MetaB_M105	MetaB_M032	MetaB_M034
MetaB_M103	MetaB_M110	MetaB_M081
MetaB_M053	MetaB_M186	MetaB_M082
MetaB_M152	MetaB_M225	MetaB_M192
MetaB_M223	MetaB_M158	MetaB_M149
MetaB_M091	MetaB_M062	MetaB_M189
MetaB_M035	MetaB_M161	MetaB_M223
MetaB_M166	MetaB_M128	MetaB_M204
MetaB_M107	MetaB_M160	MetaB_M235
MetaB_M243	MetaB_M112	MetaB_M248
MetaB_M204	MetaB_M211	MetaB_M176
MetaB_M134	MetaB_M130	MetaB_M048
MetaB_M140	MetaB_M125	MetaB_M072
MetaB_M144	MetaB_M187	MetaB_M055
MetaB_M222	MetaB_M232	MetaB_M043
MetaB_M109	MetaB_M015	MetaB_M241
MetaB_M217	MetaB_M031	MetaB_M156
MetaB_M211	MetaB_M049	MetaB_M080
MetaB_M007	MetaB_M047	MetaB_M133
MetaB_M145	MetaB_M026	MetaB_M219
MetaB_M210	MetaB_M105	MetaB_M044
MetaB_M101	MetaB_M212	MetaB_M015
MetaB_M079	MetaB_M122	MetaB_M159
MetaB_M153	MetaB_M013	MetaB_M194
MetaB_M189	MetaB_M164	MetaB_M008
MetaB_M240	MetaB_M089	MetaB_M053
MetaB_M044	MetaB_M135	MetaB_M022
MetaB_M076	MetaB_M119	MetaB_M216
MetaB_M106	MetaB_M246	MetaB_M061
MetaB_M017	MetaB_M231	MetaB_M143
MetaB_M030	MetaB_M191	MetaB_M068
MetaB_M083	MetaB_M218	MetaB_M122
MetaB_M178	MetaB_M021	MetaB_M049
MetaB_M141	MetaB_M024	MetaB_M178
MetaB_M201	MetaB_M200	
MetaB_M161	MetaB_M002	
MetaB_M157	MetaB_M052	
MetaB_M207	MetaB_M116	
MetaB_M065	MetaB_M162	
MetaB_M213	MetaB_M020	
MetaB_M120	MetaB_M035	
MetaB_M060	MetaB_M117	
MetaB_M138	MetaB_M190	
MetaB_M003	MetaB_M241	
MetaB_M058	MetaB_M085	
MetaB_M227	MetaB_M193	
MetaB_M150	MetaB_M053	
MetaB_M127	MetaB_M012	
MetaB_M167	MetaB_M222	
MetaB_M077	MetaB_M081	
MetaB_M172	MetaB_M221	
MetaB_M049	MetaB_M075	
MetaB_M104	MetaB_M103	
MetaB_M245	MetaB_M189	
MetaB_M051	MetaB_M188	
MetaB_M041	MetaB_M224	
MetaB_M187	MetaB_M005	
MetaB_M235	MetaB_M019	
MetaB_M131	MetaB_M194	
MetaB_M002	MetaB_M104	
MetaB_M125	MetaB_M043	
MetaB_M055	MetaB_M184	
MetaB_M231	MetaB_M061	
MetaB_M135	MetaB_M150	
	MetaB_M192	
	MetaB_M140	
	MetaB_M245	
