Pful_vs_Bger_up	Pful_vs_Esin_up	Pful_vs_Pame_up
MetaB_M244	MetaB_M137	MetaB_M215
MetaB_M056	MetaB_M126	MetaB_M038
MetaB_M069	MetaB_M050	MetaB_M242
MetaB_M039	MetaB_M037	MetaB_M124
MetaB_M198	MetaB_M074	MetaB_M065
MetaB_M137	MetaB_M033	MetaB_M033
MetaB_M114	MetaB_M006	MetaB_M147
MetaB_M037	MetaB_M087	MetaB_M126
MetaB_M179	MetaB_M040	MetaB_M115
MetaB_M025	MetaB_M147	MetaB_M244
MetaB_M215	MetaB_M054	MetaB_M050
MetaB_M165	MetaB_M129	MetaB_M207
MetaB_M142	MetaB_M159	MetaB_M132
MetaB_M151	MetaB_M120	MetaB_M191
MetaB_M033	MetaB_M174	MetaB_M229
MetaB_M016	MetaB_M039	MetaB_M039
MetaB_M022	MetaB_M007	MetaB_M059
MetaB_M096	MetaB_M111	MetaB_M141
MetaB_M108	MetaB_M206	MetaB_M142
MetaB_M086	MetaB_M244	MetaB_M198
MetaB_M038	MetaB_M066	MetaB_M111
MetaB_M190	MetaB_M124	MetaB_M206
MetaB_M169	MetaB_M069	MetaB_M108
MetaB_M230	MetaB_M018	MetaB_M056
MetaB_M202	MetaB_M165	MetaB_M025
MetaB_M242	MetaB_M202	MetaB_M119
MetaB_M018	MetaB_M242	MetaB_M208
MetaB_M020	MetaB_M141	MetaB_M106
MetaB_M066	MetaB_M004	MetaB_M197
MetaB_M027	MetaB_M029	MetaB_M151
MetaB_M132	MetaB_M229	MetaB_M090
MetaB_M148	MetaB_M099	MetaB_M221
MetaB_M078	MetaB_M038	MetaB_M137
MetaB_M070	MetaB_M027	MetaB_M200
MetaB_M117	MetaB_M092	MetaB_M112
MetaB_M082	MetaB_M214	MetaB_M069
MetaB_M087	MetaB_M239	MetaB_M220
MetaB_M248	MetaB_M175	MetaB_M121
MetaB_M093	MetaB_M064	MetaB_M138
MetaB_M054	MetaB_M183	MetaB_M096
MetaB_M239	MetaB_M134	MetaB_M088
MetaB_M014	MetaB_M146	MetaB_M209
MetaB_M097	MetaB_M203	MetaB_M054
MetaB_M111	MetaB_M151	MetaB_M067
MetaB_M208	MetaB_M065	MetaB_M027
MetaB_M052	MetaB_M009	MetaB_M037
MetaB_M128	MetaB_M095	MetaB_M175
MetaB_M113	MetaB_M001	MetaB_M180
MetaB_M043	MetaB_M195	MetaB_M165
MetaB_M160	MetaB_M154	MetaB_M171
MetaB_M124	MetaB_M118	MetaB_M239
MetaB_M034	MetaB_M114	MetaB_M004
MetaB_M126	MetaB_M046	MetaB_M020
MetaB_M032	MetaB_M142	MetaB_M005
MetaB_M180	MetaB_M083	MetaB_M021
MetaB_M226	MetaB_M016	MetaB_M087
MetaB_M159	MetaB_M045	
MetaB_M068	MetaB_M179	
MetaB_M196	MetaB_M109	
MetaB_M036	MetaB_M233	
MetaB_M067	MetaB_M071	
MetaB_M029	MetaB_M171	
MetaB_M121	MetaB_M180	
MetaB_M147	MetaB_M215	
MetaB_M006	MetaB_M219	
MetaB_M074	MetaB_M063	
MetaB_M185	MetaB_M166	
MetaB_M057	MetaB_M115	
MetaB_M112	MetaB_M091	
MetaB_M247	MetaB_M217	
MetaB_M199	MetaB_M196	
MetaB_M133	MetaB_M169	
MetaB_M214	MetaB_M210	
MetaB_M129	MetaB_M108	
MetaB_M233	MetaB_M185	
MetaB_M123	MetaB_M226	
MetaB_M220	MetaB_M022	
MetaB_M143	MetaB_M030	
MetaB_M012	MetaB_M138	
MetaB_M156	MetaB_M243	
	MetaB_M240	
	MetaB_M034	
	MetaB_M090	
	MetaB_M028	
	MetaB_M127	
	MetaB_M084	
	MetaB_M235	
	MetaB_M101	
	MetaB_M082	
