gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M244	0.555926569071899	7.95985094966441e-17	13.204096808652	3.57744679949252e-13	8.87206806274145e-11	20.1124946266627	10.0519751351231	up
MetaB_M056	0.508947923306453	-3.97540796578018e-18	11.0120856938367	2.14909505712258e-11	1.77658524722133e-09	15.9774341519546	8.75041394859707	up
MetaB_M069	0.506068393175583	-1.72026744701033e-16	10.0399193617379	1.57717695863533e-10	6.51899809569271e-09	13.9602516465849	8.1858191458244	up
MetaB_M039	0.50266373970351	-1.30971622436249e-16	9.79479482751248	2.6558805138008e-10	9.40940524889426e-09	13.4325668485107	8.02643782665631	up
MetaB_M198	0.467139970812322	-3.22369445952357e-17	9.51739006427029	4.83472758461261e-10	1.3322360455377e-08	12.8259199681075	7.87541882006638	up
MetaB_M137	0.377615760189903	4.0567231287166e-17	9.18555077635237	1.00295331115491e-09	2.48732421166417e-08	12.0869027255444	7.60426760268351	up
MetaB_M114	0.43105030773828	-3.82000565439059e-17	9.04396010350626	1.37532788843481e-09	2.84234430276528e-08	11.7671315243131	7.54632331566462	up
MetaB_M037	0.421899294207274	-8.626635285743e-17	8.9496598078525	1.6996855740108e-09	3.24247709503598e-08	11.5526835286117	7.48912308310344	up
MetaB_M179	0.445662351454919	1.51824444220387e-16	8.88520380123032	1.96571129052223e-09	3.48211714321081e-08	11.4054239276649	7.45815662270913	up
MetaB_M025	0.49236893299878	4.1163542482033e-17	8.60097027744193	3.75703736071943e-09	5.97732457409334e-08	10.7494616438743	7.22349316094556	up
MetaB_M215	0.427151798363926	-1.04661649717267e-16	8.58962101227695	3.85633843489893e-09	5.97732457409334e-08	10.7230467700648	7.22349316094556	up
MetaB_M165	0.468559008346431	-8.03755210535921e-17	8.48120856609481	4.95191950166921e-09	6.88354325662326e-08	10.4698619617329	7.16218795410696	up
MetaB_M142	0.510358976565282	-3.54172709678598e-18	8.47736826332577	4.99612010561366e-09	6.88354325662326e-08	10.4608648502131	7.16218795410696	up
MetaB_M151	0.503976906625096	1.94794990323229e-16	8.31769383083887	7.24182020702116e-09	8.97985705670624e-08	10.0850543845072	7.04673057647054	up
MetaB_M033	0.433615910398316	1.30682501856919e-16	8.21660166083457	9.17640262637813e-09	1.03443084151899e-07	9.8453892282202	6.98529853946	up
