gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M137	0.515013277242096	4.0567231287166e-17	12.5277626289323	1.19792911573106e-12	2.70759688651723e-10	18.8862070966882	9.56741599397246	up
MetaB_M126	0.52046761372692	3.07913416985883e-17	10.0577658045093	1.51890901988233e-10	5.38127767044026e-09	13.9874637359164	8.26911459806153	up
MetaB_M050	0.43795363957357	-1.70581141804386e-17	9.98154509757304	1.78434051659673e-10	5.53145560144985e-09	13.8243135191898	8.25716056914849	up
MetaB_M037	0.459594196282716	-8.626635285743e-17	9.7492737315956	2.92823211421949e-10	7.26201564326434e-09	13.3224846244898	8.13894281989902	up
MetaB_M074	0.486548446636751	1.68412737459415e-17	9.26181953073393	8.47014355318564e-10	1.61584277014618e-08	12.2463281804587	7.79160090060351	up
MetaB_M033	0.480502457135789	1.30682501856919e-16	9.10505632441008	1.19976541587864e-09	2.12529873669931e-08	11.8935676144505	7.67258001592832	up
MetaB_M006	0.450492428532292	1.05239890875926e-16	8.9942404328395	1.53755188462395e-09	2.54208578257826e-08	11.6422332250409	7.59480979828563	up
MetaB_M087	0.49832109191052	-7.57495917843206e-17	8.75953385910223	2.61415485714173e-09	4.05194002856969e-08	11.1045227238356	7.39233699111383	up
MetaB_M040	0.460216455744028	-4.31512464649231e-17	8.45174283924425	5.30159733130933e-09	7.30442298980397e-08	10.3882964074843	7.13641408530691	up
MetaB_M147	0.480399876993231	-4.48136897960675e-18	8.35407995022211	6.65245031380162e-09	8.15317188310078e-08	10.158417965691	7.08867340189339	up
MetaB_M054	0.499536489893938	7.87492177948638e-17	8.34017457735126	6.87165680433945e-09	8.15317188310078e-08	10.1255854063404	7.08867340189339	up
MetaB_M129	0.485491211014773	-2.6599093298311e-17	8.29774519268194	7.58737945359706e-09	8.55304592950941e-08	10.0252465120538	7.06787919582088	up
MetaB_M159	0.33856418642883	-3.6826733792091e-17	8.1053677771168	1.19258582620743e-08	1.23233868708101e-07	9.56734608249175	6.90926991740215	up
MetaB_M120	0.323104374700696	3.88596128655013e-17	8.01677559561893	1.47111065167396e-08	1.45934176646057e-07	9.35485660023312	6.83584298781435	up
MetaB_M174	0.438062217509596	1.3559755170552e-16	7.96594904074183	1.66013960594172e-08	1.58351777797518e-07	9.2324902198484	6.80037705648962	up
MetaB_M039	0.40789931501313	-1.30971622436249e-16	7.94823613732923	1.73170928483304e-08	1.59060704680961e-07	9.18976768219416	6.79843709783966	up
MetaB_M007	0.373276321484047	1.10986162390099e-16	7.89112333318463	1.98472382583936e-08	1.75789824574343e-07	9.05174032222491	6.75500626725491	up
MetaB_M111	0.492045157309866	-1.5879947819671e-16	7.63800522001764	3.65087094725386e-08	3.01805331639652e-07	8.43502203925365	6.52027309232309	up
MetaB_M206	0.412473088272267	-3.98263598026342e-17	7.59724173981496	4.03051307300231e-08	3.22441045840184e-07	8.33494920398277	6.4915496788792	up
MetaB_M244	0.316394047461829	7.95985094966441e-17	7.51483714718246	4.92600532836118e-08	3.59308623951051e-07	8.13201985370675	6.44453235894507	up
MetaB_M066	0.407057729049595	7.15573433840433e-18	7.3577380177554	7.23848106038079e-08	4.9355666108312e-07	7.74284466494072	6.30666298244077	up
MetaB_M124	0.44551139674693	-1.26851654180804e-16	7.35504650014028	7.28656679538146e-08	4.9355666108312e-07	7.73615106068848	6.30666298244077	up
MetaB_M069	0.370520404686095	-1.72026744701033e-16	7.35077518195493	7.36354695970784e-08	4.9355666108312e-07	7.72552682599261	6.30666298244077	up
MetaB_M018	0.383527161838052	5.02708407309112e-17	7.17160690197404	1.14662934981549e-07	7.29138663472414e-07	7.27792344001777	6.1371898721562	up
MetaB_M165	0.388814534879824	-8.03755210535921e-17	7.03778415333939	1.60027413163201e-07	9.22948801499389e-07	6.94116726738292	6.03482238981159	up
