MetaB_module_ID	module_color	module_name
MetaB_M001	aliceblue	MEaliceblue
MetaB_M002	antiquewhite	MEantiquewhite
MetaB_M003	antiquewhite1	MEantiquewhite1
MetaB_M004	antiquewhite2	MEantiquewhite2
MetaB_M005	antiquewhite3	MEantiquewhite3
MetaB_M006	antiquewhite4	MEantiquewhite4
MetaB_M007	aquamarine	MEaquamarine
MetaB_M008	aquamarine1	MEaquamarine1
MetaB_M009	aquamarine2	MEaquamarine2
MetaB_M010	aquamarine3	MEaquamarine3
MetaB_M011	bisque	MEbisque
MetaB_M012	bisque1	MEbisque1
MetaB_M013	bisque2	MEbisque2
MetaB_M014	bisque3	MEbisque3
MetaB_M015	bisque4	MEbisque4
MetaB_M016	blanchedalmond	MEblanchedalmond
MetaB_M017	blue1	MEblue1
MetaB_M018	blue2	MEblue2
MetaB_M019	blue3	MEblue3
MetaB_M020	blueviolet	MEblueviolet
MetaB_M021	brown1	MEbrown1
MetaB_M022	brown2	MEbrown2
MetaB_M023	brown4	MEbrown4
MetaB_M024	burlywood	MEburlywood
MetaB_M025	burlywood1	MEburlywood1
MetaB_M026	burlywood2	MEburlywood2
MetaB_M027	burlywood3	MEburlywood3
MetaB_M028	burlywood4	MEburlywood4
MetaB_M029	chartreuse2	MEchartreuse2
MetaB_M030	chartreuse4	MEchartreuse4
MetaB_M031	chocolate2	MEchocolate2
MetaB_M032	chocolate3	MEchocolate3
MetaB_M033	chocolate4	MEchocolate4
MetaB_M034	coral	MEcoral
MetaB_M035	coral1	MEcoral1
MetaB_M036	coral2	MEcoral2
MetaB_M037	coral3	MEcoral3
MetaB_M038	coral4	MEcoral4
MetaB_M039	cornflowerblue	MEcornflowerblue
MetaB_M040	cornsilk	MEcornsilk
MetaB_M041	cyan3	MEcyan3
MetaB_M042	cyan4	MEcyan4
MetaB_M043	darkblue	MEdarkblue
MetaB_M044	darkcyan	MEdarkcyan
MetaB_M045	darkgoldenrod	MEdarkgoldenrod
MetaB_M046	darkgoldenrod1	MEdarkgoldenrod1
MetaB_M047	darkgoldenrod2	MEdarkgoldenrod2
MetaB_M048	darkgoldenrod3	MEdarkgoldenrod3
MetaB_M049	darkgoldenrod4	MEdarkgoldenrod4
MetaB_M050	darkgreen	MEdarkgreen
MetaB_M051	darkgrey	MEdarkgrey
MetaB_M052	darkolivegreen2	MEdarkolivegreen2
MetaB_M053	darkolivegreen4	MEdarkolivegreen4
MetaB_M054	darkorange2	MEdarkorange2
MetaB_M055	darkorchid1	MEdarkorchid1
MetaB_M056	darkorchid2	MEdarkorchid2
MetaB_M057	darkorchid3	MEdarkorchid3
MetaB_M058	darkorchid4	MEdarkorchid4
MetaB_M059	darkred	MEdarkred
MetaB_M060	darksalmon	MEdarksalmon
MetaB_M061	darkseagreen	MEdarkseagreen
MetaB_M062	darkseagreen1	MEdarkseagreen1
MetaB_M063	darkseagreen2	MEdarkseagreen2
MetaB_M064	darkseagreen3	MEdarkseagreen3
MetaB_M065	darkslateblue	MEdarkslateblue
MetaB_M066	darkturquoise	MEdarkturquoise
MetaB_M067	darkviolet	MEdarkviolet
MetaB_M068	deeppink	MEdeeppink
MetaB_M069	deeppink1	MEdeeppink1
MetaB_M070	deepskyblue	MEdeepskyblue
MetaB_M071	deepskyblue3	MEdeepskyblue3
MetaB_M072	deepskyblue4	MEdeepskyblue4
MetaB_M073	dodgerblue1	MEdodgerblue1
MetaB_M074	dodgerblue2	MEdodgerblue2
MetaB_M075	dodgerblue3	MEdodgerblue3
MetaB_M076	dodgerblue4	MEdodgerblue4
MetaB_M077	firebrick	MEfirebrick
MetaB_M078	firebrick3	MEfirebrick3
MetaB_M079	forestgreen	MEforestgreen
MetaB_M080	goldenrod1	MEgoldenrod1
MetaB_M081	goldenrod2	MEgoldenrod2
MetaB_M082	goldenrod3	MEgoldenrod3
MetaB_M083	goldenrod4	MEgoldenrod4
MetaB_M084	green2	MEgreen2
MetaB_M085	green3	MEgreen3
MetaB_M086	green4	MEgreen4
MetaB_M087	greenyellow	MEgreenyellow
MetaB_M088	grey60	MEgrey60
MetaB_M089	honeydew	MEhoneydew
MetaB_M090	hotpink1	MEhotpink1
MetaB_M091	hotpink2	MEhotpink2
MetaB_M092	hotpink3	MEhotpink3
MetaB_M093	hotpink4	MEhotpink4
MetaB_M094	indianred	MEindianred
MetaB_M095	indianred1	MEindianred1
MetaB_M096	indianred2	MEindianred2
MetaB_M097	indianred3	MEindianred3
MetaB_M098	indianred4	MEindianred4
MetaB_M099	ivory	MEivory
MetaB_M100	khaki	MEkhaki
MetaB_M101	khaki1	MEkhaki1
MetaB_M102	khaki2	MEkhaki2
MetaB_M103	lavender	MElavender
MetaB_M104	lavenderblush	MElavenderblush
MetaB_M105	lavenderblush1	MElavenderblush1
MetaB_M106	lavenderblush2	MElavenderblush2
MetaB_M107	lemonchiffon2	MElemonchiffon2
MetaB_M108	lemonchiffon4	MElemonchiffon4
MetaB_M109	lightblue	MElightblue
MetaB_M110	lightblue1	MElightblue1
MetaB_M111	lightblue2	MElightblue2
