MetaB_module_ID	module_color	module_name	metabolome_name
MetaB_M001	aliceblue	MEaliceblue	CPD0573
MetaB_M001	aliceblue	MEaliceblue	CPD1363
MetaB_M001	aliceblue	MEaliceblue	CPD2251
MetaB_M001	aliceblue	MEaliceblue	CPD2365
MetaB_M001	aliceblue	MEaliceblue	CPD2387
MetaB_M001	aliceblue	MEaliceblue	CPD2792
MetaB_M001	aliceblue	MEaliceblue	CPD3085
MetaB_M001	aliceblue	MEaliceblue	CPD3170
MetaB_M001	aliceblue	MEaliceblue	CPD3574
MetaB_M002	antiquewhite	MEantiquewhite	CPD0097
MetaB_M002	antiquewhite	MEantiquewhite	CPD0488
MetaB_M002	antiquewhite	MEantiquewhite	CPD0511
MetaB_M002	antiquewhite	MEantiquewhite	CPD0549
MetaB_M002	antiquewhite	MEantiquewhite	CPD0602
MetaB_M002	antiquewhite	MEantiquewhite	CPD0658
MetaB_M002	antiquewhite	MEantiquewhite	CPD0735
MetaB_M002	antiquewhite	MEantiquewhite	CPD0798
MetaB_M002	antiquewhite	MEantiquewhite	CPD0806
MetaB_M002	antiquewhite	MEantiquewhite	CPD0808
MetaB_M002	antiquewhite	MEantiquewhite	CPD0818
MetaB_M002	antiquewhite	MEantiquewhite	CPD0950
MetaB_M002	antiquewhite	MEantiquewhite	CPD0976
MetaB_M002	antiquewhite	MEantiquewhite	CPD1092
MetaB_M002	antiquewhite	MEantiquewhite	CPD1094
MetaB_M002	antiquewhite	MEantiquewhite	CPD1130
MetaB_M002	antiquewhite	MEantiquewhite	CPD1163
MetaB_M002	antiquewhite	MEantiquewhite	CPD1254
MetaB_M002	antiquewhite	MEantiquewhite	CPD1285
MetaB_M002	antiquewhite	MEantiquewhite	CPD1327
MetaB_M002	antiquewhite	MEantiquewhite	CPD1341
MetaB_M002	antiquewhite	MEantiquewhite	CPD1376
MetaB_M002	antiquewhite	MEantiquewhite	CPD1453
MetaB_M002	antiquewhite	MEantiquewhite	CPD1463
MetaB_M002	antiquewhite	MEantiquewhite	CPD1639
MetaB_M002	antiquewhite	MEantiquewhite	CPD1655
MetaB_M002	antiquewhite	MEantiquewhite	CPD1779
MetaB_M002	antiquewhite	MEantiquewhite	CPD1787
MetaB_M002	antiquewhite	MEantiquewhite	CPD1797
MetaB_M002	antiquewhite	MEantiquewhite	CPD1830
MetaB_M002	antiquewhite	MEantiquewhite	CPD1832
MetaB_M002	antiquewhite	MEantiquewhite	CPD1861
MetaB_M002	antiquewhite	MEantiquewhite	CPD1908
MetaB_M002	antiquewhite	MEantiquewhite	CPD1977
MetaB_M002	antiquewhite	MEantiquewhite	CPD1999
MetaB_M002	antiquewhite	MEantiquewhite	CPD2070
MetaB_M002	antiquewhite	MEantiquewhite	CPD2110
MetaB_M002	antiquewhite	MEantiquewhite	CPD2256
MetaB_M002	antiquewhite	MEantiquewhite	CPD2286
MetaB_M002	antiquewhite	MEantiquewhite	CPD2354
MetaB_M002	antiquewhite	MEantiquewhite	CPD2403
MetaB_M002	antiquewhite	MEantiquewhite	CPD2533
MetaB_M002	antiquewhite	MEantiquewhite	CPD2777
MetaB_M002	antiquewhite	MEantiquewhite	CPD2910
MetaB_M002	antiquewhite	MEantiquewhite	CPD3205
MetaB_M002	antiquewhite	MEantiquewhite	CPD3391
MetaB_M002	antiquewhite	MEantiquewhite	CPD3423
MetaB_M002	antiquewhite	MEantiquewhite	CPD3424
MetaB_M002	antiquewhite	MEantiquewhite	CPD3426
MetaB_M002	antiquewhite	MEantiquewhite	CPD3483
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD0509
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD1058
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD1183
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD1560
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD1709
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD1953
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD2610
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD2645
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD3225
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD3384
MetaB_M003	antiquewhite1	MEantiquewhite1	CPD3528
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0205
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0364
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0367
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0368
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0414
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0440
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD0936
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD1372
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD1479
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD2757
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD2940
MetaB_M004	antiquewhite2	MEantiquewhite2	CPD3288
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD0103
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD0347
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD0479
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD0493
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD0507
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD1252
MetaB_M005	antiquewhite3	MEantiquewhite3	CPD2376
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD1134
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD1905
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2015
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2023
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2130
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2304
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2379
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2383
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2464
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2484
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2600
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD2762
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3127
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3167
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3209
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3313
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3360
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3392
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3476
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3498
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3587
MetaB_M006	antiquewhite4	MEantiquewhite4	CPD3621
MetaB_M007	aquamarine	MEaquamarine	CPD0191
MetaB_M007	aquamarine	MEaquamarine	CPD0407
MetaB_M007	aquamarine	MEaquamarine	CPD0540
MetaB_M007	aquamarine	MEaquamarine	CPD0552
MetaB_M007	aquamarine	MEaquamarine	CPD0647
MetaB_M007	aquamarine	MEaquamarine	CPD0707
MetaB_M007	aquamarine	MEaquamarine	CPD1408
MetaB_M007	aquamarine	MEaquamarine	CPD2277
MetaB_M007	aquamarine	MEaquamarine	CPD2327
MetaB_M007	aquamarine	MEaquamarine	CPD2604
MetaB_M007	aquamarine	MEaquamarine	CPD2646
MetaB_M007	aquamarine	MEaquamarine	CPD3023
MetaB_M007	aquamarine	MEaquamarine	CPD3234
MetaB_M007	aquamarine	MEaquamarine	CPD3546
MetaB_M008	aquamarine1	MEaquamarine1	CPD0548
MetaB_M008	aquamarine1	MEaquamarine1	CPD0964
MetaB_M008	aquamarine1	MEaquamarine1	CPD1515
MetaB_M008	aquamarine1	MEaquamarine1	CPD2375
MetaB_M008	aquamarine1	MEaquamarine1	CPD3067
MetaB_M008	aquamarine1	MEaquamarine1	CPD3359
MetaB_M009	aquamarine2	MEaquamarine2	CPD1394
MetaB_M009	aquamarine2	MEaquamarine2	CPD1454
MetaB_M009	aquamarine2	MEaquamarine2	CPD2028
MetaB_M009	aquamarine2	MEaquamarine2	CPD2688
MetaB_M009	aquamarine2	MEaquamarine2	CPD3421
MetaB_M010	aquamarine3	MEaquamarine3	CPD0332
MetaB_M010	aquamarine3	MEaquamarine3	CPD2332
MetaB_M010	aquamarine3	MEaquamarine3	CPD2966
MetaB_M010	aquamarine3	MEaquamarine3	CPD3049
MetaB_M010	aquamarine3	MEaquamarine3	CPD3499
MetaB_M011	bisque	MEbisque	CPD0850
