MetaB_module_ID	metabolome_name
MetaB_M001	CPD0573,CPD1363,CPD2251,CPD2365,CPD2387,CPD2792,CPD3085,CPD3170,CPD3574
MetaB_M002	CPD0097,CPD0488,CPD0511,CPD0549,CPD0602,CPD0658,CPD0735,CPD0798,CPD0806,CPD0808,CPD0818,CPD0950,CPD0976,CPD1092,CPD1094,CPD1130,CPD1163,CPD1254,CPD1285,CPD1327,CPD1341,CPD1376,CPD1453,CPD1463,CPD1639,CPD1655,CPD1779,CPD1787,CPD1797,CPD1830,CPD1832,CPD1861,CPD1908,CPD1977,CPD1999,CPD2070,CPD2110,CPD2256,CPD2286,CPD2354,CPD2403,CPD2533,CPD2777,CPD2910,CPD3205,CPD3391,CPD3423,CPD3424,CPD3426,CPD3483
MetaB_M003	CPD0509,CPD1058,CPD1183,CPD1560,CPD1709,CPD1953,CPD2610,CPD2645,CPD3225,CPD3384,CPD3528
MetaB_M004	CPD0205,CPD0364,CPD0367,CPD0368,CPD0414,CPD0440,CPD0936,CPD1372,CPD1479,CPD2757,CPD2940,CPD3288
MetaB_M005	CPD0103,CPD0347,CPD0479,CPD0493,CPD0507,CPD1252,CPD2376
MetaB_M006	CPD1134,CPD1905,CPD2015,CPD2023,CPD2130,CPD2304,CPD2379,CPD2383,CPD2464,CPD2484,CPD2600,CPD2762,CPD3127,CPD3167,CPD3209,CPD3313,CPD3360,CPD3392,CPD3476,CPD3498,CPD3587,CPD3621
MetaB_M007	CPD0191,CPD0407,CPD0540,CPD0552,CPD0647,CPD0707,CPD1408,CPD2277,CPD2327,CPD2604,CPD2646,CPD3023,CPD3234,CPD3546
MetaB_M008	CPD0548,CPD0964,CPD1515,CPD2375,CPD3067,CPD3359
MetaB_M009	CPD1394,CPD1454,CPD2028,CPD2688,CPD3421
MetaB_M010	CPD0332,CPD2332,CPD2966,CPD3049,CPD3499
MetaB_M011	CPD0850,CPD1041,CPD1431,CPD1522,CPD2466
MetaB_M012	CPD0600,CPD0916,CPD1108,CPD1348,CPD3055
MetaB_M013	CPD1547,CPD1554,CPD2510,CPD2590,CPD2822,CPD3186
MetaB_M014	CPD0751,CPD0809,CPD0888,CPD1082,CPD1349,CPD1473,CPD2448
MetaB_M015	CPD0052,CPD0124,CPD0219,CPD0252,CPD0403,CPD0406,CPD0491,CPD0760,CPD0767,CPD0821,CPD0856,CPD0914,CPD0962,CPD1028,CPD1034,CPD1040,CPD1173,CPD1190,CPD1288,CPD1393,CPD1403,CPD1471,CPD1541,CPD1566,CPD1578,CPD1617,CPD1654,CPD1669,CPD1697,CPD1699,CPD1815,CPD1922,CPD1964,CPD2005,CPD2006,CPD2020,CPD2024,CPD2048,CPD2058,CPD2075,CPD2091,CPD2093,CPD2129,CPD2153,CPD2156,CPD2167,CPD2170,CPD2173,CPD2239,CPD2331,CPD2346,CPD2366,CPD2395,CPD2428,CPD2481,CPD2496,CPD2673,CPD2680,CPD2718,CPD2731,CPD2765,CPD2826,CPD2892,CPD2893,CPD2959,CPD3003,CPD3013,CPD3064,CPD3123,CPD3230,CPD3256,CPD3333,CPD3372,CPD3379,CPD3413,CPD3451,CPD3494,CPD3511,CPD3586,CPD3608
MetaB_M016	CPD0038,CPD0127,CPD0497,CPD0811,CPD0901,CPD1078,CPD1096,CPD1337,CPD1559,CPD1663,CPD1690,CPD1698,CPD1737,CPD1834,CPD1878,CPD1969,CPD2122,CPD2194,CPD2271,CPD2339,CPD2408,CPD2543,CPD2613,CPD2848,CPD3255
MetaB_M017	CPD0210,CPD2278,CPD2619,CPD2953,CPD3248,CPD3316,CPD3332,CPD3500,CPD3596
MetaB_M018	CPD0250,CPD0280,CPD0746,CPD1155,CPD1195,CPD2045,CPD2068,CPD2237,CPD2457,CPD2548,CPD2834,CPD2972,CPD3040
MetaB_M019	CPD0468,CPD0675,CPD1380,CPD1551,CPD1668,CPD2061,CPD2420,CPD2596,CPD3075,CPD3434
MetaB_M020	CPD0148,CPD0201,CPD0281,CPD0298,CPD0412,CPD0566,CPD0584,CPD0630,CPD0729,CPD0778,CPD0815,CPD0848,CPD0882,CPD0896,CPD0906,CPD0913,CPD0958,CPD1013,CPD1015,CPD1035,CPD1089,CPD1090,CPD1113,CPD1182,CPD1185,CPD1212,CPD1232,CPD1247,CPD1262,CPD1292,CPD1307,CPD1317,CPD1377,CPD1390,CPD1476,CPD1550,CPD1558,CPD1570,CPD1587,CPD1599,CPD1622,CPD1658,CPD1732,CPD1785,CPD1844,CPD1867,CPD1960,CPD2042,CPD2054,CPD2112,CPD2126,CPD2211,CPD2254,CPD2258,CPD2263,CPD2267,CPD2313,CPD2352,CPD2390,CPD2422,CPD2432,CPD2459,CPD2521,CPD2523,CPD2557,CPD2574,CPD2589,CPD2739,CPD2812,CPD2863,CPD2871,CPD2885,CPD3010,CPD3263,CPD3315,CPD3366,CPD3368,CPD3490
MetaB_M021	CPD0354,CPD0591,CPD0908,CPD1131,CPD1193,CPD1245,CPD1287,CPD2179,CPD3072,CPD3399
MetaB_M022	CPD0012,CPD0019,CPD0032,CPD0221,CPD0454,CPD0518,CPD0887,CPD0890,CPD0938,CPD0957,CPD1053,CPD1055,CPD1273,CPD1291,CPD1371,CPD1389,CPD1449,CPD1781,CPD1793,CPD1825,CPD1851,CPD1902,CPD2301,CPD2363,CPD2438,CPD2504,CPD2572,CPD2597,CPD2648,CPD2756,CPD2872,CPD3080,CPD3093,CPD3141,CPD3219,CPD3237,CPD3244,CPD3364,CPD3418
