X	number	group	regulation
Esin_Bger	63	Esin	up
Esin_Pame	54	Esin	up
Esin_Pful	48	Esin	up
Esin_intersection	32	Esin	up
Esin_Bger	-40	Esin	down
Esin_Pame	-38	Esin	down
Esin_Pful	-39	Esin	down
Esin_intersection	-19	Esin	down
Bger_Esin	40	Bger	up
Bger_Pame	33	Bger	up
Bger_Pful	30	Bger	up
Bger_intersection	15	Bger	up
Bger_Esin	-63	Bger	down
Bger_Pame	-44	Bger	down
Bger_Pful	-49	Bger	down
Bger_intersection	-27	Bger	down
Pame_Esin	38	Pame	up
Pame_Bger	44	Pame	up
Pame_Pful	18	Pame	up
Pame_intersection	8	Pame	up
Pame_Esin	-54	Pame	down
Pame_Bger	-33	Pame	down
Pame_Pful	-28	Pame	down
Pame_intersection	-8	Pame	down
Pful_Esin	39	Pful	up
Pful_Bger	49	Pful	up
Pful_Pame	28	Pful	up
Pful_intersection	9	Pful	up
Pful_Esin	-48	Pful	down
Pful_Bger	-30	Pful	down
Pful_Pame	-18	Pful	down
Pful_intersection	-3	Pful	down
