metabolome_name	module
CPD0001	pink
CPD0002	lightcyan
CPD0003	lightpink2
CPD0004	turquoise
CPD0005	lightyellow3
CPD0006	turquoise
CPD0007	royalblue1
CPD0008	lightcyan
CPD0009	black
CPD0010	tan3
CPD0011	mistyrose4
CPD0012	firebrick2
CPD0013	mediumpurple3
CPD0014	orange3
CPD0015	greenyellow
CPD0016	lightblue2
CPD0017	coral4
CPD0018	wheat3
CPD0019	floralwhite
CPD0020	purple
CPD0021	turquoise
CPD0022	dodgerblue4
CPD0023	black
CPD0024	purple
CPD0025	lightpink2
CPD0026	greenyellow
CPD0027	turquoise2
CPD0028	seashell1
CPD0029	lightpink4
CPD0030	orangered3
CPD0031	seashell4
CPD0032	firebrick2
CPD0033	oldlace
CPD0034	greenyellow
CPD0035	darkseagreen3
CPD0036	darkturquoise
CPD0037	orangered3
CPD0038	darkmagenta
CPD0039	red
CPD0040	violet
CPD0041	navajowhite3
CPD0042	lightcoral
CPD0043	turquoise
CPD0044	magenta4
CPD0045	navajowhite1
CPD0046	red4
CPD0047	mintcream
CPD0048	powderblue
CPD0049	ivory
CPD0050	wheat3
CPD0051	green
CPD0052	bisque4
CPD0053	lightgreen
CPD0054	palevioletred
CPD0055	moccasin
CPD0056	black
CPD0057	forestgreen
CPD0058	orange2
CPD0059	turquoise
CPD0060	coral3
CPD0061	turquoise4
CPD0062	cornsilk
CPD0063	darkorchid1
CPD0064	mediumorchid
CPD0065	coral4
CPD0066	lightsteelblue1
CPD0067	orange3
CPD0068	plum1
CPD0069	tan3
CPD0070	orange4
CPD0071	royalblue
CPD0072	mistyrose3
CPD0073	olivedrab1
CPD0074	lightgoldenrod4
CPD0075	lightblue2
CPD0076	seashell2
CPD0077	thistle1
CPD0078	burlywood4
CPD0079	greenyellow
CPD0080	cornsilk
CPD0081	cornsilk2
CPD0082	cornsilk2
CPD0083	palevioletred3
CPD0084	grey60
CPD0085	honeydew
CPD0086	hotpink4
CPD0087	dodgerblue3
CPD0088	powderblue
CPD0089	dodgerblue4
CPD0090	palevioletred3
CPD0091	lightgreen
CPD0092	pink
CPD0093	greenyellow
CPD0094	peachpuff2
CPD0095	dodgerblue1
CPD0096	orchid
CPD0097	antiquewhite
CPD0098	tomato
CPD0099	black
CPD0100	thistle3
CPD0101	mediumpurple1
CPD0102	springgreen3
CPD0103	antiquewhite3
CPD0104	steelblue1
CPD0105	steelblue1
CPD0106	cyan4
CPD0107	lavenderblush1
CPD0108	magenta
CPD0109	tan1
CPD0110	turquoise
CPD0111	dodgerblue2
CPD0112	darkgoldenrod1
CPD0113	royalblue
CPD0114	black
CPD0115	turquoise3
CPD0116	navajowhite3
CPD0117	salmon
CPD0118	mistyrose3
CPD0119	turquoise
CPD0120	snow4
CPD0121	deeppink1
CPD0122	mediumpurple2
CPD0123	magenta3
CPD0124	paleturquoise
CPD0125	deepskyblue
CPD0126	forestgreen
CPD0127	darkmagenta
CPD0128	peachpuff3
CPD0129	peachpuff3
CPD0130	cornflowerblue
CPD0131	violetred4
CPD0132	royalblue
CPD0133	turquoise
CPD0134	lightgreen
CPD0135	rosybrown1
CPD0136	green4
CPD0137	mediumpurple2
CPD0138	thistle3
CPD0139	lightslateblue
CPD0140	palevioletred1
CPD0141	pink1
CPD0142	turquoise
CPD0143	orchid1
CPD0144	sienna1
CPD0145	sienna1
CPD0146	orangered1
CPD0147	yellow
CPD0148	blue
CPD0149	lightgoldenrod2
CPD0150	darkseagreen
CPD0151	deeppink1
CPD0152	deeppink1
CPD0153	pink2
CPD0154	midnightblue
CPD0155	brown3
CPD0156	purple
CPD0157	powderblue
CPD0158	peachpuff3
CPD0159	cornflowerblue
CPD0160	orangered1
CPD0161	ivory
CPD0162	ivory
CPD0163	palevioletred3
CPD0164	khaki2
CPD0165	turquoise
CPD0166	mediumvioletred
CPD0167	greenyellow
CPD0168	darkolivegreen2
CPD0169	darkorchid2
CPD0170	orangered1
CPD0171	darkturquoise
CPD0172	peachpuff4
CPD0173	lightpink1
CPD0174	royalblue
CPD0175	darkgrey
CPD0176	turquoise
CPD0177	tomato
CPD0178	royalblue2
CPD0179	skyblue
CPD0180	chartreuse4
CPD0181	indianred2
CPD0182	greenyellow
CPD0183	navajowhite4
CPD0184	ivory
CPD0185	olivedrab1
CPD0186	sienna4
CPD0187	tomato4
CPD0188	palevioletred1
CPD0189	darkturquoise
CPD0190	indianred
CPD0191	aquamarine
CPD0192	rosybrown1
CPD0193	springgreen3
CPD0194	mediumpurple2
CPD0195	tomato
CPD0196	cornsilk
CPD0197	deeppink1
CPD0198	purple2
CPD0199	purple2
CPD0200	chartreuse4
CPD0201	blue
CPD0202	peachpuff4
CPD0203	mistyrose1
CPD0204	skyblue2
CPD0205	antiquewhite2
CPD0206	lightyellow
CPD0207	darkseagreen
CPD0208	mediumorchid2
CPD0209	turquoise
CPD0210	blue1
CPD0211	hotpink3
CPD0212	orangered1
CPD0213	khaki
CPD0214	navajowhite2
CPD0215	orange3
CPD0216	tomato
CPD0217	turquoise
CPD0218	royalblue
CPD0219	brown
CPD0220	firebrick3
CPD0221	floralwhite
CPD0222	navajowhite1
CPD0223	skyblue
CPD0224	salmon1
CPD0225	tan
CPD0226	navajowhite
CPD0227	olivedrab4
CPD0228	ivory
CPD0229	chocolate
CPD0230	olivedrab4
CPD0231	peachpuff2
CPD0232	green2
CPD0233	mediumpurple2
CPD0234	mediumpurple3
CPD0235	lightcyan
CPD0236	pink
CPD0237	indianred4
CPD0238	lightyellow
CPD0239	blue4
CPD0240	palevioletred
CPD0241	plum2
CPD0242	plum2
CPD0243	plum2
CPD0244	red1
CPD0245	salmon
CPD0246	lemonchiffon2
CPD0247	dodgerblue3
CPD0248	yellow
CPD0249	darksalmon
CPD0250	blue2
CPD0251	white
CPD0252	brown
CPD0253	magenta
CPD0254	mistyrose4
CPD0255	coral4
CPD0256	seashell2
CPD0257	deeppink1
CPD0258	purple2
CPD0259	orangered1
CPD0260	olivedrab4
CPD0261	salmon
CPD0262	lemonchiffon2
CPD0263	white
CPD0264	khaki4
CPD0265	mediumorchid1
CPD0266	thistle2
CPD0267	mediumpurple3
CPD0268	tan3
CPD0269	maroon
CPD0270	turquoise
CPD0271	grey60
CPD0272	salmon2
CPD0273	seashell3
CPD0274	lightblue2
CPD0275	tan2
CPD0276	palevioletred2
CPD0277	lightpink3
CPD0278	turquoise2
CPD0279	royalblue
CPD0280	blue2
CPD0281	blue
CPD0282	green2
CPD0283	wheat3
CPD0284	black
CPD0285	orange1
CPD0286	tomato2
CPD0287	rosybrown3
CPD0288	hotpink1
CPD0289	olivedrab2
CPD0290	skyblue1
CPD0291	skyblue1
CPD0292	green2
CPD0293	purple
CPD0294	turquoise
CPD0295	grey60
CPD0296	lightskyblue3
CPD0297	orangered
CPD0298	blueviolet
CPD0299	darkgoldenrod4
CPD0300	red1
CPD0301	saddlebrown
CPD0302	thistle2
CPD0303	darkorange
CPD0304	royalblue3
CPD0305	salmon
CPD0306	chocolate3
CPD0307	seashell
CPD0308	red3
CPD0309	lightblue4
CPD0310	goldenrod2
CPD0311	tan
CPD0312	tan
CPD0313	plum4
CPD0314	darkturquoise
CPD0315	darkturquoise
CPD0316	midnightblue
CPD0317	green
CPD0318	mistyrose3
CPD0319	peachpuff3
CPD0320	orangered1
CPD0321	tomato
CPD0322	deeppink1
CPD0323	skyblue2
CPD0324	mediumorchid1
CPD0325	grey60
CPD0326	orangered4
CPD0327	coral
CPD0328	sienna2
CPD0329	orangered3
CPD0330	turquoise3
CPD0331	royalblue
CPD0332	aquamarine3
CPD0333	deepskyblue4
CPD0334	burlywood1
CPD0335	skyblue1
CPD0336	royalblue
CPD0337	burlywood4
CPD0338	lavenderblush3
CPD0339	black
CPD0340	orangered
CPD0341	orangered4
CPD0342	tomato2
CPD0343	lightcyan1
CPD0344	pink3
CPD0345	tomato4
CPD0346	hotpink1
CPD0347	antiquewhite3
CPD0348	black
CPD0349	green
CPD0350	salmon
CPD0351	lightgreen
CPD0352	mediumblue
CPD0353	indianred4
CPD0354	brown1
CPD0355	midnightblue
CPD0356	ivory
CPD0357	orangered1
CPD0358	burlywood2
CPD0359	thistle4
CPD0360	green2
CPD0361	white
CPD0362	lemonchiffon4
CPD0363	chocolate3
CPD0364	antiquewhite2
CPD0365	seashell1
CPD0366	yellow
CPD0367	antiquewhite2
CPD0368	antiquewhite2
CPD0369	blue4
CPD0370	goldenrod2
CPD0371	goldenrod2
CPD0372	plum4
CPD0373	royalblue3
CPD0374	mintcream
CPD0375	mediumorchid
CPD0376	cornsilk2
CPD0377	blue4
CPD0378	palevioletred
CPD0379	mediumorchid1
CPD0380	turquoise2
CPD0381	royalblue3
CPD0382	tomato2
