ID	group	Bger_enrich	Esin_enrich	Pame_enrich	Pful_enrich
Bger_1	Bger	Bger	other	other	other
Bger_2	Bger	Bger	other	other	other
Bger_3	Bger	Bger	other	other	other
Bger_4	Bger	Bger	other	other	other
Bger_5	Bger	Bger	other	other	other
Bger_6	Bger	Bger	other	other	other
Esin_1	Esin	other	Esin	other	other
Esin_2	Esin	other	Esin	other	other
Esin_3	Esin	other	Esin	other	other
Esin_4	Esin	other	Esin	other	other
Esin_5	Esin	other	Esin	other	other
Esin_6	Esin	other	Esin	other	other
Pame_1	Pame	other	other	Pame	other
Pame_2	Pame	other	other	Pame	other
Pame_3	Pame	other	other	Pame	other
Pame_4	Pame	other	other	Pame	other
Pame_5	Pame	other	other	Pame	other
Pame_6	Pame	other	other	Pame	other
Pful_1	Pful	other	other	other	Pful
Pful_2	Pful	other	other	other	Pful
Pful_3	Pful	other	other	other	Pful
Pful_4	Pful	other	other	other	Pful
Pful_5	Pful	other	other	other	Pful
Pful_6	Pful	other	other	other	Pful
